src,dst,relation,weight_admissions,unique_patients,p_disease_given_drug,p_drug_given_disease
drug:amlodipine,icd:9:99673,treat,103,76,0.0024842623188056244,0.19433962264150945
drug:amlodipine,icd:10:I130,treat,714,476,0.017221002870167146,0.21551463929972833
drug:amlodipine,icd:10:C7931,treat,92,77,0.0022189527507778394,0.12976022566995768
drug:amlodipine,icd:10:J189,treat,323,303,0.0077904536793613277,0.15257439773264053
drug:amlodipine,icd:10:R0789,treat,212,196,0.0051132389474445863,0.1
drug:amlodipine,icd:10:U071,treat,287,276,0.0069221678203613031,0.1481672689726381
drug:amlodipine,icd:10:E875,treat,97,92,0.0023395480089722872,0.32993197278911562
drug:amlodipine,icd:9:7823,treat,10,10,0.00024119051638889558,0.0625
drug:amlodipine,icd:10:K56600,treat,20,19,0.00048238103277779116,0.086206896551724144
drug:amlodipine,icd:9:78650,treat,111,107,0.002677214731916741,0.015211730848293819
drug:amlodipine,icd:10:N813,treat,10,10,0.00024119051638889558,0.15625
drug:amlodipine,icd:10:I63412,treat,11,11,0.00026530956802778516,0.024122807017543858
drug:amlodipine,icd:10:I214,treat,554,526,0.013361954607944815,0.16967840735068912
drug:glyburide,icd:9:6826,treat,19,17,0.011059371362048894,0.0088289962825278817
drug:lisinopril,icd:9:42823,treat,516,385,0.010592220055424408,0.2688900468994268
drug:lisinopril,icd:9:9971,treat,20,20,0.00041055116493893051,0.14285714285714285
drug:lisinopril,icd:10:R0789,treat,222,199,0.0045571179308221289,0.10471698113207548
drug:lisinopril,icd:10:M1711,treat,137,137,0.0028122754798316739,0.2057057057057057
drug:lisinopril,icd:9:5849,treat,262,250,0.00537822026069999,0.074178935447338612
drug:lisinopril,icd:9:5990,treat,351,310,0.0072051729446782307,0.11830131445904954
drug:lisinopril,icd:9:7245,treat,26,25,0.00053371651442060968,0.063414634146341464
drug:lisinopril,icd:10:I214,treat,600,569,0.012316534948167916,0.18376722817764166
drug:lisinopril,icd:10:A4189,treat,33,33,0.0006774094221492354,0.035218783351120594
drug:warfarin,icd:10:N390,treat,129,120,0.0044652128764278293,0.059419622293873792
drug:warfarin,icd:10:N179,treat,212,184,0.0073381793007961235,0.079909536373916318
drug:warfarin,icd:10:E875,treat,29,26,0.0010038075458636206,0.098639455782312924
drug:warfarin,icd:10:I5033,treat,196,166,0.00678435444790585,0.26415094339622641
drug:warfarin,icd:10:T83511A,treat,29,23,0.0010038075458636206,0.094462540716612378
