id,type,label,aliases,source_ids
drug:atenolol,drug,atenolol,tenormin,atenolol;tenormin
drug:furosemide,drug,furosemide,lasix,lasix;furosemide
drug:lisinopril,drug,lisinopril,prinivil;zestril,lisinopril;zestril
drug:omeprazole,drug,omeprazole,prilosec,omeprazole;prilosec
drug:amlodipine,drug,amlodipine,norvasc,norvasc;amlodipine
drug:levofloxacin,drug,levofloxacin,levaquin,levofloxacin
drug:simvastatin,drug,simvastatin,zocor,simvastatin
drug:metformin,drug,metformin,glucophage,metformin
drug:glyburide,drug,glyburide,glibenclamide;diabeta;micronase,micronase;glyburide
icd:9:0020,disease,Typhoid fever,,
icd:9:0030,disease,Salmonella gastroenteritis,,
icd:9:0031,disease,Salmonella septicemia,,
icd:9:00324,disease,Salmonella osteomyelitis,,
icd:9:00329,disease,Other localized salmonella infections,,
icd:9:0039,disease,"Salmonella infection, unspecified",,
icd:9:0041,disease,Shigella flexneri,,
icd:9:0048,disease,Other specified shigella infections,,
icd:9:0049,disease,"Shigellosis, unspecified",,
icd:9:00589,disease,Other bacterial food poisoning,,
icd:9:0059,disease,"Food poisoning, unspecified",,
icd:9:0071,disease,Giardiasis,,
icd:9:0074,disease,Cryptosporidiosis,,
icd:9:00809,disease,Intestinal infection due to other intestinal E. coli infections,,
icd:9:00843,disease,Intestinal infection due to campylobacter,,
icd:9:00845,disease,Intestinal infection due to Clostridium difficile,,
icd:9:0085,disease,"Bacterial enteritis, unspecified",,
icd:9:00861,disease,Enteritis due to rotavirus,,
icd:9:00863,disease,Enteritis due to norwalk virus,,
icd:9:00869,disease,Enteritis due to other viral enteritis,,
icd:9:0088,disease,"Intestinal infection due to other organism, not elsewhere classified",,
icd:9:0090,disease,"Infectious colitis, enteritis, and gastroenteritis",,
icd:9:0091,disease,"Colitis, enteritis, and gastroenteritis of presumed infectious origin",,
icd:9:0092,disease,Infectious diarrhea,,
icd:9:0093,disease,Diarrhea of presumed infectious origin,,
icd:9:01120,disease,"Tuberculosis of lung with cavitation, unspecified",,
icd:9:01123,disease,"Tuberculosis of lung with cavitation, tubercle bacilli found (in sputum) by microscopy",,
icd:9:01124,disease,"Tuberculosis of lung with cavitation, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",,
icd:9:01190,disease,"Pulmonary tuberculosis, unspecified, unspecified",,
icd:9:01193,disease,"Pulmonary tuberculosis, unspecified, tubercle bacilli found (in sputum) by microscopy",,
icd:9:01196,disease,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",,
icd:9:01204,disease,"Tuberculous pleurisy, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",,
icd:9:01205,disease,"Tuberculous pleurisy, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",,
icd:9:01206,disease,"Tuberculous pleurisy, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",,
icd:9:01325,disease,"Tuberculoma of brain, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",,
icd:9:01500,disease,"Tuberculosis of vertebral column, unspecified",,
icd:9:01804,disease,"Acute miliary tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",,
icd:9:01896,disease,"Miliary tuberculosis, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",,
icd:9:0218,disease,Other specified tularemia,,
icd:9:0270,disease,Listeriosis,,
icd:9:0310,disease,Pulmonary diseases due to other mycobacteria,,
icd:9:0312,disease,Disseminated due to other mycobacteria,,
icd:9:0318,disease,Other specified mycobacterial diseases,,
icd:9:03289,disease,Other specified diphtheria,,
icd:9:0329,disease,"Diphtheria, unspecified",,
icd:9:0339,disease,"Whooping cough, unspecified organism",,
icd:9:0340,disease,Streptococcal sore throat,,
icd:9:035,disease,Erysipelas,,
icd:9:0360,disease,Meningococcal meningitis,,
icd:9:0361,disease,Meningococcal encephalitis,,
icd:9:0380,disease,Streptococcal septicemia,,
icd:9:03810,disease,"Staphylococcal septicemia, unspecified",,
icd:9:03811,disease,Methicillin susceptible Staphylococcus aureus septicemia,,
icd:9:03812,disease,Methicillin resistant Staphylococcus aureus septicemia,,
icd:9:03819,disease,Other staphylococcal septicemia,,
icd:9:0382,disease,Pneumococcal septicemia [Streptococcus pneumoniae septicemia],,
icd:9:0383,disease,Septicemia due to anaerobes,,
icd:9:03840,disease,"Septicemia due to gram-negative organism, unspecified",,
icd:9:03841,disease,Septicemia due to hemophilus influenzae [H. influenzae],,
icd:9:03842,disease,Septicemia due to escherichia coli [E. coli],,
icd:9:03843,disease,Septicemia due to pseudomonas,,
icd:9:03844,disease,Septicemia due to serratia,,
icd:9:03849,disease,Other septicemia due to gram-negative organisms,,
icd:9:0388,disease,Other specified septicemias,,
icd:9:0389,disease,Unspecified septicemia,,
icd:9:0391,disease,Pulmonary actinomycotic infection,,
icd:9:0398,disease,Actinomycotic infection of other specified sites,,
icd:9:0400,disease,Gas gangrene,,
icd:9:04082,disease,Toxic shock syndrome,,
icd:9:04089,disease,Other specified bacterial diseases,,
icd:9:04111,disease,Methicillin susceptible Staphylococcus aureus in conditions classified elsewhere and of unspecified site,,
icd:9:04119,disease,"Staphylococcus infection in conditions classified elsewhere and of unspecified site, other staphylococcus",,
icd:9:04186,disease,Helicobacter pylori [H. pylori],,
icd:9:042,disease,Human immunodeficiency virus [HIV] disease,,
icd:9:04619,disease,Other and unspecified Creutzfeldt-Jakob disease,,
icd:9:0463,disease,Progressive multifocal leukoencephalopathy,,
icd:9:0478,disease,Other specified viral meningitis,,
icd:9:0479,disease,Unspecified viral meningitis,,
icd:9:048,disease,Other enterovirus diseases of central nervous system,,
icd:9:0490,disease,Lymphocytic choriomeningitis,,
