drug,nct_id,title,status,phase,disease,first_submit,_row_id,disease_raw,disease_resolved_label,disease_resolved_id,resolve_status,accept_auto,reject_reason,extra_tokens,total_candidates_available,n_candidates_returned
Atorvastatin,NCT01842256,Study to Investigate the Effect of Telmisartan/S-amlodipine on the Pharmacokinetic Properties of Atorvastatin.,COMPLETED,PHASE1,Essential Hypertension; Hyperlipidemia,2013-04-25 00:00:00+00:00,0,Essential Hypertension,Essential Hypertension,@DISEASE_Essential_Hypertension,exact,True,,0,1,0
Atorvastatin,NCT01842256,Study to Investigate the Effect of Telmisartan/S-amlodipine on the Pharmacokinetic Properties of Atorvastatin.,COMPLETED,PHASE1,Essential Hypertension; Hyperlipidemia,2013-04-25 00:00:00+00:00,0,Hyperlipidemia,Hyperlipidemias,@DISEASE_Hyperlipidemias,token_set_exact,True,,0,5,0
Atorvastatin,NCT01547455,Safety and Efficiency Study of Loading Dose Atorvastatin in Cardiac Surgery,COMPLETED,,Acute Kidney Injury,2012-02-26 00:00:00+00:00,1,Acute Kidney Injury,Acute Kidney Injury,@DISEASE_Acute_Kidney_Injury,exact,True,,0,1,0
Atorvastatin,NCT00404599,Oxidative Stress Lowering Effect of Simvastatin and Atorvastatin.,UNKNOWN,PHASE4,Diabetes Mellitus; Hypertension,2006-11-27 00:00:00+00:00,2,Diabetes Mellitus,Diabetes Mellitus,@DISEASE_Diabetes_Mellitus,exact,True,,0,5,0
Atorvastatin,NCT00404599,Oxidative Stress Lowering Effect of Simvastatin and Atorvastatin.,UNKNOWN,PHASE4,Diabetes Mellitus; Hypertension,2006-11-27 00:00:00+00:00,2,Hypertension,Hypertension,@DISEASE_Hypertension,exact,True,,0,5,0
Atorvastatin,NCT00279708,Atorvastatin to Treat Pulmonary Sarcoidosis,COMPLETED,PHASE2,"Sarcoidosis, Pulmonary",2006-01-18 00:00:00+00:00,3,"Sarcoidosis, Pulmonary",Sarcoidosis Pulmonary,@DISEASE_Sarcoidosis_Pulmonary,exact,True,,0,1,0
Atorvastatin,NCT02207634,Evaluating PCSK9 Binding antiBody Influence oN coGnitive HeAlth in High cardiovascUlar Risk Subjects,COMPLETED,PHASE3,Dyslipidemia,2014-07-31 00:00:00+00:00,4,Dyslipidemia,Dyslipidemias,@DISEASE_Dyslipidemias,token_set_exact,True,,0,1,0
Atorvastatin,NCT01081548,A Clinical Trial Study to Evaluate Efficacy and Safety of Atorvastatin in Korean Patients With Hypercholesterolemia,COMPLETED,PHASE4,Hypercholesterolemia,2010-03-04 00:00:00+00:00,6,Hypercholesterolemia,Hypercholesterolemia,@DISEASE_Hypercholesterolemia,exact,True,,0,5,0
Atorvastatin,NCT00653965,Treatment of Hypercholesterolaemia in Hispanic Subjects (STARSHIP),COMPLETED,PHASE3,Hypercholesterolemia; Dyslipidaemia,2008-03-26 00:00:00+00:00,7,Hypercholesterolemia,Hypercholesterolemia,@DISEASE_Hypercholesterolemia,exact,True,,0,5,0
Atorvastatin,NCT05586750,Statins in Reducing Events in the Elderly Mind (STAREE-Mind) Imaging Substudy,ACTIVE_NOT_RECRUITING,PHASE4,"Dementia, Mixed; Dementia, Vascular; Dementia of Alzheimer Type; Cognitive Decline; White Matter Hyperintensity; Aging; Neuro-Degenerative Disease",2022-10-10 00:00:00+00:00,9,"Dementia, Mixed",Mixed Dementias,@DISEASE_Mixed_Dementias,token_set_exact,True,,0,1,0
