disease_a,disease_b,shared_drugs
CT_UNMAPPED::breast cancer,CT_UNMAPPED::prostate cancer,34
CT_UNMAPPED::breast cancer,CT_UNMAPPED::cancer,34
CT_UNMAPPED::diabetes,CT_UNMAPPED::type 2 diabetes,34
CT_UNMAPPED::chronic kidney disease,CT_UNMAPPED::diabetes,33
CT_UNMAPPED::cardiovascular disease,CT_UNMAPPED::diabetes,32
CT_UNMAPPED::breast cancer,CT_UNMAPPED::depression,28
CT_UNMAPPED::chronic kidney diseases,CT_UNMAPPED::diabetes,28
CT_UNMAPPED::cardiovascular disease,CT_UNMAPPED::chronic kidney disease,27
CT_UNMAPPED::depression,CT_UNMAPPED::psychosomatic disorders,26
CT_UNMAPPED::breast cancer,CT_UNMAPPED::mild cognitive impairment,26
CT_UNMAPPED::cardiovascular disease,CT_UNMAPPED::type 2 diabetes,26
CT_UNMAPPED::breast cancer,CT_UNMAPPED::covid19,25
CT_UNMAPPED::breast cancer,CT_UNMAPPED::head and neck cancer,25
CT_UNMAPPED::depression,CT_UNMAPPED::mild cognitive impairment,25
CT_UNMAPPED::chronic kidney disease,CT_UNMAPPED::type 2 diabetes,25
CT_UNMAPPED::breast cancer,CT_UNMAPPED::diabetes,25
CT_UNMAPPED::breast cancer,CT_UNMAPPED::pregnancy,25
CT_UNMAPPED::breast cancer,CT_UNMAPPED::colorectal cancer,25
CT_UNMAPPED::breast cancer,CT_UNMAPPED::hiv,24
CT_UNMAPPED::aging,CT_UNMAPPED::breast cancer,24
CT_UNMAPPED::breast cancer,CT_UNMAPPED::type 2 diabetes,24
CT_UNMAPPED::chronic kidney disease,CT_UNMAPPED::chronic kidney diseases,23
CT_UNMAPPED::alzheimer s disease,CT_UNMAPPED::breast cancer,23
CT_UNMAPPED::breast cancer,CT_UNMAPPED::surgery,22
CT_UNMAPPED::chronic kidney disease,CT_UNMAPPED::end stage renal disease,22
CT_UNMAPPED::diabetes,CT_UNMAPPED::end stage renal disease,22
CT_UNMAPPED::alzheimer s disease,CT_UNMAPPED::depression,22
CT_UNMAPPED::aging,CT_UNMAPPED::diabetes,22
CT_UNMAPPED::breast cancer,CT_UNMAPPED::lung cancer,22
CT_UNMAPPED::breast cancer,CT_UNMAPPED::chronic low back pain,21
CT_UNMAPPED::breast cancer,CT_UNMAPPED::migraine,21
CT_UNMAPPED::cancer,CT_UNMAPPED::mild cognitive impairment,21
CT_UNMAPPED::cardiovascular disease,CT_UNMAPPED::chronic kidney diseases,21
CT_UNMAPPED::aging,CT_UNMAPPED::chronic kidney disease,21
CT_UNMAPPED::chronic kidney diseases,CT_UNMAPPED::type 2 diabetes,21
CT_UNMAPPED::breast cancer,CT_UNMAPPED::cardiovascular disease,21
CT_UNMAPPED::breast cancer,CT_UNMAPPED::pancreatic cancer,21
CT_UNMAPPED::breast cancer,CT_UNMAPPED::cognitive impairment,20
CT_UNMAPPED::cancer,CT_UNMAPPED::prostate cancer,20
CT_UNMAPPED::cardiovascular disease,CT_UNMAPPED::covid19,20
CT_UNMAPPED::blood pressure,CT_UNMAPPED::diabetes,20
CT_UNMAPPED::diabetes,CT_UNMAPPED::type 1 diabetes,20
CT_UNMAPPED::type 1 diabetes,CT_UNMAPPED::type 2 diabetes,20
CT_UNMAPPED::cancer,CT_UNMAPPED::covid19,20
CT_UNMAPPED::chronic kidney diseases,CT_UNMAPPED::covid19,20
CT_UNMAPPED::covid19,CT_UNMAPPED::diabetes,20
CT_UNMAPPED::covid19,CT_UNMAPPED::end stage renal disease,20
CT_UNMAPPED::aging,CT_UNMAPPED::cardiovascular disease,20
CT_UNMAPPED::mild cognitive impairment,CT_UNMAPPED::type 2 diabetes,20
CT_UNMAPPED::prostate cancer,CT_UNMAPPED::type 2 diabetes,20
CT_UNMAPPED::breast cancer,CT_UNMAPPED::ovarian cancer,19
CT_UNMAPPED::cardiovascular disease,CT_UNMAPPED::end stage renal disease,19
CT_UNMAPPED::chronic kidney diseases,CT_UNMAPPED::end stage renal disease,19
CT_UNMAPPED::cancer,CT_UNMAPPED::depression,19
CT_UNMAPPED::aging,CT_UNMAPPED::type 2 diabetes,19
CT_UNMAPPED::cancer,CT_UNMAPPED::pregnancy,19
CT_UNMAPPED::breast cancer,CT_UNMAPPED::unspecified adult solid tumor protocol specific,18
CT_UNMAPPED::cancer,CT_UNMAPPED::end stage renal disease,18
CT_UNMAPPED::breast cancer,CT_UNMAPPED::end stage renal disease,18
CT_UNMAPPED::cancer,CT_UNMAPPED::diabetes,18
CT_UNMAPPED::cognitive impairment,CT_UNMAPPED::depression,18
CT_UNMAPPED::diabetes,CT_UNMAPPED::hiv,18
CT_UNMAPPED::hiv,CT_UNMAPPED::type 2 diabetes,18
CT_UNMAPPED::covid19,CT_UNMAPPED::prostate cancer,18
CT_UNMAPPED::diabetes,CT_UNMAPPED::mild cognitive impairment,18
CT_UNMAPPED::alzheimer s disease,CT_UNMAPPED::mild cognitive impairment,18
CT_UNMAPPED::mild cognitive impairment,CT_UNMAPPED::pregnancy,18
CT_UNMAPPED::covid19,CT_UNMAPPED::type 2 diabetes,18
CT_UNMAPPED::aging,CT_UNMAPPED::prostate cancer,18
CT_UNMAPPED::breast cancer,CT_UNMAPPED::chronic kidney disease,18
CT_UNMAPPED::breast cancer,CT_UNMAPPED::menopause,18
CT_UNMAPPED::diabetes,CT_UNMAPPED::prostate cancer,18
CT_UNMAPPED::breast cancer,CT_UNMAPPED::non small cell lung cancer,18
CT_UNMAPPED::breast cancer,CT_UNMAPPED::sickle cell disease,17
CT_UNMAPPED::opioid use,CT_UNMAPPED::surgery,17
CT_UNMAPPED::cancer,CT_UNMAPPED::hiv,17
CT_UNMAPPED::cancer,CT_UNMAPPED::lung cancer,17
CT_UNMAPPED::hiv,CT_UNMAPPED::prostate cancer,17
CT_UNMAPPED::mild cognitive impairment,CT_UNMAPPED::prostate cancer,17
CT_UNMAPPED::blood pressure,CT_UNMAPPED::chronic kidney diseases,17
