node,degree,weighted_degree
@DISEASE_Hypertension,118,22977.0
@DISEASE_Pain,126,22946.0
@DISEASE_Inflammation,134,22915.0
@DISEASE_Neoplasms,134,20743.0
@DISEASE_Diabetes_Mellitus_Type_2,110,18673.0
@DISEASE_Depressive_Disorder,120,17748.0
@DISEASE_Diabetes_Mellitus,128,14155.0
@DISEASE_Hemorrhage,99,13430.0
@DISEASE_Arthritis_Rheumatoid,89,12818.0
@DISEASE_Atrial_Fibrillation,77,11802.0
@DISEASE_Heart_Failure,105,11407.0
@DISEASE_Stroke,110,11041.0
@DISEASE_Hypothyroidism,55,10770.0
@DISEASE_Seizures,112,10521.0
@DISEASE_Cardiovascular_Diseases,116,9367.0
@DISEASE_Asthma,95,9288.0
@DISEASE_Epilepsy,96,8317.0
@DISEASE_Infections,114,8264.0
@DISEASE_Myocardial_Infarction,110,8088.0
@DISEASE_Breast_Neoplasms,117,7637.0
@DISEASE_Fever,103,7103.0
@DISEASE_Drug_Related_Side_Effects_and_Adverse_Reactions,120,6947.0
@DISEASE_Thrombosis,67,6162.0
@DISEASE_Obesity,120,5825.0
@DISEASE_Depressive_Disorder_Major,74,5814.0
@DISEASE_Alzheimer_Disease,110,5691.0
@DISEASE_Bipolar_Disorder,82,5647.0
@DISEASE_Attention_Deficit_Disorder_with_Hyperactivity,71,5541.0
@DISEASE_Headache,109,5227.0
@DISEASE_Death,121,5142.0
@DISEASE_Acute_Coronary_Syndrome,64,5134.0
@DISEASE_Kidney_Diseases,111,5063.0
@DISEASE_COVID_19,116,4858.0
@DISEASE_Migraine_Disorders,90,4809.0
@DISEASE_Hypotension,96,4770.0
@DISEASE_Coronary_Artery_Disease,84,4726.0
@DISEASE_Mental_Disorders,109,4684.0
@DISEASE_Polycystic_Ovary_Syndrome,52,4652.0
@DISEASE_Chemical_and_Drug_Induced_Liver_Injury,91,4610.0
@DISEASE_Anxiety,103,4583.0
@DISEASE_Edema,118,4306.0
@DISEASE_Psoriasis,64,4118.0
@DISEASE_Venous_Thromboembolism,30,4111.0
@DISEASE_Liver_Failure,92,4089.0
@DISEASE_Atherosclerosis,80,3958.0
@DISEASE_Neuralgia,87,3888.0
@DISEASE_Heart_Diseases,113,3862.0
@DISEASE_Lupus_Erythematosus_Systemic,77,3844.0
@DISEASE_Blood_Platelet_Disorders,90,3840.0
@DISEASE_Cerebral_Infarction,94,3746.0
