node,degree,weighted_degree
aspirin,2097,70464.0
methotrexate,2121,59955.0
metformin,1490,45174.0
prednisolone,2809,38615.0
prednisone,2686,34764.0
warfarin,1349,33862.0
testosterone,1288,31173.0
thyroid,1541,29780.0
methylprednisolone,2388,28435.0
valproate,1337,28053.0
estradiol,1404,27651.0
folic acid,1434,25564.0
acetaminophen,1003,25433.0
propranolol,1548,20667.0
doxycycline,1887,19300.0
clopidogrel,786,18817.0
levothyroxine,1216,17445.0
sulfamethoxazole,1301,17100.0
acyclovir,1269,16802.0
ciprofloxacin,1336,16020.0
amoxicillin,1252,15648.0
progesterone,1036,15567.0
adalimumab,893,13578.0
hydroxychloroquine,1067,13360.0
rivaroxaban,642,13220.0
nifedipine,1029,12830.0
atorvastatin,1026,12502.0
fluoxetine,788,11881.0
ibuprofen,1068,11866.0
gabapentin,949,11780.0
clonidine,913,11170.0
simvastatin,1067,11064.0
cyanocobalamin,1068,11037.0
diclofenac,872,10139.0
clindamycin,1034,9719.0
triamcinolone,992,9609.0
pioglitazone,795,9594.0
methylphenidate,514,9484.0
sildenafil,849,9419.0
celecoxib,954,9343.0
losartan,845,9042.0
allopurinol,871,8814.0
cholecalciferol,1045,8779.0
topiramate,656,8663.0
levetiracetam,686,8395.0
furosemide,862,8137.0
apixaban,474,8073.0
pregabalin,603,7954.0
lamotrigine,531,7873.0
omeprazole,588,7760.0
