disease_concept_id,disease_concept_label,n_trials,n_rows,disease_id,disease_name,n_edges,n_drug_names,n_drug_ids,pmid_count_sum,total_articles_sum,pmid_count_median,total_articles_median
@DISEASE_16p11.2_Deletion_Syndrome,16p11.2 Deletion Syndrome,1,1,@DISEASE_16p11.2_Deletion_Syndrome,16p11.2 Deletion Syndrome,1,1,1,2,2,2.0,2.0
@DISEASE_AIDS_Dementia_Complex,AIDS Dementia Complex,1,1,@DISEASE_AIDS_Dementia_Complex,AIDS Dementia Complex,11,11,11,19,19,1.0,1.0
@DISEASE_AIDS_Related_Opportunistic_Infections,AIDS Related Opportunistic Infections,1,1,@DISEASE_AIDS_Related_Opportunistic_Infections,AIDS Related Opportunistic Infections,1,1,1,2,2,2.0,2.0
@DISEASE_Abdomen_Acute,Abdomen Acute,1,1,@DISEASE_Abdomen_Acute,Abdomen Acute,27,26,27,72,72,2.0,2.0
@DISEASE_Abdominal_Abscess,Abdominal Abscess,1,1,@DISEASE_Abdominal_Abscess,Abdominal Abscess,9,7,9,43,43,3.0,3.0
@DISEASE_Abdominal_Pain,Abdominal Pain,8,11,@DISEASE_Abdominal_Pain,Abdominal Pain,110,97,110,1590,1668,6.0,6.0
@DISEASE_Abnormalities_Drug_Induced,Abnormalities Drug Induced,1,1,@DISEASE_Abnormalities_Drug_Induced,Abnormalities Drug Induced,78,74,78,651,880,4.0,4.0
@DISEASE_Abortion_Habitual,Abortion Habitual,2,2,@DISEASE_Abortion_Habitual,Abortion Habitual,58,49,58,695,833,4.0,4.0
@DISEASE_Abortion_Missed,Abortion Missed,2,2,@DISEASE_Abortion_Missed,Abortion Missed,9,7,9,23,23,1.0,1.0
@DISEASE_Abortion_Septic,Abortion Septic,2,2,@DISEASE_Abortion_Septic,Abortion Septic,5,5,5,10,10,1.0,1.0
@DISEASE_Abortion_Spontaneous,Abortion Spontaneous,1,1,@DISEASE_Abortion_Spontaneous,Abortion Spontaneous,38,34,38,710,1013,5.0,5.0
@DISEASE_Abortion_Threatened,Abortion Threatened,2,2,@DISEASE_Abortion_Threatened,Abortion Threatened,8,6,8,110,110,1.5,1.5
@DISEASE_Abscess,Abscess,12,14,@DISEASE_Abscess,Abscess,49,43,49,707,848,2.0,2.0
@DISEASE_Acanthamoeba_Keratitis,Acanthamoeba Keratitis,1,1,@DISEASE_Acanthamoeba_Keratitis,Acanthamoeba Keratitis,12,10,12,20,20,1.0,1.0
@DISEASE_Acanthosis_Nigricans,Acanthosis Nigricans,1,1,@DISEASE_Acanthosis_Nigricans,Acanthosis Nigricans,15,14,15,84,84,3.0,3.0
@DISEASE_Achlorhydria,Achlorhydria,1,1,@DISEASE_Achlorhydria,Achlorhydria,7,7,7,76,76,3.0,3.0
@DISEASE_Acid_Base_Imbalance,Acid Base Imbalance,1,1,@DISEASE_Acid_Base_Imbalance,Acid Base Imbalance,15,13,15,22,22,1.0,1.0
@DISEASE_Acidosis,Acidosis,1,1,@DISEASE_Acidosis,Acidosis,50,46,50,567,568,6.0,6.0
@DISEASE_Acidosis_Lactic,Acidosis Lactic,2,2,@DISEASE_Acidosis_Lactic,Acidosis Lactic,14,14,14,139,856,2.5,2.5
@DISEASE_Acidosis_Renal_Tubular,Acidosis Renal Tubular,1,1,@DISEASE_Acidosis_Renal_Tubular,Acidosis Renal Tubular,24,23,24,103,103,2.0,2.0
