drug_key,drug,n_ct_diseases,n_ct_trials_sum,example_drug_name,n_drug_ids,n_diseases_max,n_edges_max,pmid_count_sum_max,total_articles_sum_max,total_articles_median_median,link_status
acetaminophen,Acetaminophen,397,554,Acetaminophen,7.0,995.0,995.0,10842.0,25266.0,1.0,matched
acetaminophen hydrocodone,Acetaminophen; Hydrocodone,219,389,,,,,,,,no_pubtator_match
acetaminophen oxycodone,Acetaminophen; Oxycodone,294,545,,,,,,,,no_pubtator_match
acyclovir,Acyclovir,421,645,Acyclovir,6.0,1179.0,1179.0,9471.0,14520.0,1.0,matched
adalimumab,Adalimumab,130,398,Adalimumab,1.0,893.0,893.0,6518.0,13578.0,2.0,matched
albuterol,Albuterol,113,361,Albuterol,2.0,480.0,480.0,3396.0,6387.0,1.5,matched
alendronate,Alendronate,129,303,Alendronate,2.0,568.0,568.0,4090.0,7737.0,1.5,matched
allopurinol,Allopurinol,253,451,Allopurinol,3.0,871.0,871.0,6711.0,8800.0,1.0,matched
alprazolam,Alprazolam,79,114,Alprazolam,1.0,296.0,296.0,1652.0,2088.0,2.0,matched
amitriptyline,Amitriptyline,178,251,Amitriptyline,4.0,660.0,660.0,4786.0,6563.0,1.5,matched
amlodipine,Amlodipine,137,398,Amlodipine,7.0,582.0,582.0,4562.0,7189.0,1.0,matched
amoxicillin,Amoxicillin,262,433,Amoxicillin,3.0,997.0,997.0,7566.0,10554.0,2.0,matched
amoxicillin clavulanate,Amoxicillin; Clavulanate,333,491,,,,,,,,no_pubtator_match
apixaban,Apixaban,261,551,Apixaban,1.0,474.0,474.0,3644.0,8073.0,2.0,matched
aripiprazole,Aripiprazole,151,460,Aripiprazole,3.0,448.0,448.0,4552.0,7044.0,2.0,matched
aspirin,Aspirin,320,503,Aspirin,10.0,2056.0,2056.0,29078.0,68847.0,1.0,matched
atenolol,Atenolol,105,206,Atenolol,2.0,538.0,538.0,3904.0,5786.0,1.5,matched
atorvastatin,Atorvastatin,300,508,Atorvastatin,3.0,1026.0,1026.0,8798.0,12486.0,1.0,matched
azelastine,Azelastine,19,71,Azelastine,1.0,163.0,163.0,947.0,980.0,1.0,matched
azithromycin,Azithromycin,297,493,,,,,,,,no_pubtator_match
baclofen,Baclofen,140,218,Baclofen,1.0,620.0,620.0,5134.0,6911.0,2.0,matched
benzonatate,Benzonatate,1,3,,,,,,,,no_pubtator_match
budesonide formoterol,Budesonide; Formoterol,87,351,,,,,,,,no_pubtator_match
bupropion,Bupropion,208,451,Bupropion,3.0,363.0,363.0,3334.0,4810.0,1.0,matched
buspirone,Buspirone,76,107,Buspirone,1.0,299.0,299.0,1690.0,1925.0,2.0,matched
carvedilol,Carvedilol,243,470,Carvedilol,1.0,576.0,576.0,4126.0,5560.0,2.0,matched
celecoxib,Celecoxib,326,474,Celecoxib,4.0,952.0,952.0,6667.0,9273.0,1.0,matched
cephalexin,Cephalexin,144,179,Cephalexin,2.0,312.0,312.0,1226.0,1307.0,1.0,matched
cetirizine,Cetirizine,91,161,Cetirizine,2.0,279.0,279.0,1677.0,1734.0,1.5,matched
chlorthalidone,Chlorthalidone,66,179,Chlorthalidone,2.0,135.0,135.0,857.0,1363.0,1.5,matched
cholecalciferol,Cholecalciferol,331,518,Cholecalciferol,4.0,1045.0,1045.0,7333.0,8768.0,1.75,matched
citalopram,Citalopram,195,435,Citalopram,1.0,399.0,399.0,2778.0,3993.0,2.0,matched
clindamycin,Clindamycin,312,478,Clindamycin,5.0,1022.0,1022.0,7650.0,9338.0,1.0,matched
clobetasol,Clobetasol,78,147,Clobetasol,2.0,264.0,264.0,1242.0,1347.0,1.5,matched
clonazepam,Clonazepam,46,71,,,,,,,,no_pubtator_match
clonidine,Clonidine,364,512,Clonidine,4.0,912.0,912.0,8070.0,11160.0,1.5,matched
clopidogrel,Clopidogrel,264,539,Clopidogrel,3.0,786.0,786.0,7881.0,18810.0,1.0,matched
cyanocobalamin,Cyanocobalamin,377,494,Cyanocobalamin,4.0,1066.0,1066.0,9083.0,11023.0,1.0,matched
cyclobenzaprine,Cyclobenzaprine,62,93,Cyclobenzaprine,1.0,83.0,83.0,278.0,278.0,1.0,matched
dapagliflozin,Dapagliflozin,225,449,Dapagliflozin,1.0,391.0,391.0,3563.0,5535.0,2.0,matched
dexmethylphenidate,Dexmethylphenidate,26,56,,,,,,,,no_pubtator_match
dextroamphetamine dextroamphetamine saccharate amphetamine amphetamine aspartate,Dextroamphetamine; Dextroamphetamine Saccharate; Amphetamine; Amphetamine Aspartate,2,5,,,,,,,,no_pubtator_match
diclofenac,Diclofenac,299,430,Diclofenac,6.0,853.0,853.0,6632.0,9858.0,1.0,matched
diltiazem,Diltiazem,130,189,Diltiazem,1.0,691.0,691.0,5625.0,6844.0,2.0,matched
docusate,Docusate,79,96,Docusate,1.0,34.0,34.0,91.0,91.0,1.0,matched
donepezil,Donepezil,165,392,Donepezil,3.0,436.0,436.0,3039.0,5637.0,1.0,matched
doxycycline,Doxycycline,355,479,Doxycycline,2.0,1887.0,1887.0,15996.0,19297.0,2.0,matched
dulaglutide,Dulaglutide,77,181,,,,,,,,no_pubtator_match
duloxetine,Duloxetine,222,456,Duloxetine,2.0,432.0,432.0,3439.0,5317.0,1.5,matched
empagliflozin,Empagliflozin,217,450,Empagliflozin,1.0,409.0,409.0,3461.0,5558.0,2.0,matched
ergocalciferol,Ergocalciferol,166,279,Ergocalciferol,1.0,263.0,263.0,1187.0,1220.0,2.0,matched
escitalopram,Escitalopram,195,435,Escitalopram,2.0,373.0,373.0,2217.0,3765.0,1.5,matched
esomeprazole,Esomeprazole,180,377,Esomeprazole,1.0,237.0,237.0,1479.0,1838.0,2.0,matched
estradiol,Estradiol,319,498,Estradiol,8.0,1256.0,1256.0,17274.0,23921.0,1.5,matched
ethinyl estradiol levonorgestrel,Ethinyl Estradiol; Levonorgestrel,125,161,,,,,,,,no_pubtator_match
ethinyl estradiol norethindrone,Ethinyl Estradiol; Norethindrone,57,71,,,,,,,,no_pubtator_match
ethinyl estradiol norgestimate,Ethinyl Estradiol; Norgestimate,231,320,,,,,,,,no_pubtator_match
ezetimibe,Ezetimibe,178,479,Ezetimibe,1.0,315.0,315.0,2598.0,3400.0,2.0,matched
famotidine,Famotidine,185,255,Famotidine,1.0,306.0,306.0,1549.0,1656.0,1.0,matched
fenofibrate,Fenofibrate,143,311,Fenofibrate,1.0,507.0,507.0,3635.0,4381.0,2.0,matched
ferrous sulfate,Ferrous Sulfate,214,518,Ferrous Sulfate,3.0,183.0,183.0,748.0,827.0,1.0,matched
finasteride,Finasteride,66,115,Finasteride,1.0,257.0,257.0,1826.0,3262.0,2.0,matched
fluoxetine,Fluoxetine,225,483,Fluoxetine,2.0,788.0,788.0,7714.0,11872.0,2.5,matched
fluticasone,Fluticasone,90,340,Fluticasone,5.0,297.0,297.0,2189.0,3970.0,1.0,matched
fluticasone salmeterol,Fluticasone; Salmeterol,45,319,,,,,,,,no_pubtator_match
