drug,nct_id,title,status,phase,disease,first_submit
Atorvastatin,NCT04325009,"Bioequivalence Study Between ""Dong-A Atorvastatin Tab"" and ""Lipitor Tab""",UNKNOWN,PHASE1,Healthy,2020-03-25
Atorvastatin,NCT00681525,"A Multiple-Dose Pharmacokinetic Interaction Study Between ABT-335, Atorvastatin and Ezetimibe",COMPLETED,PHASE1,Pharmacokinetics,2008-05-19
Atorvastatin,NCT02245269,Pharmacokinetics of Atorvastatin With Tipranavir/Ritonavir and the Effect of Antacid on the Pharmacokinetics of Single-Dose Tipranavir/Ritonavir in Healthy Volunteers,COMPLETED,PHASE1,Healthy,2014-09-18
Atorvastatin,NCT01645449,"Bioequivalence Study of Atorvastatin Calcium Tablets, 80 mg of Dr. Reddy's Under Fasting Conditions",COMPLETED,PHASE1,Healthy,2012-07-18
Atorvastatin,NCT00344955,"Acute Effect of HMG-CoA Reductase Inhibition (Atorvastatin)on Renal Hemodynamics, Tubular Function and Vasoactive Hormones on Healthy Subjects",COMPLETED,PHASE4,Healthy,2006-06-24
Atorvastatin,NCT01645384,"Bioequivalence Study of Atorvastatin Calcium Tablets, 40 mg Under Fasting Conditions",COMPLETED,PHASE1,Healthy,2012-07-18
Atorvastatin,NCT02501200,CKD-391 Pharmacokinetic Study Phase I,COMPLETED,PHASE1,Healthy,2015-07-16
Atorvastatin,NCT06191991,A Phase 1 Study to Evaluate the Drug-Drug Interaction Potential Between ALG-055009 and Statin Therapy(Ies),COMPLETED,PHASE1,Healthy Volunteers,2023-11-03
Atorvastatin,NCT00960323,Drug-Drug Interaction Study Between Colchicine and Atorvastatin,COMPLETED,PHASE1,Healthy,2009-08-13
Atorvastatin,NCT04270370,A Study of LY3478045 in Healthy Participants,COMPLETED,PHASE1,Healthy,2020-02-13
Atorvastatin,NCT00678522,The Acute Effect of Atorvastain on Renal Function in Patients With Type II Diabetes,COMPLETED,PHASE4,Healthy Subjects,2008-05-13
Atorvastatin,NCT05464628,Drug Interaction Study of ASC42 With Atorvastatin,COMPLETED,PHASE1,Healthy,2022-07-12
Metformin,NCT01273571,A Pharmacokinetic and Pharmacodynamic Study of Metformin and Canagliflozin in Healthy Adult Volunteers,COMPLETED,PHASE1,Healthy,2010-12-23
Metformin,NCT02183571,Bioequivalence Study of Two Strengths of Two Different Metformin Tablets Administered to Healthy Male and Female Subjects,COMPLETED,PHASE1,Healthy,2014-07-07
Metformin,NCT04859452,"A Study to Evaluate the DDI of DBPR108 With Metformin,Glibenclamide,Valsartan, or Simvastatin in Healthy Subjects",COMPLETED,PHASE1,Healthy Subjects,2021-04-21
Metformin,NCT01560481,Clinical Trial to Evaluate Safety and pK Profile of Metformin Glycinate in Healthy Volunteers,COMPLETED,PHASE1,Healthy,2012-02-09
Metformin,NCT00865748,A Relative Bioavailability Study of Metformin HCl 500 mg ER Tablets Under Fasting Conditions,COMPLETED,PHASE1,Healthy,2009-03-18
Metformin,NCT01454622,"A Study to Assess the Bioequivalence of 2 Fixed Dose Combination (FDC) Tablets of Canagliflozin and Metformin Immediate Release (IR) (50 mg/1,000 mg) With Respect to the Individual Components of Canagliflozin (1 x 100 mg) and Metformin IR Tablets (2 x 1,000 mg) in Healthy Volunteers",COMPLETED,PHASE1,Healthy,2011-10-17
Metformin,NCT03826641,"A Study to Evaluate the Pharmacokinetics, Safety and Tolerability of HCP1801 in Healthy Subjects",COMPLETED,PHASE1,Healthy,2019-01-28
Metformin,NCT02212756,Pharmacokinetic Profiles of Metformin With DW1029M,COMPLETED,PHASE1,Healthy,2014-08-05
Metformin,NCT03393208,Glucophage Immediate Release (GIR) China Bioequivalence Study,COMPLETED,PHASE1,Healthy,2017-12-22
Metformin,NCT01662674,BE Study of the Combinations of Gemigliptin 50mg and Metformin HCl Extended Release 1000mg in Comparison to Each Component Administered Alone,COMPLETED,PHASE1,Healthy,2012-08-06
Metformin,NCT07121959,A Study of Belzutifan (MK-6482) and Metformin in Healthy Adult Participants (MK-6482-039),COMPLETED,PHASE1,Healthy,2025-08-12
Metformin,NCT02745912,Study to Evaluate the Effect of Naltrexone and Bupropion Combination on the Pharmacokinetics of Metformin in Healthy Participants,COMPLETED,PHASE1,Healthy Subjects,2016-04-18
Metformin,NCT06335134,"A Drug-Drug Interaction Study Between XW003 and Metformin, Warfarin, Rosuvastatin or Digoxin",COMPLETED,PHASE1,Healthy Volunteers,2023-07-29
Metformin,NCT02223026,Relative Bioavailability of a Linagliptin+Metformin Fixed Dose Combination Tablet Administered With and Without Food to Healthy Male and Female Subjects,COMPLETED,PHASE1,Healthy,2014-08-21
Metformin,NCT01540487,Pharmacokinetics of Fixed Dose Combination (FDC) Tablets of Linagliptin /Metformin,COMPLETED,PHASE1,Healthy,2012-02-23
Metformin,NCT07216131,A Study to Investigate the Effect of AZD0780 on Metformin Pharmacokinetics in Healthy Adult Volunteers Aged 18 to 55 Years,NOT_YET_RECRUITING,PHASE1,Healthy Participants,2025-10-10
Metformin,NCT07222098,A Clinical Study of MK-1084 With Rosuvastatin and Metformin in Healthy People (MK-1084-016),NOT_YET_RECRUITING,PHASE1,Healthy,2025-10-27
Metformin,NCT00864734,A Relative Bioavailability Study of Glyburide/Metformin HCl 5 mg/500 mg Tablets Under Non-fasting Conditions,COMPLETED,PHASE1,Healthy,2009-03-18
Metformin,NCT06244407,The Bioequivalence Study of Fixed-dose Combination of Vildagliptin and Metformin HCI 50/1000 mg FCT Under Fed Conditions,NOT_YET_RECRUITING,PHASE1,Healthy Volunteer,2024-01-29
Metformin,NCT05965219,A Trial to Evaluate the Effects of Itraconazole and Carbamazepine on the Pharmacokinetics of Emraclidine and of Emraclidine on the Pharmacokinetics of Metformin in Healthy Adult Participants,COMPLETED,PHASE1,Healthy Volunteers,2023-07-20
Metformin,NCT02230995,Bioequivalence of a Fixed Dose Combination Tablet of Empagliflozin/Metformin Extended Release Compared With Mono Compound Tablets in Healthy Subjects,COMPLETED,PHASE1,Healthy,2014-08-29
