drug,nct_id,title,status,phase,disease,first_submit
Atorvastatin,NCT01842256,Study to Investigate the Effect of Telmisartan/S-amlodipine on the Pharmacokinetic Properties of Atorvastatin.,COMPLETED,PHASE1,Essential Hypertension; Hyperlipidemia,2013-04-25
Atorvastatin,NCT01547455,Safety and Efficiency Study of Loading Dose Atorvastatin in Cardiac Surgery,COMPLETED,,Acute Kidney Injury,2012-02-26
Atorvastatin,NCT00404599,Oxidative Stress Lowering Effect of Simvastatin and Atorvastatin.,UNKNOWN,PHASE4,Diabetes Mellitus; Hypertension,2006-11-27
Atorvastatin,NCT00279708,Atorvastatin to Treat Pulmonary Sarcoidosis,COMPLETED,PHASE2,"Sarcoidosis, Pulmonary",2006-01-18
Atorvastatin,NCT02207634,Evaluating PCSK9 Binding antiBody Influence oN coGnitive HeAlth in High cardiovascUlar Risk Subjects,COMPLETED,PHASE3,Dyslipidemia,2014-07-31
Atorvastatin,NCT04984616,Atorvastatin on Inflammation and Cardiac Function in Chronic Chagas Disease,TERMINATED,PHASE2,Chronic Chagas Disease,2021-06-29
Atorvastatin,NCT01081548,A Clinical Trial Study to Evaluate Efficacy and Safety of Atorvastatin in Korean Patients With Hypercholesterolemia,COMPLETED,PHASE4,Hypercholesterolemia,2010-03-04
Atorvastatin,NCT00653965,Treatment of Hypercholesterolaemia in Hispanic Subjects (STARSHIP),COMPLETED,PHASE3,Hypercholesterolemia; Dyslipidaemia,2008-03-26
Atorvastatin,NCT03358017,Neoadjuvant Zoledronate and Atorvastatin in Triple Negative Breast Cancer,COMPLETED,PHASE2,Triple Negative Breast Cancer,2017-11-13
Atorvastatin,NCT05586750,Statins in Reducing Events in the Elderly Mind (STAREE-Mind) Imaging Substudy,ACTIVE_NOT_RECRUITING,PHASE4,"Dementia, Mixed; Dementia, Vascular; Dementia of Alzheimer Type; Cognitive Decline; White Matter Hyperintensity; Aging; Neuro-Degenerative Disease",2022-10-10
Atorvastatin,NCT01720719,Atorvastatin Versus Vitamin E in Treatment of Non-alcoholic Fatty Liver Disease,UNKNOWN,PHASE4,Fatty Liver; Dyslipidemias; Diabetes Mellitus,2012-10-31
Atorvastatin,NCT02201381,"Study of the Safety, Tolerability and Efficacy of Metabolic Combination Treatments on Cancer",WITHDRAWN,PHASE3,Cancer; Overall Survival,2014-07-22
Atorvastatin,NCT02197065,Pilot Study of Atorvastatin for Orthopedic Surgery Patients,COMPLETED,PHASE2,Hip Fracture; Myocardial Ischemia; Inflammation,2014-07-21
Atorvastatin,NCT02030054,Pharmacodynamic Comparison of Rosuvastatin Versus Atorvastatin on Platelet Reactivity in Patients With Coronary Artery Disease on Dual Antiplatelet Therapy With New P2Y12 Inhibitors (Trial gRANADa),UNKNOWN,PHASE4,Coronary Artery Disease,2014-01-06
Atorvastatin,NCT00791648,Short-term Atorvastatin's Effect on Acute Kidney Injury Following Cardiac Surgery,COMPLETED,,Acute Kidney Injury; Post-Operative Delirium; Icu Delirium; Acute Renal Failure; Delirium,2008-11-12
Atorvastatin,NCT05334108,Drug-Drug Interaction Study to Evaluate the Effects of Ecopipam on the Pharmacokinetics of Multiple Substrates for Drug Metabolism and Transport,COMPLETED,PHASE1,Drug Interaction,2022-04-11
Atorvastatin,NCT00795912,A Study Of The Usage Of Statins In A Community Heart Failure Population,COMPLETED,PHASE4,Heart Failure,2008-11-19
Atorvastatin,NCT02386033,Atorvastatin in the Treatment of Mandibular Degree II Furcation Defects,COMPLETED,PHASE2; PHASE3,Chronic Periodontitis,2014-11-30
Atorvastatin,NCT01665235,Blood Pressure Variability and the Prognosis of Ischemic Stroke With Intracranial Artery Stenosis,UNKNOWN,,Blood Pressure Variability; Intracranial Artery Stenosis,2012-08-13
Atorvastatin,NCT02458755,Intensive Statin Treatment in Acute Ischemic Stroke Patients With INtracranial Atherosclerosis,UNKNOWN,PHASE4,Stroke; Intracranial Atherosclerosis,2015-05-05
Atorvastatin,NCT00143234,Amlodipine/Atorvastatin Combination to Reduce the Health Risk of High Blood Pressure and High Cholesterol Levels,COMPLETED,PHASE3,Hypertension; Hyperlipidemia,2005-08-31
Atorvastatin,NCT00930670,Evaluation of the Influence of Statins and Proton Pump Inhibitors on Clopidogrel Antiplatelet Effects,COMPLETED,PHASE4,Coronary Artery Disease,2009-06-29
Atorvastatin,NCT02819869,The Combination Effect of Statin Plus Metformin on Relapse-free,TERMINATED,PHASE2,Hepatocellular Carcinoma,2016-06-28
Atorvastatin,NCT04581759,Endovascular Treatment and RIPC in Acute Ischemic Stroke,UNKNOWN,,Acute Ischemic Stroke; Endovascular Treatment,2020-09-09
Atorvastatin,NCT02089061,Drug Interaction Statin,COMPLETED,PHASE1,Acute Coronary Syndromes,2014-03-14
Atorvastatin,NCT00164086,Atorvastatin in Myeloma,UNKNOWN,PHASE1,Myeloma,2005-09-13
Atorvastatin,NCT02001883,Low-dose Statins and Nutraceuticals in High-intensity Statin-intolerant Patients,UNKNOWN,PHASE4,Coronary Artery Disease,2013-11-24
Atorvastatin,NCT01673178,Multiple Dose Study Of PF-05231023 In Adult Subjects Who Have Poor Lipid Control With And Without Type 2 Diabetes Mellitus,COMPLETED,PHASE1,"Diabetes Melliuts, Type 2",2012-08-22
Atorvastatin,NCT00457340,Atorvastatin For The Reduction Of Ventricular Arrhythmias,COMPLETED,PHASE4,Arrhythmia,2007-04-04
