row_index,nct_id,drug,removed_term,original_disease_field
20,NCT04325009,Atorvastatin,Healthy,Healthy
33,NCT00681525,Atorvastatin,Pharmacokinetics,Pharmacokinetics
39,NCT02245269,Atorvastatin,Healthy,Healthy
54,NCT01518166,Atorvastatin,Healthy,Diabetes; Healthy
59,NCT01645449,Atorvastatin,Healthy,Healthy
60,NCT00344955,Atorvastatin,Healthy,Healthy
90,NCT01645384,Atorvastatin,Healthy,Healthy
103,NCT02501200,Atorvastatin,Healthy,Healthy
149,NCT06191991,Atorvastatin,Healthy Volunteers,Healthy Volunteers
200,NCT00960323,Atorvastatin,Healthy,Healthy
205,NCT04270370,Atorvastatin,Healthy,Healthy
239,NCT00678522,Atorvastatin,Healthy Subjects,Healthy Subjects
254,NCT05464628,Atorvastatin,Healthy,Healthy
314,NCT01273571,Metformin,Healthy,Healthy
318,NCT02183571,Metformin,Healthy,Healthy
346,NCT04859452,Metformin,Healthy Subjects,Healthy Subjects
368,NCT01560481,Metformin,Healthy,Healthy
373,NCT00865748,Metformin,Healthy,Healthy
376,NCT01454622,Metformin,Healthy,Healthy
381,NCT03826641,Metformin,Healthy,Healthy
384,NCT02212756,Metformin,Healthy,Healthy
388,NCT03393208,Metformin,Healthy,Healthy
390,NCT01662674,Metformin,Healthy,Healthy
406,NCT07121959,Metformin,Healthy,Healthy
425,NCT02745912,Metformin,Healthy Subjects,Healthy Subjects
433,NCT06335134,Metformin,Healthy Volunteers,Healthy Volunteers
460,NCT02223026,Metformin,Healthy,Healthy
501,NCT01540487,Metformin,Healthy,Healthy
503,NCT07216131,Metformin,Healthy Participants,Healthy Participants
504,NCT04621656,Metformin,Healthy,Type 2 Diabetes; Pre-Diabetes; Healthy
522,NCT07222098,Metformin,Healthy,Healthy
525,NCT00864734,Metformin,Healthy,Healthy
558,NCT06244407,Metformin,Healthy Volunteer,Healthy Volunteer
565,NCT05965219,Metformin,Healthy Volunteers,Healthy Volunteers
568,NCT02230995,Metformin,Healthy,Healthy
573,NCT05124717,Metformin,Pharmacokinetics,Pharmacokinetics
578,NCT06893978,Metformin,Healthy,Preeclampsia; Pregnancy Loss; Preterm Birth; Healthy
594,NCT03270553,Metformin,Healthy Volunteers,Healthy Volunteers
620,NCT01465646,Levothyroxine,Pharmacokinetics,Pharmacokinetics
630,NCT03043521,Levothyroxine,Healthy,Healthy
649,NCT00312715,Levothyroxine,Healthy Volunteers,Healthy Volunteers
667,NCT03098433,Levothyroxine,Healthy,Healthy
668,NCT03880578,Levothyroxine,Quality of Life,Thyroid; Deficiency; Quality of Life
670,NCT06547242,Levothyroxine,Healthy,Healthy
688,NCT06625814,Levothyroxine,Healthy,Healthy
727,NCT00648882,Levothyroxine,Healthy,Healthy
733,NCT03856970,Levothyroxine,Healthy Volunteers,Healthy Volunteers
757,NCT04037748,Levothyroxine,Healthy,Healthy
759,NCT00647855,Levothyroxine,Healthy,Healthy
774,NCT02570581,Levothyroxine,Healthy,Healthy
802,NCT04573907,Levothyroxine,Healthy,Healthy
814,NCT01465633,Levothyroxine,Pharmacokinetics,Pharmacokinetics
817,NCT03907280,Levothyroxine,Healthy,Healthy
830,NCT05174000,Levothyroxine,Healthy,Healthy
842,NCT00648557,Levothyroxine,Healthy,Healthy
844,NCT01581463,Levothyroxine,Healthy,Healthy
863,NCT03979274,Levothyroxine,Healthy,Healthy
874,NCT00648700,Levothyroxine,Healthy,Healthy
878,NCT02920385,Levothyroxine,Healthy,Diabetes; Healthy
879,NCT03617835,Levothyroxine,Healthy,Healthy
883,NCT04167423,Levothyroxine,Quality of Life,Thyroid Diseases; Pregnancy Related; Quality of Life
899,NCT00531713,Levothyroxine,Quality of Life,Quality of Life; Depression
909,NCT01518166,Lisinopril,Healthy,Diabetes; Healthy
914,NCT01375244,Lisinopril,Healthy,Healthy
939,NCT02070510,Lisinopril,Healthy,Diabetes; Healthy
944,NCT03967496,Lisinopril,Anesthesia,Delirium; Anesthesia; Adverse Effect
996,NCT01936012,Lisinopril,Healthy,Healthy
1001,NCT06772779,Lisinopril,Healthy,Healthy
1024,NCT02641899,Lisinopril,Healthy,Healthy
1034,NCT05061901,Lisinopril,Bioequivalence,Bioequivalence
1039,NCT03599466,Lisinopril,Healthy,Healthy
1062,NCT01181011,Amlodipine,Healthy,Healthy
1066,NCT02089399,Amlodipine,Healthy,Healthy
1101,NCT02259790,Amlodipine,Healthy,Healthy
1116,NCT04322266,Amlodipine,Healthy,Healthy
1127,NCT01823913,Amlodipine,Healthy,Healthy
1130,NCT02194309,Amlodipine,Healthy,Healthy
