def_id,los,diag,metric,k,jaccard,overlap
24_dx1,24,1,diseases,10,0.8181818181818182,9
24_dx1,24,1,diseases,20,0.9047619047619048,19
24_dx1,24,1,diseases,50,0.9607843137254902,49
24_dx1,24,1,diseases,100,0.8518518518518519,92
24_dx3,24,3,diseases,10,0.25,4
24_dx3,24,3,diseases,20,0.3333333333333333,10
24_dx3,24,3,diseases,50,0.25,20
24_dx3,24,3,diseases,100,0.30718954248366015,47
24_dxall,24,all,diseases,10,0.05263157894736842,1
24_dxall,24,all,diseases,20,0.1111111111111111,4
24_dxall,24,all,diseases,50,0.07526881720430108,7
24_dxall,24,all,diseases,100,0.06382978723404255,12
48_dx1,48,1,diseases,10,1.0,10
48_dx1,48,1,diseases,20,1.0,20
48_dx1,48,1,diseases,50,1.0,50
48_dx1,48,1,diseases,100,1.0,100
48_dx3,48,3,diseases,10,0.25,4
48_dx3,48,3,diseases,20,0.3333333333333333,10
48_dx3,48,3,diseases,50,0.25,20
48_dx3,48,3,diseases,100,0.30718954248366015,47
48_dxall,48,all,diseases,10,0.05263157894736842,1
48_dxall,48,all,diseases,20,0.14285714285714285,5
48_dxall,48,all,diseases,50,0.06382978723404255,6
48_dxall,48,all,diseases,100,0.06382978723404255,12
72_dx1,72,1,diseases,10,1.0,10
72_dx1,72,1,diseases,20,1.0,20
72_dx1,72,1,diseases,50,1.0,50
72_dx1,72,1,diseases,100,0.9607843137254902,98
72_dx3,72,3,diseases,10,0.25,4
72_dx3,72,3,diseases,20,0.3333333333333333,10
72_dx3,72,3,diseases,50,0.2345679012345679,19
72_dx3,72,3,diseases,100,0.30718954248366015,47
72_dxall,72,all,diseases,10,0.05263157894736842,1
72_dxall,72,all,diseases,20,0.14285714285714285,5
72_dxall,72,all,diseases,50,0.06382978723404255,6
72_dxall,72,all,diseases,100,0.06382978723404255,12
24_dx1,24,1,drugs,10,0.8181818181818182,9
24_dx1,24,1,drugs,20,0.9047619047619048,19
24_dx1,24,1,drugs,50,0.8867924528301887,47
24_dx1,24,1,drugs,100,0.9152542372881356,54
24_dx3,24,3,drugs,10,0.6666666666666666,8
24_dx3,24,3,drugs,20,0.7391304347826086,17
24_dx3,24,3,drugs,50,0.8518518518518519,46
24_dx3,24,3,drugs,100,0.8656716417910447,58
24_dxall,24,all,drugs,10,0.6666666666666666,8
24_dxall,24,all,drugs,20,0.7391304347826086,17
24_dxall,24,all,drugs,50,0.8181818181818182,45
24_dxall,24,all,drugs,100,0.6941176470588235,59
48_dx1,48,1,drugs,10,1.0,10
48_dx1,48,1,drugs,20,1.0,20
48_dx1,48,1,drugs,50,1.0,50
48_dx1,48,1,drugs,100,1.0,59
48_dx3,48,3,drugs,10,0.6666666666666666,8
48_dx3,48,3,drugs,20,0.7391304347826086,17
48_dx3,48,3,drugs,50,0.8518518518518519,46
48_dx3,48,3,drugs,100,0.8428571428571429,59
48_dxall,48,all,drugs,10,0.6666666666666666,8
48_dxall,48,all,drugs,20,0.7391304347826086,17
48_dxall,48,all,drugs,50,0.8181818181818182,45
48_dxall,48,all,drugs,100,0.6781609195402298,59
72_dx1,72,1,drugs,10,1.0,10
72_dx1,72,1,drugs,20,0.9047619047619048,19
72_dx1,72,1,drugs,50,0.9607843137254902,49
72_dx1,72,1,drugs,100,1.0,59
72_dx3,72,3,drugs,10,0.6666666666666666,8
72_dx3,72,3,drugs,20,0.7391304347826086,17
72_dx3,72,3,drugs,50,0.8518518518518519,46
72_dx3,72,3,drugs,100,0.8428571428571429,59
72_dxall,72,all,drugs,10,0.6666666666666666,8
72_dxall,72,all,drugs,20,0.7391304347826086,17
72_dxall,72,all,drugs,50,0.8181818181818182,45
72_dxall,72,all,drugs,100,0.6704545454545454,59
