k,n_total_defs,item,n_defs
20,9,"acute kidney failure, unspecified",9
20,9,atrial fibrillation,9
20,9,coronary atherosclerosis of native coronary artery,9
20,9,"urinary tract infection, site not specified",8
20,9,acute on chronic diastolic heart failure,6
20,9,atherosclerotic heart disease of native coronary artery without angina pectoris,6
20,9,"congestive heart failure, unspecified",6
20,9,encounter for antineoplastic chemotherapy,6
20,9,essential (primary) hypertension,6
20,9,"hypertensive heart and chronic kidney disease with heart failure and stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease",6
20,9,non-st elevation (nstemi) myocardial infarction,6
20,9,"pneumonia, organism unspecified",6
20,9,"sepsis, unspecified organism",6
20,9,unspecified essential hypertension,6
20,9,acute on chronic diastolic (congestive) heart failure,3
20,9,acute on chronic systolic (congestive) heart failure,3
20,9,acute on chronic systolic heart failure,3
20,9,acute pancreatitis,3
20,9,acute posthemorrhagic anemia,3
20,9,acute respiratory failure with hypoxia,3
20,9,"anemia, unspecified",3
20,9,"anxiety disorder, unspecified",3
20,9,aortic valve disorders,3
20,9,atherosclerotic heart disease of native coronary artery with unstable angina pectoris,3
20,9,"chronic kidney disease, unspecified",3
20,9,"diabetes mellitus without mention of complication, type ii or unspecified type, not stated as uncontrolled",3
20,9,end stage renal disease,3
20,9,esophageal reflux,3
20,9,gastro-esophageal reflux disease without esophagitis,3
20,9,"hyperlipidemia, unspecified",3
20,9,hypertensive heart disease with heart failure,3
20,9,long term (current) use of anticoagulants,3
20,9,"major depressive disorder, single episode, unspecified",3
20,9,other and unspecified hyperlipidemia,3
20,9,other chest pain,3
20,9,personal history of nicotine dependence,3
20,9,"pneumonia, unspecified organism",3
20,9,"subendocardial infarction, initial episode of care",3
20,9,unspecified septicemia,3
20,9,unspecified severe protein-calorie malnutrition,3
20,9,nonrheumatic aortic (valve) stenosis,2
20,9,"obesity, unspecified",2
20,9,"depressive disorder, not elsewhere classified",1
20,9,old myocardial infarction,1
20,9,"previous cesarean delivery, delivered, with or without mention of antepartum condition",1
