config,truth_source,pmid,missed_drug,missed_disease
00_base,pubtator,8165073,Nitrofurantoin,Urologic Diseases
00_base,pubtator,9866667,Cephalexin,Wounds and Injuries
00_base,pubtator,15468607,Trazodone,Sleep Initiation and Maintenance Disorders
00_base,pubtator,17097398,Cephalexin,Dermatitis
00_base,pubtator,17580026,Diltiazem,Fissure in Ano
00_base,pubtator,19169140,Valacyclovir,Herpes Simplex
00_base,pubtator,19169140,Acyclovir,Herpes Simplex
00_base,pubtator,21075537,Gabapentin,Pruritus
00_base,pubtator,21075537,Gabapentin,Burns
00_base,pubtator,21075537,Cetirizine,Pruritus
00_base,pubtator,21075537,Cetirizine,Burns
00_base,pubtator,22915486,Mirtazapine,Depressive Disorder Major
00_base,pubtator,22915486,Mirtazapine,Sleep Deprivation
00_base,pubtator,23082133,Lisinopril,Cardiovascular Diseases
00_base,pubtator,23082133,Lisinopril,Inflammation
00_base,pubtator,23082133,Lisinopril,HIV Infections
00_base,pubtator,23082133,Pravastatin,Cardiovascular Diseases
00_base,pubtator,23082133,Pravastatin,HIV Infections
00_base,pubtator,23223108,Baclofen,Pain
00_base,pubtator,23223108,Baclofen,Complex Regional Pain Syndromes
00_base,pubtator,23269105,Sertraline,Seizures
00_base,pubtator,23497779,Pravastatin,Coronary Artery Disease
00_base,pubtator,23497779,Pravastatin,Diabetes Mellitus
00_base,pubtator,23570952,Paroxetine,Depressive Disorder Treatment Resistant
00_base,pubtator,24506965,Carvedilol,Breast Neoplasms
00_base,pubtator,26123629,Gabapentin,Depressive Disorder
00_base,pubtator,26123629,Gabapentin,Sleep Initiation and Maintenance Disorders
00_base,pubtator,26123629,Gabapentin,Sleep Wake Disorders
00_base,pubtator,26123629,Gabapentin,Depressive Disorder Major
00_base,pubtator,26550813,Celecoxib,Neuralgia
00_base,pubtator,26572055,Memantine,Mental Disorders
00_base,pubtator,26572055,Memantine,Psychological Trauma
00_base,pubtator,26572055,Memantine,Sleep Deprivation
00_base,pubtator,27367818,Lisinopril,Cardiac Conduction System Disease
00_base,pubtator,28416195,Pravastatin,Dyslipidemias
00_base,pubtator,28416195,Pravastatin,HIV Infections
00_base,pubtator,28416195,Pravastatin,Ischemic Attack Transient
00_base,pubtator,28416195,Pravastatin,Chest Pain
00_base,pubtator,29402860,Zolpidem,Sleep Wake Disorders
00_base,pubtator,29622037,Donepezil,Mental Disorders
00_base,pubtator,29692607,Fluticasone,Pulmonary Disease Chronic Obstructive
00_base,pubtator,30002098,Valsartan,Renal Insufficiency Chronic
00_base,pubtator,30002098,Valsartan,Albuminuria
00_base,pubtator,30002098,Irbesartan,Renal Insufficiency Chronic
00_base,pubtator,30318492,Pravastatin,Cerebral Infarction
00_base,pubtator,30318492,Pravastatin,Ischemic Attack Transient
00_base,pubtator,30326006,Gabapentin,Sciatica
00_base,pubtator,30326006,Pregabalin,Sciatica
00_base,pubtator,31230222,Donepezil,Autistic Disorder
00_base,pubtator,32629738,Pregabalin,Pain Postoperative
00_base,pubtator,32629738,Pregabalin,Hip Injuries
00_base,pubtator,33412422,Escitalopram,Abdominal Pain
00_base,pubtator,34133820,Ibuprofen,Musculoskeletal Pain
00_base,pubtator,34133820,Diclofenac,Musculoskeletal Pain
00_base,pubtator,34218802,Doxycycline,Helicobacter Infections
00_base,pubtator,34453525,Methylphenidate,Attention Deficit Disorder with Hyperactivity
00_base,pubtator,34559090,Clonidine,Substance Withdrawal Syndrome
00_base,pubtator,34793552,Amlodipine,Gastrointestinal Hemorrhage
00_base,pubtator,34793552,Atenolol,Gastrointestinal Hemorrhage
00_base,pubtator,35103836,Ibuprofen,Pain Postoperative
00_base,pubtator,35103836,Diclofenac,Pain Postoperative
00_base,pubtator,35259978,Topiramate,Migraine Disorders
00_base,pubtator,35766202,Methylprednisolone,Arthritis Sacroiliac
00_base,pubtator,35867273,Propranolol,Migraine Disorders
00_base,pubtator,35867273,Propranolol,Headache
00_base,pubtator,35905573,Triamcinolone,Pain
00_base,pubtator,35905573,Triamcinolone,Osteoarthritis
00_base,pubtator,35905573,Triamcinolone,Joint Diseases
