config,truth_source,pmid,missed_drug,missed_disease
01_order,pubtator,8165073,Nitrofurantoin,Urologic Diseases
01_order,pubtator,9866667,Cephalexin,Wounds and Injuries
01_order,pubtator,15468607,Trazodone,Sleep Initiation and Maintenance Disorders
01_order,pubtator,17097398,Cephalexin,Dermatitis
01_order,pubtator,17580026,Diltiazem,Fissure in Ano
01_order,pubtator,19169140,Valacyclovir,Herpes Simplex
01_order,pubtator,19169140,Acyclovir,Herpes Simplex
01_order,pubtator,21075537,Gabapentin,Pruritus
01_order,pubtator,21075537,Gabapentin,Burns
01_order,pubtator,21075537,Cetirizine,Pruritus
01_order,pubtator,21075537,Cetirizine,Burns
01_order,pubtator,22915486,Mirtazapine,Sleep Deprivation
01_order,pubtator,23082133,Lisinopril,Cardiovascular Diseases
01_order,pubtator,23082133,Lisinopril,Inflammation
01_order,pubtator,23082133,Lisinopril,HIV Infections
01_order,pubtator,23082133,Pravastatin,Cardiovascular Diseases
01_order,pubtator,23082133,Pravastatin,HIV Infections
01_order,pubtator,23223108,Baclofen,Pain
01_order,pubtator,23223108,Baclofen,Complex Regional Pain Syndromes
01_order,pubtator,23269105,Sertraline,Seizures
01_order,pubtator,23497779,Pravastatin,Coronary Artery Disease
01_order,pubtator,23497779,Pravastatin,Diabetes Mellitus
01_order,pubtator,23570952,Paroxetine,Depressive Disorder Treatment Resistant
01_order,pubtator,24506965,Carvedilol,Breast Neoplasms
01_order,pubtator,26123629,Gabapentin,Depressive Disorder
01_order,pubtator,26123629,Gabapentin,Sleep Initiation and Maintenance Disorders
01_order,pubtator,26123629,Gabapentin,Sleep Wake Disorders
01_order,pubtator,26550813,Celecoxib,Neuralgia
01_order,pubtator,26572055,Memantine,Mental Disorders
01_order,pubtator,26572055,Memantine,Psychological Trauma
01_order,pubtator,26572055,Memantine,Sleep Deprivation
01_order,pubtator,27367818,Lisinopril,Cardiac Conduction System Disease
01_order,pubtator,28416195,Pravastatin,Dyslipidemias
01_order,pubtator,28416195,Pravastatin,HIV Infections
01_order,pubtator,28416195,Pravastatin,Ischemic Attack Transient
01_order,pubtator,28416195,Pravastatin,Chest Pain
01_order,pubtator,29402860,Zolpidem,Sleep Wake Disorders
01_order,pubtator,29622037,Donepezil,Mental Disorders
01_order,pubtator,30002098,Valsartan,Renal Insufficiency Chronic
01_order,pubtator,30002098,Valsartan,Albuminuria
01_order,pubtator,30002098,Irbesartan,Renal Insufficiency Chronic
01_order,pubtator,30318492,Pravastatin,Cerebral Infarction
01_order,pubtator,30326006,Gabapentin,Sciatica
01_order,pubtator,30326006,Pregabalin,Sciatica
01_order,pubtator,31230222,Donepezil,Autistic Disorder
01_order,pubtator,32629738,Pregabalin,Hip Injuries
01_order,pubtator,33412422,Escitalopram,Abdominal Pain
01_order,pubtator,34133820,Ibuprofen,Musculoskeletal Pain
01_order,pubtator,34133820,Diclofenac,Musculoskeletal Pain
01_order,pubtator,34218802,Doxycycline,Helicobacter Infections
