config,truth_source,pmid,missed_drug
02_order_sing_dis,pubtator,19169140,Acyclovir
02_order_sing_dis,pubtator,30002098,Valsartan
02_order_sing_dis,pubtator,35766202,Methylprednisolone
02_order_sing_dis,pubtator,35905573,Triamcinolone
02_order_sing_dis,pubtator,36173235,Insulin Lispro
02_order_sing_dis,pubtator,36173344,Valsartan
02_order_sing_dis,pubtator,36561129,Fluticasone
02_order_sing_dis,pubtator,36942908,Acetaminophen
02_order_sing_dis,pubtator,40945498,Diclofenac
02_order_sing_dis,pubtator,25796863,Pantoprazole
02_order_sing_dis,pubtator,30302936,Chlorthalidone
02_order_sing_dis,pubtator,32436641,Insulin Lispro
02_order_sing_dis,pubtator,32488923,Insulin Lispro
02_order_sing_dis,pubtator,33097422,Sulfamethoxazole
02_order_sing_dis,pubtator,34847709,Isosorbide
02_order_sing_dis,pubtator,38267312,Insulin Glargine
02_order_sing_dis,rentrez,35905573,Triamcinolone
02_order_sing_dis,rentrez,36173235,Insulin Lispro
02_order_sing_dis,rentrez,36173344,Valsartan
02_order_sing_dis,rentrez,36561129,Fluticasone
02_order_sing_dis,rentrez,40945498,Diclofenac
02_order_sing_dis,rentrez,40945498,Acetaminophen
02_order_sing_dis,rentrez,25796863,Pantoprazole
02_order_sing_dis,rentrez,26577417,Insulin Lispro
02_order_sing_dis,rentrez,30302936,Chlorthalidone
02_order_sing_dis,rentrez,32436641,Insulin Lispro
02_order_sing_dis,rentrez,32488923,Insulin Lispro
02_order_sing_dis,rentrez,34847709,Isosorbide
02_order_sing_dis,rentrez,38267312,Insulin Glargine
02_order_sing_dis,rentrez,40345826,Amoxicillin
02_order_sing_dis,union,19169140,Acyclovir
02_order_sing_dis,union,30002098,Valsartan
02_order_sing_dis,union,35766202,Methylprednisolone
02_order_sing_dis,union,35905573,Triamcinolone
02_order_sing_dis,union,36173235,Insulin Lispro
02_order_sing_dis,union,36173344,Valsartan
02_order_sing_dis,union,36561129,Fluticasone
02_order_sing_dis,union,36942908,Acetaminophen
02_order_sing_dis,union,40945498,Diclofenac
02_order_sing_dis,union,40945498,Acetaminophen
02_order_sing_dis,union,25796863,Pantoprazole
02_order_sing_dis,union,26577417,Insulin Lispro
02_order_sing_dis,union,30302936,Chlorthalidone
02_order_sing_dis,union,32436641,Insulin Lispro
02_order_sing_dis,union,32488923,Insulin Lispro
02_order_sing_dis,union,33097422,Sulfamethoxazole
02_order_sing_dis,union,34847709,Isosorbide
02_order_sing_dis,union,38267312,Insulin Glargine
02_order_sing_dis,union,40345826,Amoxicillin
