config,truth_source,pmid,missed_drug
03_add_drug_dose,pubtator,19169140,Acyclovir
03_add_drug_dose,pubtator,30002098,Valsartan
03_add_drug_dose,pubtator,35766202,Methylprednisolone
03_add_drug_dose,pubtator,35905573,Triamcinolone
03_add_drug_dose,pubtator,36173235,Insulin Lispro
03_add_drug_dose,pubtator,36173344,Valsartan
03_add_drug_dose,pubtator,36561129,Fluticasone
03_add_drug_dose,pubtator,36942908,Acetaminophen
03_add_drug_dose,pubtator,40945498,Diclofenac
03_add_drug_dose,pubtator,25796863,Pantoprazole
03_add_drug_dose,pubtator,30302936,Chlorthalidone
03_add_drug_dose,pubtator,32436641,Insulin Lispro
03_add_drug_dose,pubtator,32488923,Insulin Lispro
03_add_drug_dose,pubtator,33097422,Sulfamethoxazole
03_add_drug_dose,pubtator,34847709,Isosorbide
03_add_drug_dose,pubtator,38267312,Insulin Glargine
03_add_drug_dose,rentrez,35905573,Triamcinolone
03_add_drug_dose,rentrez,36173235,Insulin Lispro
03_add_drug_dose,rentrez,36173344,Valsartan
03_add_drug_dose,rentrez,36561129,Fluticasone
03_add_drug_dose,rentrez,40945498,Diclofenac
03_add_drug_dose,rentrez,40945498,Acetaminophen
03_add_drug_dose,rentrez,25796863,Pantoprazole
03_add_drug_dose,rentrez,26577417,Insulin Lispro
03_add_drug_dose,rentrez,30302936,Chlorthalidone
03_add_drug_dose,rentrez,32436641,Insulin Lispro
03_add_drug_dose,rentrez,32488923,Insulin Lispro
03_add_drug_dose,rentrez,34847709,Isosorbide
03_add_drug_dose,rentrez,38267312,Insulin Glargine
03_add_drug_dose,rentrez,40345826,Amoxicillin
03_add_drug_dose,union,19169140,Acyclovir
03_add_drug_dose,union,30002098,Valsartan
03_add_drug_dose,union,35766202,Methylprednisolone
03_add_drug_dose,union,35905573,Triamcinolone
03_add_drug_dose,union,36173235,Insulin Lispro
03_add_drug_dose,union,36173344,Valsartan
03_add_drug_dose,union,36561129,Fluticasone
03_add_drug_dose,union,36942908,Acetaminophen
03_add_drug_dose,union,40945498,Diclofenac
03_add_drug_dose,union,40945498,Acetaminophen
03_add_drug_dose,union,25796863,Pantoprazole
03_add_drug_dose,union,26577417,Insulin Lispro
03_add_drug_dose,union,30302936,Chlorthalidone
03_add_drug_dose,union,32436641,Insulin Lispro
03_add_drug_dose,union,32488923,Insulin Lispro
03_add_drug_dose,union,33097422,Sulfamethoxazole
03_add_drug_dose,union,34847709,Isosorbide
03_add_drug_dose,union,38267312,Insulin Glargine
03_add_drug_dose,union,40345826,Amoxicillin
