config,truth_source,pmid,missed_drug,missed_disease
04_add_salts,pubtator,8165073,Nitrofurantoin,Urologic Diseases
04_add_salts,pubtator,9866667,Cephalexin,Wounds and Injuries
04_add_salts,pubtator,15468607,Trazodone,Sleep Initiation and Maintenance Disorders
04_add_salts,pubtator,17097398,Cephalexin,Dermatitis
04_add_salts,pubtator,17580026,Diltiazem,Fissure in Ano
04_add_salts,pubtator,19169140,Valacyclovir,Herpes Simplex
04_add_salts,pubtator,19169140,Acyclovir,Herpes Simplex
04_add_salts,pubtator,21075537,Gabapentin,Pruritus
04_add_salts,pubtator,21075537,Gabapentin,Burns
04_add_salts,pubtator,21075537,Cetirizine,Pruritus
04_add_salts,pubtator,21075537,Cetirizine,Burns
04_add_salts,pubtator,22915486,Mirtazapine,Sleep Deprivation
04_add_salts,pubtator,23082133,Lisinopril,Inflammation
04_add_salts,pubtator,23082133,Pravastatin,Cardiovascular Diseases
04_add_salts,pubtator,23223108,Baclofen,Pain
04_add_salts,pubtator,23269105,Sertraline,Seizures
04_add_salts,pubtator,23497779,Pravastatin,Coronary Artery Disease
04_add_salts,pubtator,23497779,Pravastatin,Diabetes Mellitus
04_add_salts,pubtator,23570952,Paroxetine,Depressive Disorder Treatment Resistant
04_add_salts,pubtator,24506965,Carvedilol,Breast Neoplasms
04_add_salts,pubtator,26123629,Gabapentin,Depressive Disorder
04_add_salts,pubtator,26123629,Gabapentin,Sleep Initiation and Maintenance Disorders
04_add_salts,pubtator,26123629,Gabapentin,Sleep Wake Disorders
04_add_salts,pubtator,26550813,Celecoxib,Neuralgia
04_add_salts,pubtator,26572055,Memantine,Mental Disorders
04_add_salts,pubtator,26572055,Memantine,Psychological Trauma
04_add_salts,pubtator,26572055,Memantine,Sleep Deprivation
04_add_salts,pubtator,27367818,Lisinopril,Cardiac Conduction System Disease
04_add_salts,pubtator,28416195,Pravastatin,HIV Infections
04_add_salts,pubtator,28416195,Pravastatin,Ischemic Attack Transient
04_add_salts,pubtator,28416195,Pravastatin,Chest Pain
04_add_salts,pubtator,29402860,Zolpidem,Sleep Wake Disorders
04_add_salts,pubtator,29622037,Donepezil,Mental Disorders
04_add_salts,pubtator,30002098,Valsartan,Renal Insufficiency Chronic
04_add_salts,pubtator,30002098,Valsartan,Albuminuria
04_add_salts,pubtator,30002098,Irbesartan,Renal Insufficiency Chronic
04_add_salts,pubtator,30318492,Pravastatin,Cerebral Infarction
04_add_salts,pubtator,30326006,Gabapentin,Sciatica
04_add_salts,pubtator,30326006,Pregabalin,Sciatica
04_add_salts,pubtator,31230222,Donepezil,Autistic Disorder
04_add_salts,pubtator,32629738,Pregabalin,Hip Injuries
