config,truth_source,pmid,missed_drug,missed_disease
06_add_abbrev,pubtator,8165073,Nitrofurantoin,Urologic Diseases
06_add_abbrev,pubtator,9866667,Cephalexin,Wounds and Injuries
06_add_abbrev,pubtator,15468607,Trazodone,Sleep Initiation and Maintenance Disorders
06_add_abbrev,pubtator,17097398,Cephalexin,Dermatitis
06_add_abbrev,pubtator,17580026,Diltiazem,Fissure in Ano
06_add_abbrev,pubtator,19169140,Valacyclovir,Herpes Simplex
06_add_abbrev,pubtator,19169140,Acyclovir,Herpes Simplex
06_add_abbrev,pubtator,21075537,Gabapentin,Pruritus
06_add_abbrev,pubtator,21075537,Gabapentin,Burns
06_add_abbrev,pubtator,21075537,Cetirizine,Pruritus
06_add_abbrev,pubtator,21075537,Cetirizine,Burns
06_add_abbrev,pubtator,22915486,Mirtazapine,Sleep Deprivation
06_add_abbrev,pubtator,23082133,Lisinopril,Inflammation
06_add_abbrev,pubtator,23082133,Pravastatin,Cardiovascular Diseases
06_add_abbrev,pubtator,23223108,Baclofen,Pain
06_add_abbrev,pubtator,23269105,Sertraline,Seizures
06_add_abbrev,pubtator,23497779,Pravastatin,Coronary Artery Disease
06_add_abbrev,pubtator,23497779,Pravastatin,Diabetes Mellitus
06_add_abbrev,pubtator,23570952,Paroxetine,Depressive Disorder Treatment Resistant
06_add_abbrev,pubtator,24506965,Carvedilol,Breast Neoplasms
06_add_abbrev,pubtator,26123629,Gabapentin,Depressive Disorder
06_add_abbrev,pubtator,26123629,Gabapentin,Sleep Initiation and Maintenance Disorders
06_add_abbrev,pubtator,26123629,Gabapentin,Sleep Wake Disorders
06_add_abbrev,pubtator,26550813,Celecoxib,Neuralgia
06_add_abbrev,pubtator,26572055,Memantine,Mental Disorders
06_add_abbrev,pubtator,26572055,Memantine,Psychological Trauma
06_add_abbrev,pubtator,26572055,Memantine,Sleep Deprivation
06_add_abbrev,pubtator,27367818,Lisinopril,Cardiac Conduction System Disease
06_add_abbrev,pubtator,28416195,Pravastatin,HIV Infections
06_add_abbrev,pubtator,28416195,Pravastatin,Ischemic Attack Transient
06_add_abbrev,pubtator,28416195,Pravastatin,Chest Pain
06_add_abbrev,pubtator,29402860,Zolpidem,Sleep Wake Disorders
06_add_abbrev,pubtator,29622037,Donepezil,Mental Disorders
