config,truth_source,metric,matched_truth,total_truth,recall,fn
00_base,pubtator,drugs,123,139,0.8848920863309353,16
00_base,pubtator,diseases,62,163,0.3803680981595092,101
00_base,pubtator,pairs,53,193,0.27461139896373055,140
00_base,rentrez,drugs,114,128,0.890625,14
00_base,rentrez,diseases,51,130,0.3923076923076923,79
00_base,rentrez,pairs,46,150,0.30666666666666664,104
00_base,union,drugs,145,164,0.8841463414634146,19
00_base,union,diseases,80,224,0.35714285714285715,144
00_base,union,pairs,74,270,0.2740740740740741,196
01_order,pubtator,drugs,123,139,0.8848920863309353,16
01_order,pubtator,diseases,84,163,0.5153374233128835,79
01_order,pubtator,pairs,73,193,0.37823834196891193,120
01_order,rentrez,drugs,114,128,0.890625,14
01_order,rentrez,diseases,68,130,0.5230769230769231,62
01_order,rentrez,pairs,65,150,0.43333333333333335,85
01_order,union,drugs,145,164,0.8841463414634146,19
01_order,union,diseases,105,224,0.46875,119
01_order,union,pairs,101,270,0.37407407407407406,169
02_order_sing_dis,pubtator,drugs,123,139,0.8848920863309353,16
02_order_sing_dis,pubtator,diseases,93,163,0.5705521472392638,70
02_order_sing_dis,pubtator,pairs,82,193,0.42487046632124353,111
02_order_sing_dis,rentrez,drugs,114,128,0.890625,14
02_order_sing_dis,rentrez,diseases,78,130,0.6,52
02_order_sing_dis,rentrez,pairs,73,150,0.4866666666666667,77
02_order_sing_dis,union,drugs,145,164,0.8841463414634146,19
02_order_sing_dis,union,diseases,120,224,0.5357142857142857,104
02_order_sing_dis,union,pairs,115,270,0.42592592592592593,155
03_add_drug_dose,pubtator,drugs,123,139,0.8848920863309353,16
03_add_drug_dose,pubtator,diseases,93,163,0.5705521472392638,70
03_add_drug_dose,pubtator,pairs,82,193,0.42487046632124353,111
03_add_drug_dose,rentrez,drugs,114,128,0.890625,14
03_add_drug_dose,rentrez,diseases,78,130,0.6,52
03_add_drug_dose,rentrez,pairs,73,150,0.4866666666666667,77
03_add_drug_dose,union,drugs,145,164,0.8841463414634146,19
03_add_drug_dose,union,diseases,120,224,0.5357142857142857,104
03_add_drug_dose,union,pairs,115,270,0.42592592592592593,155
04_add_salts,pubtator,drugs,124,138,0.8985507246376812,14
04_add_salts,pubtator,diseases,93,163,0.5705521472392638,70
04_add_salts,pubtator,pairs,83,192,0.4322916666666667,109
04_add_salts,rentrez,drugs,114,127,0.8976377952755905,13
04_add_salts,rentrez,diseases,78,130,0.6,52
04_add_salts,rentrez,pairs,74,149,0.4966442953020134,75
04_add_salts,union,drugs,146,163,0.8957055214723927,17
04_add_salts,union,diseases,120,224,0.5357142857142857,104
04_add_salts,union,pairs,116,269,0.4312267657992565,153
05_add_dis_generic_drop,pubtator,drugs,124,138,0.8985507246376812,14
05_add_dis_generic_drop,pubtator,diseases,97,163,0.5950920245398773,66
05_add_dis_generic_drop,pubtator,pairs,87,192,0.453125,105
05_add_dis_generic_drop,rentrez,drugs,114,127,0.8976377952755905,13
05_add_dis_generic_drop,rentrez,diseases,83,130,0.6384615384615384,47
05_add_dis_generic_drop,rentrez,pairs,79,149,0.5302013422818792,70
05_add_dis_generic_drop,union,drugs,146,163,0.8957055214723927,17
05_add_dis_generic_drop,union,diseases,126,224,0.5625,98
05_add_dis_generic_drop,union,pairs,122,269,0.45353159851301117,147
06_add_abbrev,pubtator,drugs,124,138,0.8985507246376812,14
06_add_abbrev,pubtator,diseases,97,163,0.5950920245398773,66
06_add_abbrev,pubtator,pairs,87,192,0.453125,105
06_add_abbrev,rentrez,drugs,114,127,0.8976377952755905,13
06_add_abbrev,rentrez,diseases,83,130,0.6384615384615384,47
06_add_abbrev,rentrez,pairs,79,149,0.5302013422818792,70
06_add_abbrev,union,drugs,146,163,0.8957055214723927,17
06_add_abbrev,union,diseases,126,224,0.5625,98
06_add_abbrev,union,pairs,122,269,0.45353159851301117,147
07_all_plus_sing_drug,pubtator,drugs,124,138,0.8985507246376812,14
07_all_plus_sing_drug,pubtator,diseases,97,163,0.5950920245398773,66
07_all_plus_sing_drug,pubtator,pairs,87,192,0.453125,105
07_all_plus_sing_drug,rentrez,drugs,114,127,0.8976377952755905,13
07_all_plus_sing_drug,rentrez,diseases,83,130,0.6384615384615384,47
07_all_plus_sing_drug,rentrez,pairs,79,149,0.5302013422818792,70
07_all_plus_sing_drug,union,drugs,146,163,0.8957055214723927,17
07_all_plus_sing_drug,union,diseases,126,224,0.5625,98
07_all_plus_sing_drug,union,pairs,122,269,0.45353159851301117,147
