config,truth_source,pmid,missed_disease
01_order,pubtator,8165073,Urologic Diseases
01_order,pubtator,9866667,Wounds and Injuries
01_order,pubtator,15468607,Sleep Initiation and Maintenance Disorders
01_order,pubtator,17097398,Dermatitis
01_order,pubtator,17580026,Fissure in Ano
01_order,pubtator,19169140,Herpes Simplex
01_order,pubtator,21075537,Pruritus
01_order,pubtator,21075537,Burns
01_order,pubtator,22915486,Sleep Deprivation
01_order,pubtator,23082133,Cardiovascular Diseases
01_order,pubtator,23082133,Inflammation
01_order,pubtator,23082133,HIV Infections
01_order,pubtator,23223108,Pain
01_order,pubtator,23223108,Complex Regional Pain Syndromes
01_order,pubtator,23269105,Seizures
01_order,pubtator,23497779,Coronary Artery Disease
01_order,pubtator,23570952,Depressive Disorder Treatment Resistant
01_order,pubtator,24506965,Breast Neoplasms
01_order,pubtator,26123629,Depressive Disorder
01_order,pubtator,26123629,Sleep Initiation and Maintenance Disorders
01_order,pubtator,26123629,Sleep Wake Disorders
01_order,pubtator,26550813,Neuralgia
01_order,pubtator,26572055,Mental Disorders
01_order,pubtator,26572055,Psychological Trauma
01_order,pubtator,26572055,Sleep Deprivation
01_order,pubtator,27367818,Cardiac Conduction System Disease
01_order,pubtator,28416195,Dyslipidemias
01_order,pubtator,28416195,HIV Infections
01_order,pubtator,28416195,Chest Pain
01_order,pubtator,29402860,Sleep Wake Disorders
01_order,pubtator,29622037,Mental Disorders
01_order,pubtator,30002098,Renal Insufficiency Chronic
01_order,pubtator,30002098,Albuminuria
01_order,pubtator,30318492,Cerebral Infarction
01_order,pubtator,30326006,Sciatica
01_order,pubtator,31230222,Autistic Disorder
01_order,pubtator,32629738,Hip Injuries
01_order,pubtator,33412422,Abdominal Pain
01_order,pubtator,34133820,Musculoskeletal Pain
01_order,pubtator,34218802,Helicobacter Infections
01_order,pubtator,34453525,Attention Deficit Disorder with Hyperactivity
01_order,pubtator,34559090,Substance Withdrawal Syndrome
01_order,pubtator,35259978,Migraine Disorders
01_order,pubtator,35766202,Arthritis Sacroiliac
01_order,pubtator,35867273,Migraine Disorders
01_order,pubtator,35867273,Headache
01_order,pubtator,35905573,Pain
01_order,pubtator,35905573,Joint Diseases
01_order,pubtator,35987681,Hypotension
01_order,pubtator,36173344,Heart Diseases
01_order,pubtator,36471429,Surgical Wound Infection
01_order,pubtator,36477458,Bell Palsy
01_order,pubtator,37138225,Pain
01_order,pubtator,37210743,Cardiovascular Diseases
01_order,pubtator,37395974,Dyslipidemias
01_order,pubtator,39586374,Pain
01_order,pubtator,39601808,Disruptive Impulse Control and Conduct Disorders
01_order,pubtator,39601808,Attention Deficit and Disruptive Behavior Disorders
01_order,pubtator,40037214,Embolism
01_order,pubtator,40043888,Uveomeningoencephalitic Syndrome
01_order,pubtator,40813667,Dyspnea
01_order,pubtator,40945498,Pain
01_order,pubtator,10572343,Sleep Wake Disorders
01_order,pubtator,11590486,HIV Infections
01_order,pubtator,12145220,Diabetes Mellitus
01_order,pubtator,22947356,Hypertension Diastolic Resistance to
01_order,pubtator,24023757,Vascular Diseases
01_order,pubtator,24180582,Pain
01_order,pubtator,25941016,Pain
01_order,pubtator,27808417,Meige Syndrome
01_order,pubtator,28082332,Hypoxia
01_order,pubtator,28240967,Small Cell Lung Carcinoma
01_order,pubtator,33783553,Blood Coagulation Disorders
01_order,pubtator,34847709,Cerebral Infarction
01_order,pubtator,35469478,Migraine Disorders
01_order,pubtator,37263861,Altitude Sickness
01_order,pubtator,37289237,Pulmonary Atelectasis
01_order,pubtator,38521730,Alcoholism
01_order,pubtator,40505216,Parkinson Disease
01_order,rentrez,12453952,Diabetes Mellitus
01_order,rentrez,12453952,"Diabetes Mellitus, Type 2"
