config,truth_source,pmid,missed_drug
01_order,pubtator,19169140,Acyclovir
01_order,pubtator,30002098,Valsartan
01_order,pubtator,35766202,Methylprednisolone
01_order,pubtator,35905573,Triamcinolone
01_order,pubtator,36173235,Insulin Lispro
01_order,pubtator,36173344,Valsartan
01_order,pubtator,36561129,Fluticasone
01_order,pubtator,36942908,Acetaminophen
01_order,pubtator,40945498,Diclofenac
01_order,pubtator,25796863,Pantoprazole
01_order,pubtator,30302936,Chlorthalidone
01_order,pubtator,32436641,Insulin Lispro
01_order,pubtator,32488923,Insulin Lispro
01_order,pubtator,33097422,Sulfamethoxazole
01_order,pubtator,34847709,Isosorbide
01_order,pubtator,38267312,Insulin Glargine
01_order,rentrez,35905573,Triamcinolone
01_order,rentrez,36173235,Insulin Lispro
01_order,rentrez,36173344,Valsartan
01_order,rentrez,36561129,Fluticasone
01_order,rentrez,40945498,Diclofenac
01_order,rentrez,40945498,Acetaminophen
01_order,rentrez,25796863,Pantoprazole
01_order,rentrez,26577417,Insulin Lispro
01_order,rentrez,30302936,Chlorthalidone
01_order,rentrez,32436641,Insulin Lispro
01_order,rentrez,32488923,Insulin Lispro
01_order,rentrez,34847709,Isosorbide
01_order,rentrez,38267312,Insulin Glargine
01_order,rentrez,40345826,Amoxicillin
01_order,union,19169140,Acyclovir
01_order,union,30002098,Valsartan
01_order,union,35766202,Methylprednisolone
01_order,union,35905573,Triamcinolone
01_order,union,36173235,Insulin Lispro
01_order,union,36173344,Valsartan
01_order,union,36561129,Fluticasone
01_order,union,36942908,Acetaminophen
01_order,union,40945498,Diclofenac
01_order,union,40945498,Acetaminophen
01_order,union,25796863,Pantoprazole
01_order,union,26577417,Insulin Lispro
01_order,union,30302936,Chlorthalidone
01_order,union,32436641,Insulin Lispro
01_order,union,32488923,Insulin Lispro
01_order,union,33097422,Sulfamethoxazole
01_order,union,34847709,Isosorbide
01_order,union,38267312,Insulin Glargine
01_order,union,40345826,Amoxicillin
