config,truth_source,pmid,missed_drug,missed_disease
02_order_sing_dis,pubtator,8165073,Nitrofurantoin,Urologic Diseases
02_order_sing_dis,pubtator,9866667,Cephalexin,Wounds and Injuries
02_order_sing_dis,pubtator,15468607,Trazodone,Sleep Initiation and Maintenance Disorders
02_order_sing_dis,pubtator,17097398,Cephalexin,Dermatitis
02_order_sing_dis,pubtator,17580026,Diltiazem,Fissure in Ano
02_order_sing_dis,pubtator,19169140,Valacyclovir,Herpes Simplex
02_order_sing_dis,pubtator,19169140,Acyclovir,Herpes Simplex
02_order_sing_dis,pubtator,21075537,Gabapentin,Pruritus
02_order_sing_dis,pubtator,21075537,Gabapentin,Burns
02_order_sing_dis,pubtator,21075537,Cetirizine,Pruritus
02_order_sing_dis,pubtator,21075537,Cetirizine,Burns
02_order_sing_dis,pubtator,22915486,Mirtazapine,Sleep Deprivation
02_order_sing_dis,pubtator,23082133,Lisinopril,Inflammation
02_order_sing_dis,pubtator,23082133,Pravastatin,Cardiovascular Diseases
02_order_sing_dis,pubtator,23223108,Baclofen,Pain
02_order_sing_dis,pubtator,23269105,Sertraline,Seizures
02_order_sing_dis,pubtator,23497779,Pravastatin,Coronary Artery Disease
02_order_sing_dis,pubtator,23497779,Pravastatin,Diabetes Mellitus
02_order_sing_dis,pubtator,23570952,Paroxetine,Depressive Disorder Treatment Resistant
02_order_sing_dis,pubtator,24506965,Carvedilol,Breast Neoplasms
02_order_sing_dis,pubtator,26123629,Gabapentin,Depressive Disorder
02_order_sing_dis,pubtator,26123629,Gabapentin,Sleep Initiation and Maintenance Disorders
02_order_sing_dis,pubtator,26123629,Gabapentin,Sleep Wake Disorders
02_order_sing_dis,pubtator,26550813,Celecoxib,Neuralgia
02_order_sing_dis,pubtator,26572055,Memantine,Mental Disorders
02_order_sing_dis,pubtator,26572055,Memantine,Psychological Trauma
02_order_sing_dis,pubtator,26572055,Memantine,Sleep Deprivation
02_order_sing_dis,pubtator,27367818,Lisinopril,Cardiac Conduction System Disease
02_order_sing_dis,pubtator,28416195,Pravastatin,HIV Infections
02_order_sing_dis,pubtator,28416195,Pravastatin,Ischemic Attack Transient
02_order_sing_dis,pubtator,28416195,Pravastatin,Chest Pain
02_order_sing_dis,pubtator,29402860,Zolpidem,Sleep Wake Disorders
02_order_sing_dis,pubtator,29622037,Donepezil,Mental Disorders
02_order_sing_dis,pubtator,30002098,Valsartan,Renal Insufficiency Chronic
02_order_sing_dis,pubtator,30002098,Valsartan,Albuminuria
