config,truth_source,pmid,missed_disease
03_add_drug_dose,pubtator,8165073,Urologic Diseases
03_add_drug_dose,pubtator,9866667,Wounds and Injuries
03_add_drug_dose,pubtator,15468607,Sleep Initiation and Maintenance Disorders
03_add_drug_dose,pubtator,17097398,Dermatitis
03_add_drug_dose,pubtator,17580026,Fissure in Ano
03_add_drug_dose,pubtator,19169140,Herpes Simplex
03_add_drug_dose,pubtator,21075537,Pruritus
03_add_drug_dose,pubtator,21075537,Burns
03_add_drug_dose,pubtator,22915486,Sleep Deprivation
03_add_drug_dose,pubtator,23082133,Inflammation
03_add_drug_dose,pubtator,23223108,Pain
03_add_drug_dose,pubtator,23269105,Seizures
03_add_drug_dose,pubtator,23497779,Coronary Artery Disease
03_add_drug_dose,pubtator,23570952,Depressive Disorder Treatment Resistant
03_add_drug_dose,pubtator,24506965,Breast Neoplasms
03_add_drug_dose,pubtator,26123629,Depressive Disorder
03_add_drug_dose,pubtator,26123629,Sleep Initiation and Maintenance Disorders
03_add_drug_dose,pubtator,26123629,Sleep Wake Disorders
03_add_drug_dose,pubtator,26550813,Neuralgia
03_add_drug_dose,pubtator,26572055,Mental Disorders
03_add_drug_dose,pubtator,26572055,Psychological Trauma
03_add_drug_dose,pubtator,26572055,Sleep Deprivation
03_add_drug_dose,pubtator,27367818,Cardiac Conduction System Disease
03_add_drug_dose,pubtator,28416195,Chest Pain
03_add_drug_dose,pubtator,29402860,Sleep Wake Disorders
03_add_drug_dose,pubtator,29622037,Mental Disorders
03_add_drug_dose,pubtator,30002098,Renal Insufficiency Chronic
03_add_drug_dose,pubtator,30002098,Albuminuria
03_add_drug_dose,pubtator,30318492,Cerebral Infarction
03_add_drug_dose,pubtator,30326006,Sciatica
03_add_drug_dose,pubtator,31230222,Autistic Disorder
03_add_drug_dose,pubtator,32629738,Hip Injuries
03_add_drug_dose,pubtator,33412422,Abdominal Pain
03_add_drug_dose,pubtator,34133820,Musculoskeletal Pain
03_add_drug_dose,pubtator,34218802,Helicobacter Infections
03_add_drug_dose,pubtator,34453525,Attention Deficit Disorder with Hyperactivity
03_add_drug_dose,pubtator,34559090,Substance Withdrawal Syndrome
03_add_drug_dose,pubtator,35259978,Migraine Disorders
03_add_drug_dose,pubtator,35766202,Arthritis Sacroiliac
03_add_drug_dose,pubtator,35867273,Migraine Disorders
03_add_drug_dose,pubtator,35867273,Headache
03_add_drug_dose,pubtator,35905573,Pain
