config,truth_source,pmid,missed_drug,missed_disease
03_add_drug_dose,pubtator,8165073,Nitrofurantoin,Urologic Diseases
03_add_drug_dose,pubtator,9866667,Cephalexin,Wounds and Injuries
03_add_drug_dose,pubtator,15468607,Trazodone,Sleep Initiation and Maintenance Disorders
03_add_drug_dose,pubtator,17097398,Cephalexin,Dermatitis
03_add_drug_dose,pubtator,17580026,Diltiazem,Fissure in Ano
03_add_drug_dose,pubtator,19169140,Valacyclovir,Herpes Simplex
03_add_drug_dose,pubtator,19169140,Acyclovir,Herpes Simplex
03_add_drug_dose,pubtator,21075537,Gabapentin,Pruritus
03_add_drug_dose,pubtator,21075537,Gabapentin,Burns
03_add_drug_dose,pubtator,21075537,Cetirizine,Pruritus
03_add_drug_dose,pubtator,21075537,Cetirizine,Burns
03_add_drug_dose,pubtator,22915486,Mirtazapine,Sleep Deprivation
03_add_drug_dose,pubtator,23082133,Lisinopril,Inflammation
03_add_drug_dose,pubtator,23082133,Pravastatin,Cardiovascular Diseases
03_add_drug_dose,pubtator,23223108,Baclofen,Pain
03_add_drug_dose,pubtator,23269105,Sertraline,Seizures
03_add_drug_dose,pubtator,23497779,Pravastatin,Coronary Artery Disease
03_add_drug_dose,pubtator,23497779,Pravastatin,Diabetes Mellitus
03_add_drug_dose,pubtator,23570952,Paroxetine,Depressive Disorder Treatment Resistant
03_add_drug_dose,pubtator,24506965,Carvedilol,Breast Neoplasms
03_add_drug_dose,pubtator,26123629,Gabapentin,Depressive Disorder
03_add_drug_dose,pubtator,26123629,Gabapentin,Sleep Initiation and Maintenance Disorders
03_add_drug_dose,pubtator,26123629,Gabapentin,Sleep Wake Disorders
03_add_drug_dose,pubtator,26550813,Celecoxib,Neuralgia
03_add_drug_dose,pubtator,26572055,Memantine,Mental Disorders
03_add_drug_dose,pubtator,26572055,Memantine,Psychological Trauma
03_add_drug_dose,pubtator,26572055,Memantine,Sleep Deprivation
03_add_drug_dose,pubtator,27367818,Lisinopril,Cardiac Conduction System Disease
03_add_drug_dose,pubtator,28416195,Pravastatin,HIV Infections
03_add_drug_dose,pubtator,28416195,Pravastatin,Ischemic Attack Transient
03_add_drug_dose,pubtator,28416195,Pravastatin,Chest Pain
03_add_drug_dose,pubtator,29402860,Zolpidem,Sleep Wake Disorders
03_add_drug_dose,pubtator,29622037,Donepezil,Mental Disorders
03_add_drug_dose,pubtator,30002098,Valsartan,Renal Insufficiency Chronic
03_add_drug_dose,pubtator,30002098,Valsartan,Albuminuria
03_add_drug_dose,pubtator,30002098,Irbesartan,Renal Insufficiency Chronic
03_add_drug_dose,pubtator,30318492,Pravastatin,Cerebral Infarction
03_add_drug_dose,pubtator,30326006,Gabapentin,Sciatica
03_add_drug_dose,pubtator,30326006,Pregabalin,Sciatica
03_add_drug_dose,pubtator,31230222,Donepezil,Autistic Disorder
03_add_drug_dose,pubtator,32629738,Pregabalin,Hip Injuries
03_add_drug_dose,pubtator,33412422,Escitalopram,Abdominal Pain
03_add_drug_dose,pubtator,34133820,Ibuprofen,Musculoskeletal Pain
03_add_drug_dose,pubtator,34133820,Diclofenac,Musculoskeletal Pain
03_add_drug_dose,pubtator,34218802,Doxycycline,Helicobacter Infections
03_add_drug_dose,pubtator,34453525,Methylphenidate,Attention Deficit Disorder with Hyperactivity
03_add_drug_dose,pubtator,34559090,Clonidine,Substance Withdrawal Syndrome
03_add_drug_dose,pubtator,34793552,Amlodipine,Gastrointestinal Hemorrhage
03_add_drug_dose,pubtator,34793552,Atenolol,Gastrointestinal Hemorrhage
03_add_drug_dose,pubtator,35103836,Diclofenac,Pain Postoperative
03_add_drug_dose,pubtator,35259978,Topiramate,Migraine Disorders
03_add_drug_dose,pubtator,35766202,Methylprednisolone,Arthritis Sacroiliac
03_add_drug_dose,pubtator,35867273,Propranolol,Migraine Disorders
03_add_drug_dose,pubtator,35867273,Propranolol,Headache
03_add_drug_dose,pubtator,35905573,Triamcinolone,Pain
03_add_drug_dose,pubtator,35905573,Triamcinolone,Osteoarthritis
03_add_drug_dose,pubtator,35905573,Triamcinolone,Joint Diseases
03_add_drug_dose,pubtator,35987681,Methylprednisolone,Hypotension
03_add_drug_dose,pubtator,36173235,Insulin Lispro,Diabetes Mellitus Type 1
03_add_drug_dose,pubtator,36173344,Valsartan,Heart Diseases
03_add_drug_dose,pubtator,36173344,Valsartan,Pulmonary Arterial Hypertension
03_add_drug_dose,pubtator,36173344,Dapagliflozin,Heart Diseases
03_add_drug_dose,pubtator,36471429,Cephalexin,Surgical Wound Infection
03_add_drug_dose,pubtator,36477458,Ibuprofen,Bell Palsy
03_add_drug_dose,pubtator,36561129,Fluticasone,Pulmonary Disease Chronic Obstructive
03_add_drug_dose,pubtator,36561129,Vilanterol,Pulmonary Disease Chronic Obstructive
03_add_drug_dose,pubtator,36942908,Acetaminophen,Acute Pain
03_add_drug_dose,pubtator,37138225,Oxycodone,Pain
03_add_drug_dose,pubtator,37210743,Valsartan,Heart Failure
