config,truth_source,pmid,missed_drug
04_add_salts,pubtator,19169140,Acyclovir
04_add_salts,pubtator,30002098,Valsartan
04_add_salts,pubtator,35905573,Triamcinolone
04_add_salts,pubtator,36173235,Insulin Lispro
04_add_salts,pubtator,36173344,Valsartan
04_add_salts,pubtator,36561129,Fluticasone
04_add_salts,pubtator,36942908,Acetaminophen
04_add_salts,pubtator,25796863,Pantoprazole
04_add_salts,pubtator,30302936,Chlorthalidone
04_add_salts,pubtator,32436641,Insulin Lispro
04_add_salts,pubtator,32488923,Insulin Lispro
04_add_salts,pubtator,33097422,Sulfamethoxazole
04_add_salts,pubtator,34847709,Isosorbide
04_add_salts,pubtator,38267312,Insulin Glargine
04_add_salts,rentrez,35905573,Triamcinolone
04_add_salts,rentrez,36173235,Insulin Lispro
04_add_salts,rentrez,36173344,Valsartan
04_add_salts,rentrez,36561129,Fluticasone
04_add_salts,rentrez,40945498,Acetaminophen
04_add_salts,rentrez,25796863,Pantoprazole
04_add_salts,rentrez,26577417,Insulin Lispro
04_add_salts,rentrez,30302936,Chlorthalidone
04_add_salts,rentrez,32436641,Insulin Lispro
04_add_salts,rentrez,32488923,Insulin Lispro
04_add_salts,rentrez,34847709,Isosorbide
04_add_salts,rentrez,38267312,Insulin Glargine
04_add_salts,rentrez,40345826,Amoxicillin
04_add_salts,union,19169140,Acyclovir
04_add_salts,union,30002098,Valsartan
04_add_salts,union,35905573,Triamcinolone
04_add_salts,union,36173235,Insulin Lispro
04_add_salts,union,36173344,Valsartan
04_add_salts,union,36561129,Fluticasone
04_add_salts,union,36942908,Acetaminophen
04_add_salts,union,40945498,Acetaminophen
04_add_salts,union,25796863,Pantoprazole
04_add_salts,union,26577417,Insulin Lispro
04_add_salts,union,30302936,Chlorthalidone
04_add_salts,union,32436641,Insulin Lispro
04_add_salts,union,32488923,Insulin Lispro
04_add_salts,union,33097422,Sulfamethoxazole
04_add_salts,union,34847709,Isosorbide
04_add_salts,union,38267312,Insulin Glargine
04_add_salts,union,40345826,Amoxicillin
