config,truth_source,pmid,missed_drug
06_add_abbrev,pubtator,19169140,Acyclovir
06_add_abbrev,pubtator,30002098,Valsartan
06_add_abbrev,pubtator,35905573,Triamcinolone
06_add_abbrev,pubtator,36173235,Insulin Lispro
06_add_abbrev,pubtator,36173344,Valsartan
06_add_abbrev,pubtator,36561129,Fluticasone
06_add_abbrev,pubtator,36942908,Acetaminophen
06_add_abbrev,pubtator,25796863,Pantoprazole
06_add_abbrev,pubtator,30302936,Chlorthalidone
06_add_abbrev,pubtator,32436641,Insulin Lispro
06_add_abbrev,pubtator,32488923,Insulin Lispro
06_add_abbrev,pubtator,33097422,Sulfamethoxazole
06_add_abbrev,pubtator,34847709,Isosorbide
06_add_abbrev,pubtator,38267312,Insulin Glargine
06_add_abbrev,rentrez,35905573,Triamcinolone
06_add_abbrev,rentrez,36173235,Insulin Lispro
06_add_abbrev,rentrez,36173344,Valsartan
06_add_abbrev,rentrez,36561129,Fluticasone
06_add_abbrev,rentrez,40945498,Acetaminophen
06_add_abbrev,rentrez,25796863,Pantoprazole
06_add_abbrev,rentrez,26577417,Insulin Lispro
06_add_abbrev,rentrez,30302936,Chlorthalidone
06_add_abbrev,rentrez,32436641,Insulin Lispro
06_add_abbrev,rentrez,32488923,Insulin Lispro
06_add_abbrev,rentrez,34847709,Isosorbide
06_add_abbrev,rentrez,38267312,Insulin Glargine
06_add_abbrev,rentrez,40345826,Amoxicillin
06_add_abbrev,union,19169140,Acyclovir
06_add_abbrev,union,30002098,Valsartan
06_add_abbrev,union,35905573,Triamcinolone
06_add_abbrev,union,36173235,Insulin Lispro
06_add_abbrev,union,36173344,Valsartan
06_add_abbrev,union,36561129,Fluticasone
06_add_abbrev,union,36942908,Acetaminophen
06_add_abbrev,union,40945498,Acetaminophen
06_add_abbrev,union,25796863,Pantoprazole
06_add_abbrev,union,26577417,Insulin Lispro
06_add_abbrev,union,30302936,Chlorthalidone
06_add_abbrev,union,32436641,Insulin Lispro
06_add_abbrev,union,32488923,Insulin Lispro
06_add_abbrev,union,33097422,Sulfamethoxazole
06_add_abbrev,union,34847709,Isosorbide
06_add_abbrev,union,38267312,Insulin Glargine
06_add_abbrev,union,40345826,Amoxicillin
