config,truth_source,pmid,missed_disease
07_all_plus_sing_drug,pubtator,8165073,Urologic Diseases
07_all_plus_sing_drug,pubtator,9866667,Wounds and Injuries
07_all_plus_sing_drug,pubtator,15468607,Sleep Initiation and Maintenance Disorders
07_all_plus_sing_drug,pubtator,17097398,Dermatitis
07_all_plus_sing_drug,pubtator,17580026,Fissure in Ano
07_all_plus_sing_drug,pubtator,19169140,Herpes Simplex
07_all_plus_sing_drug,pubtator,21075537,Pruritus
07_all_plus_sing_drug,pubtator,21075537,Burns
07_all_plus_sing_drug,pubtator,22915486,Sleep Deprivation
07_all_plus_sing_drug,pubtator,23082133,Inflammation
07_all_plus_sing_drug,pubtator,23223108,Pain
07_all_plus_sing_drug,pubtator,23269105,Seizures
07_all_plus_sing_drug,pubtator,23497779,Coronary Artery Disease
07_all_plus_sing_drug,pubtator,23570952,Depressive Disorder Treatment Resistant
07_all_plus_sing_drug,pubtator,24506965,Breast Neoplasms
07_all_plus_sing_drug,pubtator,26123629,Depressive Disorder
07_all_plus_sing_drug,pubtator,26123629,Sleep Initiation and Maintenance Disorders
07_all_plus_sing_drug,pubtator,26123629,Sleep Wake Disorders
07_all_plus_sing_drug,pubtator,26550813,Neuralgia
07_all_plus_sing_drug,pubtator,26572055,Mental Disorders
07_all_plus_sing_drug,pubtator,26572055,Psychological Trauma
07_all_plus_sing_drug,pubtator,26572055,Sleep Deprivation
07_all_plus_sing_drug,pubtator,27367818,Cardiac Conduction System Disease
07_all_plus_sing_drug,pubtator,28416195,Chest Pain
07_all_plus_sing_drug,pubtator,29402860,Sleep Wake Disorders
07_all_plus_sing_drug,pubtator,29622037,Mental Disorders
07_all_plus_sing_drug,pubtator,30002098,Renal Insufficiency Chronic
07_all_plus_sing_drug,pubtator,30002098,Albuminuria
07_all_plus_sing_drug,pubtator,30318492,Cerebral Infarction
07_all_plus_sing_drug,pubtator,30326006,Sciatica
07_all_plus_sing_drug,pubtator,31230222,Autistic Disorder
07_all_plus_sing_drug,pubtator,32629738,Hip Injuries
07_all_plus_sing_drug,pubtator,33412422,Abdominal Pain
07_all_plus_sing_drug,pubtator,34133820,Musculoskeletal Pain
07_all_plus_sing_drug,pubtator,34218802,Helicobacter Infections
07_all_plus_sing_drug,pubtator,34453525,Attention Deficit Disorder with Hyperactivity
07_all_plus_sing_drug,pubtator,35766202,Arthritis Sacroiliac
07_all_plus_sing_drug,pubtator,35867273,Headache
07_all_plus_sing_drug,pubtator,35905573,Pain
07_all_plus_sing_drug,pubtator,35905573,Joint Diseases
07_all_plus_sing_drug,pubtator,35987681,Hypotension
07_all_plus_sing_drug,pubtator,36173344,Heart Diseases
07_all_plus_sing_drug,pubtator,36471429,Surgical Wound Infection
07_all_plus_sing_drug,pubtator,36477458,Bell Palsy
07_all_plus_sing_drug,pubtator,37138225,Pain
07_all_plus_sing_drug,pubtator,39586374,Pain
07_all_plus_sing_drug,pubtator,39601808,Disruptive Impulse Control and Conduct Disorders
07_all_plus_sing_drug,pubtator,39601808,Attention Deficit and Disruptive Behavior Disorders
07_all_plus_sing_drug,pubtator,40037214,Embolism
07_all_plus_sing_drug,pubtator,40043888,Uveomeningoencephalitic Syndrome
07_all_plus_sing_drug,pubtator,40813667,Dyspnea
07_all_plus_sing_drug,pubtator,40945498,Pain
07_all_plus_sing_drug,pubtator,10572343,Sleep Wake Disorders
07_all_plus_sing_drug,pubtator,12145220,Diabetes Mellitus
07_all_plus_sing_drug,pubtator,22947356,Hypertension Diastolic Resistance to
07_all_plus_sing_drug,pubtator,24180582,Pain
07_all_plus_sing_drug,pubtator,25941016,Pain
07_all_plus_sing_drug,pubtator,27808417,Meige Syndrome
