ct_disease,n_trials,n_rows,resolved_label,resolved_id,resolve_status,top_candidates,total_candidates_available
Healthy,1145,1344,Obesity Metabolically Benign,@DISEASE_Obesity_Metabolically_Benign,ambiguous,"[[""Obesity Metabolically Benign"", ""@DISEASE_Obesity_Metabolically_Benign""], [""Orthorexia Nervosa"", ""@DISEASE_Orthorexia_Nervosa""]]",2
Hypertension,770,1280,Hypertension,@DISEASE_Hypertension,exact,"[[""Hypertension"", ""@DISEASE_Hypertension""], [""Hypertension Pulmonary"", ""@DISEASE_Hypertension_Pulmonary""], [""Hypertension Portal"", ""@DISEASE_Hypertension_Portal""], [""Hypertension Pregnancy-Induced"", ""@DISEASE_Hypertension_Pregnancy_Induced""], [""Pre-Eclampsia"", ""@DISEASE_Pre_Eclampsia""]]",5
"Diabetes Mellitus, Type 2",596,780,Diabetes Mellitus Type 2,@DISEASE_Diabetes_Mellitus_Type_2,exact,"[[""Diabetes Mellitus Type 2"", ""@DISEASE_Diabetes_Mellitus_Type_2""], [""Noninsulin-dependent diabetes mellitus with deafness"", ""@DISEASE_Noninsulin_dependent_diabetes_mellitus_with_deafness""], [""Maturity-Onset Diabetes of the Young Type 2"", ""@DISEASE_Maturity_Onset_Diabetes_of_the_Young_Type_2""], [""Polyendocrinopathies Autoimmune"", ""@DISEASE_Polyendocrinopathies_Autoimmune""]]",4
Asthma,554,738,Asthma,@DISEASE_Asthma,exact,"[[""Asthma"", ""@DISEASE_Asthma""], [""Status Asthmaticus"", ""@DISEASE_Status_Asthmaticus""], [""Asthma-Chronic Obstructive Pulmonary Disease Overlap Syndrome"", ""@DISEASE_Asthma_Chronic_Obstructive_Pulmonary_Disease_Overlap_Syndrome""], [""Ige Responsiveness Atopic"", ""@DISEASE_Ige_Responsiveness_Atopic""], [""Asthma Aspirin-Induced"", ""@DISEASE_Asthma_Aspirin_Induced""]]",5
Type 2 Diabetes Mellitus,362,486,Diabetes Mellitus Type 2,@DISEASE_Diabetes_Mellitus_Type_2,ambiguous,"[[""Diabetes Mellitus Type 2"", ""@DISEASE_Diabetes_Mellitus_Type_2""], [""Polyendocrinopathies Autoimmune"", ""@DISEASE_Polyendocrinopathies_Autoimmune""], [""Maturity-Onset Diabetes of the Young Type 2"", ""@DISEASE_Maturity_Onset_Diabetes_of_the_Young_Type_2""], [""Noninsulin-dependent diabetes mellitus with deafness"", ""@DISEASE_Noninsulin_dependent_diabetes_mellitus_with_deafness""]]",4
Obesity,342,388,Obesity,@DISEASE_Obesity,exact,"[[""Obesity"", ""@DISEASE_Obesity""], [""Obesity Maternal"", ""@DISEASE_Obesity_Maternal""], [""Obesity Abdominal"", ""@DISEASE_Obesity_Abdominal""], [""Obesity Metabolically Benign"", ""@DISEASE_Obesity_Metabolically_Benign""], [""Obesity Morbid"", ""@DISEASE_Obesity_Morbid""]]",5
Diabetes,322,383,Diabetes Mellitus,@DISEASE_Diabetes_Mellitus,ambiguous,"[[""Diabetes Mellitus"", ""@DISEASE_Diabetes_Mellitus""], [""Diabetes Mellitus Type 2"", ""@DISEASE_Diabetes_Mellitus_Type_2""], [""Diabetes Mellitus Type 1"", ""@DISEASE_Diabetes_Mellitus_Type_1""], [""Diabetes Gestational"", ""@DISEASE_Diabetes_Gestational""], [""Diabetes Complications"", ""@DISEASE_Diabetes_Complications""]]",5
Depression,318,565,Depression Postpartum,@DISEASE_Depression_Postpartum,contains,"[[""Depressive Disorder"", ""@DISEASE_Depressive_Disorder""], [""Respiratory Insufficiency"", ""@DISEASE_Respiratory_Insufficiency""], [""Depression Postpartum"", ""@DISEASE_Depression_Postpartum""], [""Bipolar Disorder"", ""@DISEASE_Bipolar_Disorder""], [""Depressive Disorder Major"", ""@DISEASE_Depressive_Disorder_Major""]]",5
Pain,311,490,Pain,@DISEASE_Pain,exact,"[[""Pain"", ""@DISEASE_Pain""], [""Pain Postoperative"", ""@DISEASE_Pain_Postoperative""], [""Headache"", ""@DISEASE_Headache""], [""Pain Insensitivity Congenital"", ""@DISEASE_Pain_Insensitivity_Congenital""], [""Abdominal Pain"", ""@DISEASE_Abdominal_Pain""]]",5
Type 2 Diabetes,304,411,Diabetes Mellitus Type 2,@DISEASE_Diabetes_Mellitus_Type_2,ambiguous,"[[""Diabetes Mellitus Type 2"", ""@DISEASE_Diabetes_Mellitus_Type_2""], [""Polyendocrinopathies Autoimmune"", ""@DISEASE_Polyendocrinopathies_Autoimmune""], [""Maturity-Onset Diabetes of the Young Type 2"", ""@DISEASE_Maturity_Onset_Diabetes_of_the_Young_Type_2""], [""Lipodystrophy Congenital Generalized"", ""@DISEASE_Lipodystrophy_Congenital_Generalized""], [""Noninsulin-dependent diabetes mellitus with deafness"", ""@DISEASE_Noninsulin_dependent_diabetes_mellitus_with_deafness""]]",5
Schizophrenia,296,369,Schizophrenia,@DISEASE_Schizophrenia,exact,"[[""Schizophrenia"", ""@DISEASE_Schizophrenia""], [""Schizophrenia Paranoid"", ""@DISEASE_Schizophrenia_Paranoid""], [""Schizophrenia Spectrum and Other Psychotic Disorders"", ""@DISEASE_Schizophrenia_Spectrum_and_Other_Psychotic_Disorders""], [""Schizophrenia Disorganized"", ""@DISEASE_Schizophrenia_Disorganized""], [""Schizophrenia Catatonic"", ""@DISEASE_Schizophrenia_Catatonic""]]",5
