drug,nct_id,title,status,phase,disease,first_submit
Atorvastatin,NCT01842256,Study to Investigate the Effect of Telmisartan/S-amlodipine on the Pharmacokinetic Properties of Atorvastatin.,COMPLETED,PHASE1,Essential Hypertension; Hyperlipidemias,2013-04-25 00:00:00+00:00
Atorvastatin,NCT01547455,Safety and Efficiency Study of Loading Dose Atorvastatin in Cardiac Surgery,COMPLETED,,Acute Kidney Injury,2012-02-26 00:00:00+00:00
Atorvastatin,NCT00404599,Oxidative Stress Lowering Effect of Simvastatin and Atorvastatin.,UNKNOWN,PHASE4,Diabetes Mellitus; Hypertension,2006-11-27 00:00:00+00:00
Atorvastatin,NCT00279708,Atorvastatin to Treat Pulmonary Sarcoidosis,COMPLETED,PHASE2,Sarcoidosis Pulmonary,2006-01-18 00:00:00+00:00
Atorvastatin,NCT02207634,Evaluating PCSK9 Binding antiBody Influence oN coGnitive HeAlth in High cardiovascUlar Risk Subjects,COMPLETED,PHASE3,Dyslipidemias,2014-07-31 00:00:00+00:00
Atorvastatin,NCT01081548,A Clinical Trial Study to Evaluate Efficacy and Safety of Atorvastatin in Korean Patients With Hypercholesterolemia,COMPLETED,PHASE4,Hypercholesterolemia,2010-03-04 00:00:00+00:00
Atorvastatin,NCT00653965,Treatment of Hypercholesterolaemia in Hispanic Subjects (STARSHIP),COMPLETED,PHASE3,Hypercholesterolemia,2008-03-26 00:00:00+00:00
Atorvastatin,NCT05586750,Statins in Reducing Events in the Elderly Mind (STAREE-Mind) Imaging Substudy,ACTIVE_NOT_RECRUITING,PHASE4,Mixed Dementias; Dementia Vascular,2022-10-10 00:00:00+00:00
Atorvastatin,NCT01720719,Atorvastatin Versus Vitamin E in Treatment of Non-alcoholic Fatty Liver Disease,UNKNOWN,PHASE4,Fatty Liver; Dyslipidemias; Diabetes Mellitus,2012-10-31 00:00:00+00:00
Atorvastatin,NCT02197065,Pilot Study of Atorvastatin for Orthopedic Surgery Patients,COMPLETED,PHASE2,Hip Fractures; Myocardial Ischemia; Inflammation,2014-07-21 00:00:00+00:00
Atorvastatin,NCT02030054,Pharmacodynamic Comparison of Rosuvastatin Versus Atorvastatin on Platelet Reactivity in Patients With Coronary Artery Disease on Dual Antiplatelet Therapy With New P2Y12 Inhibitors (Trial gRANADa),UNKNOWN,PHASE4,Coronary Artery Disease,2014-01-06 00:00:00+00:00
Atorvastatin,NCT00791648,Short-term Atorvastatin's Effect on Acute Kidney Injury Following Cardiac Surgery,COMPLETED,,Acute Kidney Injury; Delirium,2008-11-12 00:00:00+00:00
Atorvastatin,NCT00795912,A Study Of The Usage Of Statins In A Community Heart Failure Population,COMPLETED,PHASE4,Heart Failure,2008-11-19 00:00:00+00:00
Atorvastatin,NCT02386033,Atorvastatin in the Treatment of Mandibular Degree II Furcation Defects,COMPLETED,PHASE2; PHASE3,Chronic Periodontitis,2014-11-30 00:00:00+00:00
Atorvastatin,NCT02458755,Intensive Statin Treatment in Acute Ischemic Stroke Patients With INtracranial Atherosclerosis,UNKNOWN,PHASE4,Stroke,2015-05-05 00:00:00+00:00
Atorvastatin,NCT00143234,Amlodipine/Atorvastatin Combination to Reduce the Health Risk of High Blood Pressure and High Cholesterol Levels,COMPLETED,PHASE3,Hypertension; Hyperlipidemias,2005-08-31 00:00:00+00:00
Atorvastatin,NCT00930670,Evaluation of the Influence of Statins and Proton Pump Inhibitors on Clopidogrel Antiplatelet Effects,COMPLETED,PHASE4,Coronary Artery Disease,2009-06-29 00:00:00+00:00
Atorvastatin,NCT02819869,The Combination Effect of Statin Plus Metformin on Relapse-free,TERMINATED,PHASE2,Carcinoma Hepatocellular,2016-06-28 00:00:00+00:00
Atorvastatin,NCT02089061,Drug Interaction Statin,COMPLETED,PHASE1,Acute Coronary Syndrome,2014-03-14 00:00:00+00:00
Atorvastatin,NCT02001883,Low-dose Statins and Nutraceuticals in High-intensity Statin-intolerant Patients,UNKNOWN,PHASE4,Coronary Artery Disease,2013-11-24 00:00:00+00:00
Atorvastatin,NCT01245608,Prevention of Cardiovascular Disease Using a Single PolyPill in an Urban Population - Focus on Liver-Related Variables.,COMPLETED,PHASE3,Cardiovascular Diseases,2010-11-19 00:00:00+00:00
Atorvastatin,NCT01455935,Wake up Symptomatic Stroke - Benefit of Intravenous Clot Busters or Endovascular Intervention,UNKNOWN,PHASE2,Stroke,2011-10-07 00:00:00+00:00
Atorvastatin,NCT05996978,Intensive Drug Therapy for Ischemic Stroke Caused by Severe Intracranial Arterial Stenosis,COMPLETED,,Ischemic Stroke,2023-08-10 00:00:00+00:00
Atorvastatin,NCT01013103,Pleiotropic Effects of Atorvastatin in High Cardiovascular Risk Patients,COMPLETED,PHASE4,Coronary Artery Disease,2009-11-10 00:00:00+00:00
Atorvastatin,NCT01442428,Paradoxical Tuberculosis Immune Reconstitution Inflammatory Syndrome (TB-IRIS) Treatment Trial,WITHDRAWN,PHASE2; PHASE3,Immune Reconstitution Inflammatory Syndrome; Tuberculosis,2011-08-30 00:00:00+00:00
Atorvastatin,NCT01105975,A Study of LY2484595 in Patients With High LDL-C or Low HDL-C,COMPLETED,PHASE2,Dyslipidemias,2010-04-15 00:00:00+00:00
Atorvastatin,NCT01187992,Full-dose Atorvastatin After Acute Coronary Syndrome (ACS) in Non-revascularisable Coronary Artery Disease,TERMINATED,PHASE3,Acute Coronary Syndrome; Coronary Artery Disease,2010-08-24 00:00:00+00:00
Atorvastatin,NCT02913664,Risk Reduction for Alzheimer's Disease,COMPLETED,PHASE2; PHASE3,Hypertension,2016-09-14 00:00:00+00:00
Atorvastatin,NCT02107898,Efficacy and Safety Evaluation of Alirocumab in Patients With Heterozygous Familial Hypercholesterolemia or High Cardiovascular Risk Patients With Hypercholesterolemia on Lipid Modifying Therapy (ODYSSEY JAPAN),COMPLETED,PHASE3,Hypercholesterolemia,2014-04-04 00:00:00+00:00
Atorvastatin,NCT05372380,A Study to Evaluate Drug-drug Interactions Between BR1017-1 and BR1017-2 in Healthy Volunteers,COMPLETED,PHASE1,Hypertension,2022-05-09 00:00:00+00:00
Atorvastatin,NCT07121088,Traditional Chinese Medicine Intervention for Ischemic Cerebrovascular Disease and Diabetes Mellitus: An Efficacy Comparative Study,NOT_YET_RECRUITING,PHASE4,Diabetes Mellitus,2025-07-04 00:00:00+00:00
Atorvastatin,NCT02411903,The Dynamic Effect of Non-cytochrome P450 Isoenzyme 3A4（CYP3A4）-Metabolized and Cytochrome P450 Isoenzyme 3A4（CYP3A4）-Metabolized Statins on Clopidogrel Resistance in Patients With Cerebral Infarction,UNKNOWN,PHASE4,Cerebral Infarction,2015-03-17 00:00:00+00:00
Atorvastatin,NCT00332761,Caduet in an Untreated Subject Population,COMPLETED,PHASE4,Hypertension; Dyslipidemias,2006-06-01 00:00:00+00:00
Atorvastatin,NCT00651404,Ezetimibe Plus Atorvastatin Versus Atorvastatin Alone in Subjects With Primary Hypercholesterolemia (Study P03406),COMPLETED,PHASE3,Hypercholesterolemia,2008-03-31 00:00:00+00:00
Atorvastatin,NCT03318484,Sonodynamic Therapy on Patients With Femoropopliteal PAD and Claudication,WITHDRAWN,PHASE1; PHASE2,Peripheral Arterial Disease; Cardiovascular Diseases,2017-10-12 00:00:00+00:00
Atorvastatin,NCT00570752,Efficacy Study of p38 Kinase Inhibitor to Treat Patients With Atherosclerosis,COMPLETED,PHASE2,Vascular Diseases,2007-12-10 00:00:00+00:00
Atorvastatin,NCT02776956,Study on Left Atrial Function of Atrial Fibrillation After Radiofrequency Ablation With Statin Therapy,COMPLETED,,Atrial Fibrillation,2016-04-29 00:00:00+00:00
Atorvastatin,NCT00437892,Statins to Reduce D-dimer Levels in Patients With Venous Thrombosis,TERMINATED,PHASE2,Venous Thromboembolism; Hypercholesterolemia,2007-02-20 00:00:00+00:00
Atorvastatin,NCT01322711,"Atorvastatin, Aspirin, Oxidative Stress, Coagulation and Platelet Activation Indexes",UNKNOWN,PHASE4,Diabetes Mellitus Type 2; Hypercholesterolemia,2011-03-24 00:00:00+00:00
Atorvastatin,NCT01648829,PharmacOdynamic compaRison of piTavastatin Versus atOrvastatin on Platelet Reactivity,UNKNOWN,PHASE4,Coronary Artery Disease,2012-07-19 00:00:00+00:00
Atorvastatin,NCT01200056,Virtual Histology Findings and Effects of Varying Doses of Atorvastatin Treatment,COMPLETED,PHASE4,Coronary Disease,2010-09-09 00:00:00+00:00
Atorvastatin,NCT00844376,Bioavailability Study for New Atorvastatin Formulation,COMPLETED,PHASE4,Hypercholesterolemia,2009-02-13 00:00:00+00:00
Atorvastatin,NCT01043380,Plaque REgression With Cholesterol Absorption Inhibitor or Synthesis Inhibitor Evaluated by IntraVascular UltraSound,COMPLETED,PHASE4,Hypercholesterolemia; Coronary Artery Disease,2010-01-05 00:00:00+00:00
Atorvastatin,NCT01161082,Ascending Multi-dose Study of REGN727(SAR236553) With and Without Concomitant Atorvastatin,COMPLETED,PHASE1,Hypercholesterolemia,2010-07-09 00:00:00+00:00
Atorvastatin,NCT00166036,Effect of Statins on Oxidative Stress and Endothelial Progenitor Cells,COMPLETED,PHASE2,Diabetes Mellitus; Hypercholesterolemia,2005-09-12 00:00:00+00:00
Atorvastatin,NCT00136981,Carotid B-Mode Ultrasound Study to Compare Anti-Atherosclerotic Effect of Torcetrpib/Atorvastatin to Atorvastatin Alone.,COMPLETED,PHASE3,Hyperlipidemias,2005-08-25 00:00:00+00:00
Atorvastatin,NCT00202904,Effectiveness and Safety of Ezetimibe Added to Atorvastatin in Patients With High Cholesterol and Coronary Heart Disease (Study P03740),COMPLETED,PHASE4,Hypercholesterolemia,2005-09-13 00:00:00+00:00
Atorvastatin,NCT03951207,Rosuvastatin/Amlodipine vs Atorvastatin/Amlodipine in Hypertension Patient With Dyslipidemia,COMPLETED,PHASE4,Dyslipidemias; Hypertension,2019-05-13 00:00:00+00:00
Atorvastatin,NCT01812707,Efficacy and Safety Evaluation of Alirocumab (SAR236553/REGN727) in Patients With Primary Hypercholesterolemia on Stable Atorvastatin Therapy in Japan,COMPLETED,PHASE2,Hypercholesterolemia,2013-03-14 00:00:00+00:00
Atorvastatin,NCT00701883,Safety and Benefit of MBX-8025 With and Without Commonly Used Statins in Moderately Overweight Patients With High Cholesterol,COMPLETED,PHASE2,Hyperlipidemias,2008-06-17 00:00:00+00:00
Atorvastatin,NCT07148037,Effect of SLC01B1 (rs4149956) Polymorphism on the Efficacy and Tolerability of Atorvastatin in Pakistani Population,COMPLETED,,Hyperlipidemias,2025-08-22 00:00:00+00:00
Atorvastatin,NCT00139061,Assess HDL-C Increase And Non-HDL Lowering Effect Of Torcetrapib/Atorvastatin Vs. Fenofibrate,COMPLETED,PHASE3,Hyperlipidemias,2005-08-26 00:00:00+00:00
Atorvastatin,NCT02600520,Comparison of Rosuvastatin With Atorvastatin in Chronic Periodontitis,COMPLETED,PHASE2; PHASE3,Chronic Periodontitis,2015-11-06 00:00:00+00:00
Atorvastatin,NCT06785974,Statins to Prevent Immune Checkpoint Inhibitor-induced PRogression of AtherosLerosis,NOT_YET_RECRUITING,PHASE4,Melanoma,2024-12-16 00:00:00+00:00
Atorvastatin,NCT02470455,Effect of Atorvastatin on Glycemic Control in Prediabetic Patients,COMPLETED,,Prediabetic State,2015-06-04 00:00:00+00:00
Atorvastatin,NCT03610217,Pragmatic Clinical Trials in Scleroderma,UNKNOWN,,Scleroderma Systemic,2018-07-25 00:00:00+00:00
