drug,nct_id,title,status,phase,disease,first_submit,_row_id,disease_raw,disease_resolved_label,disease_resolved_id,match_tier,tie_top_score,extra_tokens,missing_tokens,n_candidates_returned,shared_tokens_best,flag_too_specific,accept_any_candidate,accept_min_overlap
Atorvastatin,NCT01842256,Study to Investigate the Effect of Telmisartan/S-amlodipine on the Pharmacokinetic Properties of Atorvastatin.,COMPLETED,PHASE1,Essential Hypertension; Hyperlipidemia,2013-04-25 00:00:00+00:00,0,Essential Hypertension,Essential Hypertension,@DISEASE_Essential_Hypertension,,False,0,0,0,0,False,True,False
Atorvastatin,NCT01842256,Study to Investigate the Effect of Telmisartan/S-amlodipine on the Pharmacokinetic Properties of Atorvastatin.,COMPLETED,PHASE1,Essential Hypertension; Hyperlipidemia,2013-04-25 00:00:00+00:00,0,Hyperlipidemia,Hyperlipidemias,@DISEASE_Hyperlipidemias,,False,0,0,0,0,False,True,False
Atorvastatin,NCT01547455,Safety and Efficiency Study of Loading Dose Atorvastatin in Cardiac Surgery,COMPLETED,,Acute Kidney Injury,2012-02-26 00:00:00+00:00,1,Acute Kidney Injury,Acute Kidney Injury,@DISEASE_Acute_Kidney_Injury,,False,0,0,0,0,False,True,False
Atorvastatin,NCT00404599,Oxidative Stress Lowering Effect of Simvastatin and Atorvastatin.,UNKNOWN,PHASE4,Diabetes Mellitus; Hypertension,2006-11-27 00:00:00+00:00,2,Diabetes Mellitus,Diabetes Mellitus,@DISEASE_Diabetes_Mellitus,,False,0,0,0,0,False,True,False
Atorvastatin,NCT00404599,Oxidative Stress Lowering Effect of Simvastatin and Atorvastatin.,UNKNOWN,PHASE4,Diabetes Mellitus; Hypertension,2006-11-27 00:00:00+00:00,2,Hypertension,Hypertension,@DISEASE_Hypertension,,False,0,0,0,0,False,True,False
Atorvastatin,NCT00279708,Atorvastatin to Treat Pulmonary Sarcoidosis,COMPLETED,PHASE2,"Sarcoidosis, Pulmonary",2006-01-18 00:00:00+00:00,3,"Sarcoidosis, Pulmonary",Sarcoidosis Pulmonary,@DISEASE_Sarcoidosis_Pulmonary,,False,0,0,0,0,False,True,False
Atorvastatin,NCT02207634,Evaluating PCSK9 Binding antiBody Influence oN coGnitive HeAlth in High cardiovascUlar Risk Subjects,COMPLETED,PHASE3,Dyslipidemia,2014-07-31 00:00:00+00:00,4,Dyslipidemia,Dyslipidemias,@DISEASE_Dyslipidemias,,False,0,0,0,0,False,True,False
Atorvastatin,NCT04984616,Atorvastatin on Inflammation and Cardiac Function in Chronic Chagas Disease,TERMINATED,PHASE2,Chronic Chagas Disease,2021-06-29 00:00:00+00:00,5,Chronic Chagas Disease,,,,False,0,0,0,0,False,False,False
Atorvastatin,NCT01081548,A Clinical Trial Study to Evaluate Efficacy and Safety of Atorvastatin in Korean Patients With Hypercholesterolemia,COMPLETED,PHASE4,Hypercholesterolemia,2010-03-04 00:00:00+00:00,6,Hypercholesterolemia,Hypercholesterolemia,@DISEASE_Hypercholesterolemia,,False,0,0,0,0,False,True,False
Atorvastatin,NCT00653965,Treatment of Hypercholesterolaemia in Hispanic Subjects (STARSHIP),COMPLETED,PHASE3,Hypercholesterolemia; Dyslipidaemia,2008-03-26 00:00:00+00:00,7,Hypercholesterolemia,Hypercholesterolemia,@DISEASE_Hypercholesterolemia,,False,0,0,0,0,False,True,False
