disease_raw,match_tier,n_trials,n_rows
Healthy,blocked_non_disease,1145,1344
Hypertension,,770,1280
"Diabetes Mellitus, Type 2",,596,780
Asthma,,554,738
Type 2 Diabetes Mellitus,,362,486
Obesity,,342,388
Diabetes,,322,383
Depression,,318,565
Pain,,311,490
Type 2 Diabetes,,304,411
Schizophrenia,,296,369
Major Depressive Disorder,,288,562
Atrial Fibrillation,,242,370
Heart Failure,,239,312
Breast Cancer,,210,243
Rheumatoid Arthritis,,207,265
Healthy Volunteers,blocked_non_disease,200,241
Diabetes Mellitus,,198,290
Epilepsy,,184,239
Hypercholesterolemia,,181,335
HIV Infections,,181,205
Coronary Artery Disease,,173,229
Bipolar Disorder,,172,218
"Diabetes Mellitus, Type 1",,158,176
Postoperative Pain,,157,212
Prostate Cancer,,156,179
Ocular Hypertension,,146,148
Alzheimer's Disease,,144,161
Osteoporosis,,134,142
"Pulmonary Disease, Chronic Obstructive",,131,234
Helicobacter Pylori Infection,,129,214
"Pain, Postoperative",,129,212
Cardiovascular Diseases,,125,216
Chronic Obstructive Pulmonary Disease,,117,151
Alzheimer Disease,,116,132
Stroke,,114,188
Osteoarthritis,,112,148
Vitamin D Deficiency,,112,122
Migraine,,103,144
Attention Deficit Hyperactivity Disorder,,102,121
Type 1 Diabetes,,100,119
Glaucoma,,99,100
COVID-19,,95,133
Essential Hypertension,,93,159
Healthy Subjects,,89,113
Hyperlipidemia,,87,125
Lymphoma,,87,124
Contraception,,83,112
Chronic Kidney Disease,,81,98
Type 1 Diabetes Mellitus,,81,97
