disease_name,disease_id,entity_id,drug_name,pmid_count,pmids
Alzheimer's disease,@DISEASE_Alzheimer_Disease,@DISEASE_Alzheimer_Disease,Donepezil,10,32443670 32914577 34566409 35056902 35082823 35498922 36960422 37245175 37534058 37551235
Alzheimer's disease,@DISEASE_Alzheimer_Disease,@DISEASE_Alzheimer's_disease_without_Neurofibrillary_tangles,Donepezil,10,32443670 32914577 34566409 35056902 35082823 35498922 36960422 37245175 37534058 37551235
Alzheimer's disease,@DISEASE_Alzheimer_Disease,@DISEASE_Alzheimer_Disease,Memantine,10,32914577 33731780 34912482 35235756 35407465 35944748 36145329 36978955 37313029 37786758
Alzheimer's disease,@DISEASE_Alzheimer_Disease,@DISEASE_Alzheimer's_disease_without_Neurofibrillary_tangles,Memantine,10,32914577 33731780 34912482 35235756 35407465 35944748 36145329 36978955 37313029 37786758
Alzheimer's disease,@DISEASE_Alzheimer_Disease,@DISEASE_Alzheimer_Disease,Rivastigmine,10,32443670 32528296 32948022 33198569 33568083 33642856 34506009 34755044 34832918 35992376
Alzheimer's disease,@DISEASE_Alzheimer_Disease,@DISEASE_Alzheimer's_disease_without_Neurofibrillary_tangles,Rivastigmine,10,32443670 32528296 32948022 33198569 33568083 33642856 34506009 34755044 34832918 35992376
Alzheimer's disease,@DISEASE_Alzheimer_Disease,@DISEASE_Alzheimer_Disease,Galantamine,10,32874532 33308343 33842683 34013783 34964149 35510084 36986689 37397105 37795023 39494477
Alzheimer's disease,@DISEASE_Alzheimer_Disease,@DISEASE_Alzheimer's_disease_without_Neurofibrillary_tangles,Galantamine,10,32874532 33308343 33842683 34013783 34964149 35510084 36986689 37397105 37795023 39494477
Alzheimer's disease,@DISEASE_Alzheimer_Disease,@DISEASE_Alzheimer_Disease,Tacrine,10,29611473 32825138 33096919 33169934 34471497 35361039 35518436 36675233 37441405 37569630
Alzheimer's disease,@DISEASE_Alzheimer_Disease,@DISEASE_Alzheimer's_disease_without_Neurofibrillary_tangles,Tacrine,10,29611473 32825138 33096919 33169934 34471497 35361039 35518436 36675233 37441405 37569630
Alzheimer's disease,@DISEASE_Alzheimer_Disease,@DISEASE_Alzheimer_Disease,Curcumin,10,32183162 32404183 34070220 34208692 34429054 35057429 35453412 35662729 35745002 36856916
Alzheimer's disease,@DISEASE_Alzheimer_Disease,@DISEASE_Alzheimer's_disease_without_Neurofibrillary_tangles,Curcumin,10,32183162 32404183 34070220 34208692 34429054 35057429 35453412 35662729 35745002 36856916
Alzheimer's disease,@DISEASE_Alzheimer_Disease,@DISEASE_Alzheimer_Disease,Melatonin,10,33622399 33986623 34202125 34366353 34899707 35167824 35450525 35527277 36911088 38259379
Alzheimer's disease,@DISEASE_Alzheimer_Disease,@DISEASE_Alzheimer's_disease_without_Neurofibrillary_tangles,Melatonin,10,33622399 33986623 34202125 34366353 34899707 35167824 35450525 35527277 36911088 38259379
Alzheimer's disease,@DISEASE_Alzheimer_Disease,@DISEASE_Alzheimer_Disease,aducanumab,10,31978357 34226181 34426940 34585212 35308835 35611326 35666531 36305541 36901797 38186481
Alzheimer's disease,@DISEASE_Alzheimer_Disease,@DISEASE_Alzheimer's_disease_without_Neurofibrillary_tangles,aducanumab,10,31978357 34226181 34426940 34585212 35308835 35611326 35666531 36305541 36901797 38186481
Alzheimer's disease,@DISEASE_Alzheimer_Disease,@DISEASE_Alzheimer_Disease,Glucose,10,33086751 33358332 33815088 34186204 34465358 34830192 35319157 35457168 36076944 36909158
Alzheimer's disease,@DISEASE_Alzheimer_Disease,@DISEASE_Alzheimer's_disease_without_Neurofibrillary_tangles,Glucose,10,33086751 33358332 33815088 34186204 34465358 34830192 35319157 35457168 36076944 36909158
Alzheimer's disease,@DISEASE_Alzheimer_Disease,@DISEASE_Alzheimer_Disease,Resveratrol,10,31585875 32162143 33020412 33456444 33924876 34402024 36463442 37641690 38047366 38468523
Alzheimer's disease,@DISEASE_Alzheimer_Disease,@DISEASE_Alzheimer's_disease_without_Neurofibrillary_tangles,Resveratrol,10,31585875 32162143 33020412 33456444 33924876 34402024 36463442 37641690 38047366 38468523
Alzheimer's disease,@DISEASE_Alzheimer_Disease,@DISEASE_Alzheimer_Disease,Melatonin,10,15298664 15719129 15740721 16075743 20542922 20621083 29416502 29562506 32358852 34769281
Alzheimer's disease,@DISEASE_Alzheimer_Disease,@DISEASE_Alzheimer's_disease_without_Neurofibrillary_tangles,Melatonin,10,15298664 15719129 15740721 16075743 20542922 20621083 29416502 29562506 32358852 34769281
Alzheimer's disease,@DISEASE_Alzheimer_Disease,@DISEASE_Alzheimer_Disease,Methylene Blue,10,23285020 24361915 24462887 26822031 27699422 30099040 30909223 32897042 37673952 38395039
Alzheimer's disease,@DISEASE_Alzheimer_Disease,@DISEASE_Alzheimer's_disease_without_Neurofibrillary_tangles,Methylene Blue,10,23285020 24361915 24462887 26822031 27699422 30099040 30909223 32897042 37673952 38395039
Alzheimer's disease,@DISEASE_Alzheimer_Disease,@DISEASE_Alzheimer_Disease,hydromethylthionine,10,27429978 27863809 28720101 29375308 32037892 32091331 34009955 34366349 34855998 37788649
Alzheimer's disease,@DISEASE_Alzheimer_Disease,@DISEASE_Alzheimer's_disease_without_Neurofibrillary_tangles,hydromethylthionine,10,27429978 27863809 28720101 29375308 32037892 32091331 34009955 34366349 34855998 37788649
Alzheimer's disease,@DISEASE_Alzheimer_Disease,@DISEASE_Alzheimer_Disease,Curcumin,6,24035895 29704550 33016914 35662729 35963200 38056413
Alzheimer's disease,@DISEASE_Alzheimer_Disease,@DISEASE_Alzheimer's_disease_without_Neurofibrillary_tangles,Curcumin,6,24035895 29704550 33016914 35662729 35963200 38056413
Alzheimer's disease,@DISEASE_Alzheimer_Disease,@DISEASE_Alzheimer_Disease,Resveratrol,5,24035895 29022339 29948950 31368873 35963200
Alzheimer's disease,@DISEASE_Alzheimer_Disease,@DISEASE_Alzheimer's_disease_without_Neurofibrillary_tangles,Resveratrol,5,24035895 29022339 29948950 31368873 35963200
Alzheimer's disease,@DISEASE_Alzheimer_Disease,@DISEASE_Alzheimer_Disease,(18)AV 1451,0,
Alzheimer's disease,@DISEASE_Alzheimer_Disease,@DISEASE_Alzheimer's_disease_without_Neurofibrillary_tangles,(18)AV 1451,0,
Alzheimer's disease,@DISEASE_Alzheimer_Disease,@DISEASE_Alzheimer_Disease,(18F)THK 5117,0,
Alzheimer's disease,@DISEASE_Alzheimer_Disease,@DISEASE_Alzheimer's_disease_without_Neurofibrillary_tangles,(18F)THK 5117,0,
Alzheimer's disease,@DISEASE_Alzheimer_Disease,@DISEASE_Alzheimer_Disease,Memantine,4,15147906 16806196 23722080 35255395
Alzheimer's disease,@DISEASE_Alzheimer_Disease,@DISEASE_Alzheimer's_disease_without_Neurofibrillary_tangles,Memantine,4,15147906 16806196 23722080 35255395
Alzheimer's disease,@DISEASE_Alzheimer_Disease,@DISEASE_Alzheimer_Disease,Escitalopram,3,26402755 29656013 32741828
Alzheimer's disease,@DISEASE_Alzheimer_Disease,@DISEASE_Alzheimer's_disease_without_Neurofibrillary_tangles,Escitalopram,3,26402755 29656013 32741828
Alzheimer's disease,@DISEASE_Alzheimer_Disease,@DISEASE_Alzheimer_Disease,Flavonoids,3,26207957 37009720 39522795
Alzheimer's disease,@DISEASE_Alzheimer_Disease,@DISEASE_Alzheimer's_disease_without_Neurofibrillary_tangles,Flavonoids,3,26207957 37009720 39522795
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Mellitus,Metformin,10,33312159 34645617 35309393 35903672 35926099 36732827 37834839 37900422 38053839 39208454
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Mellitus_Type_2,Metformin,10,33312159 34645617 35309393 35903672 35926099 36732827 37834839 37900422 38053839 39208454
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Mellitus_Type_1,Metformin,10,33312159 34645617 35309393 35903672 35926099 36732827 37834839 37900422 38053839 39208454
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Gestational,Metformin,10,33312159 34645617 35309393 35903672 35926099 36732827 37834839 37900422 38053839 39208454
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Complications,Metformin,10,33312159 34645617 35309393 35903672 35926099 36732827 37834839 37900422 38053839 39208454
Diabetes,@DISEASE_Diabetes_Mellitus,@DISEASE_Diabetes_Insipidus,Metformin,10,33312159 34645617 35309393 35903672 35926099 36732827 37834839 37900422 38053839 39208454
