dst,distinct_drugs,admissions,patients,disease_label
icd:9:41401,9,5615,5263,Coronary atherosclerosis of native coronary artery
icd:9:42833,9,4740,3450,Acute on chronic diastolic heart failure
icd:9:486,9,4733,4357,"Pneumonia, organism unspecified"
icd:9:42731,9,4360,3637,Atrial fibrillation
icd:9:42823,9,3707,2637,Acute on chronic systolic heart failure
icd:9:41071,9,3231,3065,"Subendocardial infarction, initial episode of care"
icd:9:5849,9,3000,2744,"Acute kidney failure, unspecified"
icd:9:78659,9,2896,2557,Other chest pain
icd:9:5990,9,2536,2246,"Urinary tract infection, site not specified"
icd:9:4241,9,2294,2130,Aortic valve disorders
icd:9:6826,9,1711,1390,"Cellulitis and abscess of leg, except foot"
icd:9:7802,9,1605,1540,Syncope and collapse
icd:9:V5811,9,1577,823,Encounter for antineoplastic chemotherapy
icd:9:49121,9,1506,1142,Obstructive chronic bronchitis with (acute) exacerbation
icd:9:99859,9,1397,1286,Other postoperative infection
icd:9:43491,9,1057,1031,"Cerebral artery occlusion, unspecified with cerebral infarction"
icd:9:25080,9,724,666,"Diabetes with other specified manifestations, type II or unspecified type, not stated as uncontrolled"
icd:9:44024,9,656,556,Atherosclerosis of native arteries of the extremities with gangrene
icd:9:44023,9,628,564,Atherosclerosis of native arteries of the extremities with ulceration
icd:10:I130,8,5815,3828,"Hypertensive heart and chronic kidney disease with heart failure and stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease"
icd:10:I110,8,4289,3418,Hypertensive heart disease with heart failure
icd:10:I214,8,3105,2952,Non-ST elevation (NSTEMI) myocardial infarction
icd:10:A419,8,3050,2881,"Sepsis, unspecified organism"
icd:9:0389,8,2516,2414,Unspecified septicemia
icd:10:J189,8,2378,2229,"Pneumonia, unspecified organism"
icd:10:N179,8,1979,1816,"Acute kidney failure, unspecified"
icd:10:Z5111,8,1713,869,Encounter for antineoplastic chemotherapy
icd:10:N390,8,1582,1355,"Urinary tract infection, site not specified"
icd:10:I5033,8,1452,1210,Acute on chronic diastolic (congestive) heart failure
icd:10:U071,8,1410,1376,COVID-19
icd:9:41519,8,1395,1339,Other pulmonary embolism and infarction
icd:9:5770,8,1383,1000,Acute pancreatitis
icd:10:J441,8,1360,960,Chronic obstructive pulmonary disease with (acute) exacerbation
icd:9:5070,8,1325,1218,Pneumonitis due to inhalation of food or vomitus
icd:9:71536,8,1174,1056,"Osteoarthrosis, localized, not specified whether primary or secondary, lower leg"
icd:9:43411,8,1031,1016,Cerebral embolism with cerebral infarction
icd:9:49322,8,923,664,Chronic obstructive asthma with (acute) exacerbation
icd:9:78650,8,850,809,"Chest pain, unspecified"
icd:10:I4891,8,824,798,Unspecified atrial fibrillation
icd:9:42789,8,810,782,Other specified cardiac dysrhythmias
icd:10:I2699,8,808,791,Other pulmonary embolism without acute cor pulmonale
icd:9:0088,8,754,727,"Intestinal infection due to other organism, not elsewhere classified"
icd:9:4280,8,754,729,"Congestive heart failure, unspecified"
