dst,drug_label,src,weight_admissions,unique_patients,p_disease_given_drug,p_drug_given_disease
icd:10:A045,omeprazole,drug:omeprazole,11,11,0.0001503225101126,0.4583333333333333
icd:10:A047,omeprazole,drug:omeprazole,85,69,0.0011615830326883,0.3183520599250936
icd:10:A047,amlodipine,drug:amlodipine,24,20,0.0005788572393333,0.0898876404494382
icd:10:A047,lisinopril,drug:lisinopril,24,22,0.0004926613979267,0.0898876404494382
icd:10:A047,furosemide,drug:furosemide,22,19,0.0003173321024694,0.0823970037453183
icd:10:A047,simvastatin,drug:simvastatin,19,17,0.0005443190282472,0.0711610486891385
icd:10:A047,warfarin,drug:warfarin,18,18,0.0006230529595015,0.0674157303370786
icd:10:A0471,omeprazole,drug:omeprazole,20,19,0.0002733136547501,0.196078431372549
icd:10:A0471,amlodipine,drug:amlodipine,12,11,0.0002894286196666,0.1176470588235294
icd:10:A0472,omeprazole,drug:omeprazole,58,57,0.0007926095987755,0.2377049180327868
icd:10:A0472,amlodipine,drug:amlodipine,27,27,0.00065121439425,0.110655737704918
icd:10:A0472,furosemide,drug:furosemide,18,18,0.0002596353565658,0.0737704918032786
icd:10:A0472,lisinopril,drug:lisinopril,17,16,0.000348968490198,0.0696721311475409
icd:10:A0472,simvastatin,drug:simvastatin,17,17,0.0004870222884317,0.0696721311475409
icd:10:A0472,warfarin,drug:warfarin,14,14,0.0004845967462789,0.0573770491803278
icd:10:A0811,omeprazole,drug:omeprazole,30,27,0.0004099704821252,0.3
icd:10:A0811,amlodipine,drug:amlodipine,17,16,0.0004100238778611,0.17
icd:10:A084,omeprazole,drug:omeprazole,164,152,0.0022411719689515,0.281786941580756
icd:10:A084,amlodipine,drug:amlodipine,85,76,0.0020501193893056,0.1460481099656357
icd:10:A084,lisinopril,drug:lisinopril,69,63,0.0014164015190393,0.1185567010309278
icd:10:A084,simvastatin,drug:simvastatin,40,37,0.00114593479631,0.0687285223367697
icd:10:A084,furosemide,drug:furosemide,29,27,0.0004183014078006,0.049828178694158
icd:10:A084,warfarin,drug:warfarin,20,18,0.0006922810661128,0.0343642611683848
icd:10:A084,atenolol,drug:atenolol,11,11,0.0007233986584243,0.0189003436426116
icd:10:A09,omeprazole,drug:omeprazole,64,64,0.0008746036952006,0.2758620689655172
icd:10:A09,amlodipine,drug:amlodipine,30,30,0.0007235715491666,0.1293103448275862
icd:10:A09,lisinopril,drug:lisinopril,23,23,0.0004721338396797,0.0991379310344827
icd:10:A09,simvastatin,drug:simvastatin,14,14,0.0004010771787085,0.0603448275862069
icd:10:A400,furosemide,drug:furosemide,10,10,0.0001442418647588,0.2
icd:10:A401,omeprazole,drug:omeprazole,19,19,0.0002596479720126,0.2134831460674157
icd:10:A401,furosemide,drug:furosemide,15,15,0.0002163627971382,0.1685393258426966
icd:10:A401,amlodipine,drug:amlodipine,11,11,0.0002653095680277,0.1235955056179775
icd:10:A403,furosemide,drug:furosemide,10,10,0.0001442418647588,0.175438596491228
icd:10:A408,omeprazole,drug:omeprazole,41,38,0.0005602929922378,0.2455089820359281
icd:10:A408,furosemide,drug:furosemide,31,31,0.0004471497807523,0.18562874251497
icd:10:A408,amlodipine,drug:amlodipine,12,12,0.0002894286196666,0.0718562874251497
icd:10:A408,warfarin,drug:warfarin,10,10,0.0003461405330564,0.059880239520958
icd:10:A408,simvastatin,drug:simvastatin,10,10,0.0002864836990775,0.059880239520958
icd:10:A4101,furosemide,drug:furosemide,67,67,0.0009664204938841,0.205521472392638
icd:10:A4101,omeprazole,drug:omeprazole,36,36,0.0004919645785503,0.1104294478527607
icd:10:A4101,lisinopril,drug:lisinopril,14,14,0.0002873858154572,0.0429447852760736
icd:10:A4101,amlodipine,drug:amlodipine,12,12,0.0002894286196666,0.0368098159509202
icd:10:A4101,simvastatin,drug:simvastatin,11,11,0.0003151320689852,0.0337423312883435
icd:10:A4101,warfarin,drug:warfarin,10,10,0.0003461405330564,0.0306748466257668
icd:10:A4102,omeprazole,drug:omeprazole,32,30,0.0004373018476003,0.174863387978142
icd:10:A4102,furosemide,drug:furosemide,30,30,0.0004327255942764,0.1639344262295081
icd:10:A4102,amlodipine,drug:amlodipine,15,15,0.0003617857745833,0.081967213114754
icd:10:A4102,warfarin,drug:warfarin,10,10,0.0003461405330564,0.0546448087431694
icd:10:A411,omeprazole,drug:omeprazole,14,14,0.0001913195583251,0.1521739130434782
icd:10:A411,furosemide,drug:furosemide,12,12,0.0001730902377105,0.1304347826086956
icd:10:A411,amlodipine,drug:amlodipine,10,10,0.0002411905163888,0.108695652173913
icd:10:A414,omeprazole,drug:omeprazole,10,10,0.000136656827375,0.1818181818181818
icd:10:A414,furosemide,drug:furosemide,10,10,0.0001442418647588,0.1818181818181818
icd:10:A4150,omeprazole,drug:omeprazole,18,18,0.0002459822892751,0.174757281553398
icd:10:A4150,furosemide,drug:furosemide,14,14,0.0002019386106623,0.1359223300970873
icd:10:A4151,omeprazole,drug:omeprazole,244,226,0.0033344265879523,0.23828125
icd:10:A4151,furosemide,drug:furosemide,132,130,0.0019039926148165,0.12890625
icd:10:A4151,simvastatin,drug:simvastatin,72,66,0.0020626826333581,0.0703125
icd:10:A4151,amlodipine,drug:amlodipine,60,56,0.0014471430983333,0.05859375
icd:10:A4151,warfarin,drug:warfarin,54,49,0.0018691588785046,0.052734375
icd:10:A4151,lisinopril,drug:lisinopril,29,27,0.0005952991891614,0.0283203125
icd:10:A4151,levofloxacin,drug:levofloxacin,19,19,0.0013217391304347,0.0185546875
