node_u,node_v,relation,pmid_count,total_articles,pmids,chem_ids
metformin,@DISEASE_Diabetes_Mellitus_Type_2,treat,27,8205,11077467|12147149|12452739|12877648|12945247|15529514|15529521|15588116|16846398|17541377|17563269|20840734|21189532|21682834|23319848|25963345|30743780|32377525|33310173|33442187|33664666|33668426|34904090|36145361|36355535|36407271|36619226,@CHEMICAL_Glucovance|@CHEMICAL_Metformin|@CHEMICAL_Sitagliptin_Phosphate_Metformin_Hydrochloride_Drug_Combination|@CHEMICAL_rosiglitazone_metformin_combination
metformin,@DISEASE_Diabetes_Mellitus,treat,13,5052,17563269|32010347|33312159|34645617|35309393|35903672|35926099|36732827|37033652|37834839|37900422|38053839|39208454,@CHEMICAL_Glucovance|@CHEMICAL_Metformin|@CHEMICAL_Sitagliptin_Phosphate_Metformin_Hydrochloride_Drug_Combination|@CHEMICAL_rosiglitazone_metformin_combination
metformin,@DISEASE_Neoplasms,treat,10,2388,32399389|32868904|33553880|33849540|34429626|35267644|35720480|35724834|36823364|37364322,@CHEMICAL_Metformin
metformin,@DISEASE_Polycystic_Ovary_Syndrome,treat,10,1746,32490533|33014044|34053455|35251851|36176868|36523331|37347114|37736515|37791160|37974132,@CHEMICAL_Metformin
metformin,@DISEASE_Obesity,treat,12,1401,24485303|27800648|32499908|33608414|33664666|34218420|34514769|35130922|35574481|35720680|37401946|37409227,@CHEMICAL_Metformin|@CHEMICAL_TP_113|@CHEMICAL_rosiglitazone_metformin_combination
metformin,@DISEASE_Inflammation,treat,10,1175,32156291|32964062|33584319|33689478|34463292|35156512|35802672|36319785|38026260|38311861,@CHEMICAL_Metformin
metformin,@DISEASE_Insulin_Resistance,treat,12,1230,15529521|27800648|32454819|32606605|34053175|34512303|34907435|35163187|37635987|37736515|37901890|38131036,@CHEMICAL_Metformin|@CHEMICAL_TP_113|@CHEMICAL_rosiglitazone_metformin_combination
metformin,@DISEASE_Breast_Neoplasms,treat,10,568,31819193|32883003|34408607|35269852|35538143|35852878|36233373|36562831|36766896|38057926,@CHEMICAL_Metformin
metformin,@DISEASE_Diabetes_Gestational,treat,10,504,33429755|34071182|34349484|34589334|34804675|35399802|36131291|36460329|37765126|37794119,@CHEMICAL_Metformin
metformin,@DISEASE_Hyperglycemia,treat,11,392,28485557|32841254|33588801|35044756|35693534|35860311|36187136|37378329|37929731|38311294|38324763,@CHEMICAL_Metformin|@CHEMICAL_Sitagliptin_Phosphate_Metformin_Hydrochloride_Drug_Combination
metformin,@DISEASE_Overweight,treat,10,361,31829964|32490533|33014044|33580540|33760905|34514769|34764661|34957166|36060969|38155665,@CHEMICAL_Metformin
metformin,@DISEASE_Metabolic_Syndrome,treat,10,351,32190918|32456272|33808460|34930986|35326230|35492738|35743280|37502816|37760893|38028405,@CHEMICAL_Metformin
metformin,@DISEASE_Weight_Gain,treat,10,396,35010394|35195193|35272547|35684088|35686187|36458118|36530712|37323046|37401946|37502816,@CHEMICAL_Metformin
metformin,@DISEASE_Cardiovascular_Diseases,treat,12,431,17563269|21595121|32606866|34053175|34332584|35032305|35337110|36077136|36187122|37051071|37307806|38048543,@CHEMICAL_Metformin|@CHEMICAL_rosiglitazone_metformin_combination
metformin,@DISEASE_Colorectal_Neoplasms,treat,10,305,32523353|32533543|32664279|32911743|33392303|33911461|35190587|35267590|36979711|37268905,@CHEMICAL_Metformin
metformin,@DISEASE_Glucose_Intolerance,treat,11,290,21812893|33758265|33854039|33888772|34131048|34452739|34505282|35743280|37690370|39196872|40436121,@CHEMICAL_Metformin|@CHEMICAL_rosiglitazone_metformin_combination
metformin,@DISEASE_Non_alcoholic_Fatty_Liver_Disease,treat,10,284,33841337|33981216|34065108|35326230|35379885|36039840|36077467|36316840|36531446|36551216,@CHEMICAL_Metformin
metformin,@DISEASE_Weight_Loss,treat,10,493,32499908|33312159|33716960|34514769|36806755|37347114|37466599|37744021|37990710|39660840,@CHEMICAL_Metformin
metformin,@DISEASE_Carcinoma_Hepatocellular,treat,11,277,30651718|32974191|34065108|35545330|35747976|35897659|36572351|37370771|37740172|37997519|38192642,@CHEMICAL_Metformin|@CHEMICAL_rosiglitazone_metformin_combination
metformin,@DISEASE_Prediabetic_State,treat,10,245,32601731|32936780|32964858|34083618|35651475|35896449|35926099|36159298|37668313|40736496,@CHEMICAL_Metformin
metformin,@DISEASE_Prostatic_Neoplasms,treat,10,250,32035002|33198356|33831975|34399755|34660791|36175875|36178848|36744171|37409095|40639382,@CHEMICAL_Metformin
metformin,@DISEASE_Hyperglycemic_Hyperosmolar_Nonketotic_Coma,treat,10,218,31936070|32020414|32841254|33071980|33588801|35965421|36386794|36982317|38084128|39786492,@CHEMICAL_Metformin
metformin,@DISEASE_Fibrosis,treat,10,217,32798709|33835703|34007848|34381133|34434111|34502314|36552855|38003450|38114915|38185658,@CHEMICAL_Metformin
metformin,@DISEASE_Diabetes_Mellitus_Type_1,treat,10,196,31670618|32606605|33457425|33598651|33981216|34343108|35620570|35707462|36992735|37387358,@CHEMICAL_Metformin
metformin,@DISEASE_Pancreatic_Neoplasms,treat,10,202,32824907|32850872|34142285|34367843|34485159|35454306|35800820|35898377|36678613|36829129,@CHEMICAL_Metformin
metformin,@DISEASE_Heart_Failure,treat,10,249,32758236|33167990|34944478|35322592|35483800|35483801|35906276|36088302|37969650|38107711,@CHEMICAL_Metformin
metformin,@DISEASE_Hypertension,treat,10,201,31721026|33133865|34202343|34334083|36067082|36790596|37055870|37085892|37090575|40852348,@CHEMICAL_Metformin
metformin,@DISEASE_COVID_19,treat,10,184,33310173|33679040|34367059|34490296|34664036|34699977|35370738|36355535|37194484|37646067,@CHEMICAL_Metformin
metformin,@DISEASE_Myotonic_Dystrophy,treat,10,151,32310829|33798646|33990102|34083618|35270043|37009001|37503167|37975061|38089917|39888448,@CHEMICAL_Metformin
metformin,@DISEASE_Metabolic_Diseases,treat,12,190,12945247|24485303|32535544|33095288|34557007|34588398|35326230|35454163|36098489|36394921|36438823|36674447,@CHEMICAL_Glucovance|@CHEMICAL_Metformin|@CHEMICAL_rosiglitazone_metformin_combination
metformin,@DISEASE_Endometrial_Neoplasms,treat,10,167,32934724|34422646|35052471|35341081|35480097|35898873|36226249|36333773|37313172|37415671,@CHEMICAL_Metformin
metformin,@DISEASE_Ovarian_Neoplasms,treat,10,147,32825834|33467127|33490223|33564559|34440224|34638899|34895333|35052372|36361682|38004379,@CHEMICAL_Metformin
metformin,@DISEASE_Fatty_Liver,treat,10,161,33426334|33599105|33859820|35056941|35080048|35326230|36120597|36430717|36830859|38273354,@CHEMICAL_Metformin
metformin,@DISEASE_Kidney_Diseases,treat,10,284,31431257|32364526|32449077|32953140|33373028|33714781|34096218|34151116|36202076|36644057,@CHEMICAL_Metformin
metformin,@DISEASE_Hyperinsulinism,treat,10,159,32269725|33742773|34484117|34787028|35986566|36058289|36118716|36143915|37026076|38001929,@CHEMICAL_Metformin
metformin,@DISEASE_Lung_Neoplasms,treat,10,154,32156062|33014814|33262518|33384055|34235153|35890085|36367180|37664043|37749553|39475035,@CHEMICAL_Metformin
metformin,@DISEASE_Atherosclerosis,treat,10,162,31955370|32099330|32667970|34163481|34264978|35278303|36077136|37631325|38196460|40758579,@CHEMICAL_Metformin
metformin,@DISEASE_Alzheimer_Disease,treat,10,150,34577590|34999113|35077762|35153733|36422837|37090575|37483818|37780174|37874091|39422959,@CHEMICAL_Metformin
metformin,@DISEASE_Death,treat,10,166,31786336|32607520|33232684|33309936|34966196|35215211|35629125|35685604|36237966|37627162,@CHEMICAL_Metformin
metformin,@DISEASE_Hypoglycemia,treat,10,336,32328953|34075013|34350076|34482529|35136740|35707462|35831909|36530712|36644057|40047521,@CHEMICAL_Metformin
metformin,@DISEASE_Neoplasm_Metastasis,treat,10,128,31936169|32883003|32974191|33042396|33831975|33980323|34165313|35780231|36273071|37313172,@CHEMICAL_Metformin
metformin,@DISEASE_Cognition_Disorders,treat,10,151,32150083|34380878|34512303|34776938|34851228|34911449|35455439|36090264|37085892|37483818,@CHEMICAL_Metformin
metformin,@DISEASE_Carcinoma_Non_Small_Cell_Lung,treat,10,117,33489797|33889509|33927955|34235153|34421608|36199547|36672573|36959680|36969876|37405073,@CHEMICAL_Metformin
