drug_name,drug_id,disease_name,disease_id,total_disease_entities
Atorvastatin,@CHEMICAL_Atorvastatin,Inflammation,@DISEASE_Inflammation,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Hypercholesterolemia,@DISEASE_Hypercholesterolemia,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Atherosclerosis,@DISEASE_Atherosclerosis,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Coronary Disease,@DISEASE_Coronary_Disease,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Dyslipidemias,@DISEASE_Dyslipidemias,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Diabetes Mellitus Type 2,@DISEASE_Diabetes_Mellitus_Type_2,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Hyperlipoproteinemia Type II,@DISEASE_Hyperlipoproteinemia_Type_II,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Acute Coronary Syndrome,@DISEASE_Acute_Coronary_Syndrome,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Cardiovascular Diseases,@DISEASE_Cardiovascular_Diseases,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Hyperlipidemias,@DISEASE_Hyperlipidemias,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Coronary Artery Disease,@DISEASE_Coronary_Artery_Disease,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Myocardial Infarction,@DISEASE_Myocardial_Infarction,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Hypertension,@DISEASE_Hypertension,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Diabetes Mellitus,@DISEASE_Diabetes_Mellitus,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Stroke,@DISEASE_Stroke,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Neoplasms,@DISEASE_Neoplasms,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Plaque Atherosclerotic,@DISEASE_Plaque_Atherosclerotic,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Infarction,@DISEASE_Infarction,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Heart Failure,@DISEASE_Heart_Failure,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Metabolic Syndrome,@DISEASE_Metabolic_Syndrome,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Fibrosis,@DISEASE_Fibrosis,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Kidney Diseases,@DISEASE_Kidney_Diseases,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Ischemia,@DISEASE_Ischemia,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Atrial Fibrillation,@DISEASE_Atrial_Fibrillation,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Myocardial Ischemia,@DISEASE_Myocardial_Ischemia,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Cerebral Infarction,@DISEASE_Cerebral_Infarction,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Reperfusion Injury,@DISEASE_Reperfusion_Injury,1026
Atorvastatin,@CHEMICAL_Atorvastatin,ST Elevation Myocardial Infarction,@DISEASE_ST_Elevation_Myocardial_Infarction,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Vascular Diseases,@DISEASE_Vascular_Diseases,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Heart Diseases,@DISEASE_Heart_Diseases,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Renal Insufficiency Chronic,@DISEASE_Renal_Insufficiency_Chronic,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Brain Ischemia,@DISEASE_Brain_Ischemia,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Obesity,@DISEASE_Obesity,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Cardiomyopathies,@DISEASE_Cardiomyopathies,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Non alcoholic Fatty Liver Disease,@DISEASE_Non_alcoholic_Fatty_Liver_Disease,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Alzheimer Disease,@DISEASE_Alzheimer_Disease,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Angina Unstable,@DISEASE_Angina_Unstable,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Death,@DISEASE_Death,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Hypertriglyceridemia,@DISEASE_Hypertriglyceridemia,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Angina Stable,@DISEASE_Angina_Stable,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Carotid Stenosis,@DISEASE_Carotid_Stenosis,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Ischemic Attack Transient,@DISEASE_Ischemic_Attack_Transient,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Acute Kidney Injury,@DISEASE_Acute_Kidney_Injury,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Coronary Aneurysm,@DISEASE_Coronary_Aneurysm,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Hematoma Subdural Chronic,@DISEASE_Hematoma_Subdural_Chronic,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Breast Neoplasms,@DISEASE_Breast_Neoplasms,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Dental Plaque,@DISEASE_Dental_Plaque,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Carotid Artery Diseases,@DISEASE_Carotid_Artery_Diseases,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Fatty Liver,@DISEASE_Fatty_Liver,1026
Atorvastatin,@CHEMICAL_Atorvastatin,COVID 19,@DISEASE_COVID_19,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Ventricular Remodeling,@DISEASE_Ventricular_Remodeling,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Cognition Disorders,@DISEASE_Cognition_Disorders,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Infarction Middle Cerebral Artery,@DISEASE_Infarction_Middle_Cerebral_Artery,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Prostatic Neoplasms,@DISEASE_Prostatic_Neoplasms,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Proteinuria,@DISEASE_Proteinuria,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Blood Platelet Disorders,@DISEASE_Blood_Platelet_Disorders,1026
Atorvastatin,@CHEMICAL_Atorvastatin,HIV Infections,@DISEASE_HIV_Infections,1026
