disease_id,disease_name,n_edges,n_drug_names,n_drug_ids,pmid_count_sum,total_articles_sum,pmid_count_median,total_articles_median,edge_share,drug_name_share,drug_id_share,pmid_share,total_articles_share
@DISEASE_Neoplasms,Neoplasms,187,134,187,6491,20522,15.0,15.0,0.001996498120942945,0.9640287769784173,0.5095367847411444,0.008372113420145696,0.017131918779912193
@DISEASE_Inflammation,Inflammation,198,132,198,8093,22801,23.5,23.5,0.002113939186880765,0.9496402877697842,0.5395095367847411,0.010438378356068267,0.019034444990779553
@DISEASE_Pain,Pain,182,126,182,6622,22784,18.5,18.5,0.0019431158182439357,0.9064748201438849,0.49591280653950953,0.00854107765647894,0.01902025326388848
@DISEASE_Diabetes_Mellitus,Diabetes Mellitus,159,126,159,5341,14073,17.0,17.0,0.0016975572258284934,0.9064748201438849,0.4332425068119891,0.006888839589739356,0.011748245443412159
@DISEASE_Depressive_Disorder,Depressive Disorder,146,120,146,5487,17580,19.5,19.5,0.0015587632388110693,0.8633093525179856,0.3978201634877384,0.007077150876034422,0.014675915220293167
@DISEASE_Obesity,Obesity,141,120,141,3046,5731,9.0,9.0,0.0015053809361120602,0.8633093525179856,0.38419618528610355,0.003928740945580618,0.0047842815772184384
@DISEASE_Death,Death,140,120,140,3983,5092,14.5,14.5,0.0014947044755722584,0.8633093525179856,0.3814713896457766,0.005137286666529088,0.004250839607607099
@DISEASE_Drug_Related_Side_Effects_and_Adverse_Reactions,Drug Related Side Effects and Adverse Reactions,148,119,148,4849,6895,24.0,24.0,0.001580116159890673,0.8561151079136691,0.4032697547683924,0.006254256350991601,0.005755997465524539
@DISEASE_Hypertension,Hypertension,163,117,163,5235,22835,12.0,12.0,0.0017402630679877007,0.841726618705036,0.444141689373297,0.006752120436675816,0.01906282844456169
@DISEASE_Breast_Neoplasms,Breast Neoplasms,144,117,144,2790,7567,7.0,7.0,0.0015374103177314656,0.841726618705036,0.3923705722070845,0.003598551292898859,0.006316988081453834
@DISEASE_Edema,Edema,144,116,144,3219,4239,8.0,8.0,0.0015374103177314656,0.8345323741007195,0.3923705722070845,0.004151876921806963,0.003538748840661134
@DISEASE_Cardiovascular_Diseases,Cardiovascular Diseases,138,115,138,4572,9289,16.0,16.0,0.0014733515544926546,0.8273381294964028,0.3760217983651226,0.005896980828363291,0.007754526534772653
@DISEASE_COVID_19,COVID 19,138,114,138,2323,4830,5.5,5.5,0.0014733515544926546,0.8201438848920863,0.3760217983651226,0.0029962131374208062,0.004032120051991809
@DISEASE_Infections,Infections,138,113,138,3306,8138,6.0,6.0,0.0014733515544926546,0.8129496402877698,0.3760217983651226,0.004264089811585529,0.006793663143500899
@DISEASE_Heart_Diseases,Heart Diseases,131,113,131,3382,3788,13.0,13.0,0.0013986163307140418,0.8129496402877698,0.3569482288828338,0.004362114864725427,0.0031622506743157293
@DISEASE_Seizures,Seizures,120,112,120,3461,10483,13.0,13.0,0.0012811752647762214,0.8057553956834532,0.32697547683923706,0.004464009327857689,0.008751286647004168
@DISEASE_Weight_Loss,Weight Loss,127,112,127,2433,3276,8.0,8.0,0.0013559104885548343,0.8057553956834532,0.3460490463215259,0.0031380915038074996,0.002734829252655314
@DISEASE_Wounds_and_Injuries,Wounds and Injuries,124,111,124,1809,1894,8.0,8.0,0.0013238811069354287,0.7985611510791367,0.33787465940054495,0.0023332542253957115,0.0015811253371578646
@DISEASE_Stroke,Stroke,126,110,126,3393,11015,10.5,10.5,0.0013452340280150324,0.7913669064748201,0.34332425068119893,0.004376302701364096,0.009195404217948193
@DISEASE_Alzheimer_Disease,Alzheimer Disease,122,110,122,2257,5670,6.0,6.0,0.0013025281858558252,0.7913669064748201,0.33242506811989103,0.00291108611758879,0.0047333583219034275
