drug_id,drug_name,n_diseases,n_edges,pmid_count_sum,total_articles_sum,total_articles_median
@CHEMICAL_Prednisolone,Prednisolone,2779,2779,30148,37561,3.0
@CHEMICAL_Prednisone,Prednisone,2686,2686,27579,34764,3.0
@CHEMICAL_Methylprednisolone,Methylprednisolone,2307,2307,22133,26516,3.0
@CHEMICAL_Methotrexate,Methotrexate,2121,2121,29474,59886,4.0
@CHEMICAL_Aspirin,Aspirin,2056,2056,29078,68847,3.0
@CHEMICAL_Doxycycline,Doxycycline,1887,1887,15996,19297,3.0
@CHEMICAL_Propranolol,Propranolol,1548,1548,14413,20665,2.0
@CHEMICAL_Metformin,Metformin,1489,1489,17666,45141,3.0
@CHEMICAL_Folic_Acid,Folic Acid,1434,1434,15833,25564,3.0
@CHEMICAL_Warfarin,Warfarin,1349,1349,13888,33862,3.0
@CHEMICAL_Ciprofloxacin,Ciprofloxacin,1336,1336,12187,15966,2.0
@CHEMICAL_Valproic_Acid,Valproate,1329,1329,15658,27976,3.0
@CHEMICAL_Estradiol,Estradiol,1256,1256,17274,23921,4.0
@CHEMICAL_Trimethoprim_Sulfamethoxazole_Drug_Combination,Sulfamethoxazole,1234,1234,10947,15549,2.0
@CHEMICAL_Testosterone,Testosterone,1216,1216,17787,29226,4.0
@CHEMICAL_Thyroxine,Levothyroxine,1216,1216,10113,17445,3.0
@CHEMICAL_Acyclovir,Acyclovir,1179,1179,9471,14520,2.0
@CHEMICAL_Hydroxychloroquine,Hydroxychloroquine,1067,1067,8626,13360,2.0
@CHEMICAL_Vitamin_B_12,Cyanocobalamin,1066,1066,9083,11023,3.0
@CHEMICAL_Ibuprofen,Ibuprofen,1065,1065,8119,11754,2.0
@CHEMICAL_Simvastatin,Simvastatin,1062,1062,8417,10877,2.0
@CHEMICAL_Cholecalciferol,Cholecalciferol,1045,1045,7333,8768,2.0
@CHEMICAL_Nifedipine,Nifedipine,1029,1029,9028,12829,2.0
@CHEMICAL_Atorvastatin,Atorvastatin,1026,1026,8798,12486,2.0
@CHEMICAL_Clindamycin,Clindamycin,1022,1022,7650,9338,2.0
@CHEMICAL_Progesterone,Progesterone,1010,1010,11290,14475,4.0
@CHEMICAL_Amoxicillin,Amoxicillin,997,997,7566,10554,2.0
@CHEMICAL_Acetaminophen,Acetaminophen,995,995,10842,25266,3.0
@CHEMICAL_Celecoxib,Celecoxib,952,952,6667,9273,2.0
@CHEMICAL_Gabapentin,Gabapentin,948,948,7893,11766,2.0
@CHEMICAL_Clonidine,Clonidine,912,912,8070,11160,2.0
@CHEMICAL_Adalimumab,Adalimumab,893,893,6518,13578,2.0
@CHEMICAL_Allopurinol,Allopurinol,871,871,6711,8800,2.0
@CHEMICAL_Furosemide,Furosemide,862,862,6361,8136,2.0
@CHEMICAL_Diclofenac,Diclofenac,853,853,6632,9858,2.0
@CHEMICAL_Sildenafil_Citrate,Sildenafil,849,849,6258,9419,2.0
@CHEMICAL_Losartan,Losartan,838,838,6027,8942,2.0
@CHEMICAL_Ketoconazole,Ketoconazole,796,796,5025,5505,2.0
@CHEMICAL_Pioglitazone,Pioglitazone,795,795,6139,9594,2.0
@CHEMICAL_Fluoxetine,Fluoxetine,788,788,7714,11872,3.0
@CHEMICAL_Clopidogrel,Clopidogrel,786,786,7881,18810,2.0
@CHEMICAL_Spironolactone,Spironolactone,779,779,5439,7304,2.0
@CHEMICAL_Triiodothyronine,Thyroid,765,765,6956,9729,3.0
@CHEMICAL_Amoxicillin_Potassium_Clavulanate_Combination,Amoxicillin,723,723,4442,5092,2.0
@CHEMICAL_Triamcinolone_Acetonide,Triamcinolone,694,694,4460,5359,2.0
@CHEMICAL_Diltiazem,Diltiazem,691,691,5625,6844,2.0
@CHEMICAL_Levetiracetam,Levetiracetam,686,686,4860,8395,2.0
@CHEMICAL_Triamcinolone,Triamcinolone,682,682,3473,3912,2.0
@CHEMICAL_Amitriptyline,Amitriptyline,660,660,4786,6563,2.0
@CHEMICAL_Topiramate,Topiramate,656,656,5848,8663,2.0
@CHEMICAL_Rivaroxaban,Rivaroxaban,642,642,5861,13220,2.0
@CHEMICAL_Baclofen,Baclofen,620,620,5134,6911,2.0
@CHEMICAL_Pregabalin,Pregabalin,603,603,4861,7954,2.0
@CHEMICAL_Omeprazole,Omeprazole,588,588,4493,7748,2.0
@CHEMICAL_Amlodipine,Amlodipine,582,582,4562,7189,2.0
@CHEMICAL_Metoprolol,Metoprolol,577,577,4752,6322,2.0
@CHEMICAL_Carvedilol,Carvedilol,576,576,4126,5560,2.0
@CHEMICAL_Naproxen,Naproxen,574,574,3661,4734,2.0
@CHEMICAL_montelukast,Montelukast,570,570,2903,4228,2.0
@CHEMICAL_Alendronate,Alendronate,568,568,4090,7737,2.0
@CHEMICAL_Memantine,Memantine,565,565,3931,5632,2.0
@CHEMICAL_Atenolol,Atenolol,538,538,3904,5786,2.0
@CHEMICAL_Lamotrigine,Lamotrigine,531,531,4676,7873,2.0
@CHEMICAL_Sertraline,Sertraline,526,526,3787,5693,2.0
@CHEMICAL_Ondansetron,Ondansetron,520,520,3084,5801,2.0
@CHEMICAL_Methylphenidate,Methylphenidate,514,514,4781,9484,2.0
@CHEMICAL_Tramadol,Tramadol,514,514,4273,6709,2.0
@CHEMICAL_Fenofibrate,Fenofibrate,507,507,3635,4381,2.0
@CHEMICAL_Lovastatin,Lovastatin,503,503,2658,2965,2.0
@CHEMICAL_Rosuvastatin_Calcium,Rosuvastatin,495,495,3999,4582,2.0
@CHEMICAL_Albuterol,Albuterol,480,480,3396,6387,2.0
@CHEMICAL_Meloxicam,Meloxicam,480,480,2126,2557,2.0
@CHEMICAL_apixaban,Apixaban,474,474,3644,8073,2.0
