year,n_articles,n_drug_names,n_diseases
1903,1,1,1
1907,1,1,1
1909,1,1,1
1921,2,2,1
1925,6,3,4
1928,1,1,1
1929,4,3,3
1930,3,3,2
1933,2,2,1
1935,4,2,2
1936,4,2,2
1937,1,1,1
1938,9,6,7
1940,1,1,1
1942,4,1,4
1943,2,2,2
1944,2,2,2
1945,16,5,14
1946,87,10,37
1947,104,9,53
1948,155,11,72
1949,130,14,75
1950,203,13,109
1951,191,14,111
1952,162,14,101
1953,198,18,116
1954,177,19,119
1955,164,18,98
1956,324,23,174
1957,419,23,227
1958,436,27,250
1959,423,28,236
1960,397,30,217
1961,409,33,231
1962,355,36,222
1963,188,32,127
1964,45,22,37
1965,237,33,154
1966,406,35,256
1967,409,40,245
1968,459,40,270
1969,534,43,298
1970,676,45,371
1971,634,48,350
1972,663,48,374
1973,815,53,420
1974,858,52,430
1975,2661,62,950
1976,3022,65,1035
1977,3059,63,1043
1978,3172,67,1065
1979,3431,69,1111
1980,3673,72,1153
1981,4049,74,1207
1982,4569,74,1306
1983,5514,76,1429
1984,5837,81,1517
1985,6100,82,1506
1986,6520,90,1605
1987,6745,93,1628
1988,6747,89,1606
1989,8719,90,1882
1990,8497,105,1846
1991,8623,102,1878
1992,9070,105,1936
1993,8914,109,1965
1994,8819,111,1944
1995,9041,114,1986
1996,9359,119,2007
1997,9968,123,2033
1998,10607,122,2086
1999,10882,121,2152
2000,12021,127,2161
2001,12401,129,2266
2002,13390,132,2270
2003,14559,132,2362
2004,15611,132,2399
2005,16810,132,2471
2006,17438,132,2530
2007,17854,134,2549
2008,18302,136,2620
2009,18630,138,2663
2010,19386,137,2698
2011,20330,138,2713
2012,21159,140,2790
2013,22594,139,2842
2014,23390,139,2879
2015,23588,140,2913
2016,23768,140,2898
2017,24113,140,2912
2018,24566,139,2964
2019,25495,139,3026
2020,41646,139,3102
2021,46961,140,3247
2022,48387,140,3279
2023,43880,140,3211
2024,19990,139,2434
2025,26472,140,2603
2026,18,11,16
