pmid,n_pairs,n_drugs,n_diseases,has_one_drug_multi_diseases,has_one_disease_multi_drugs
33708982,2,1,2,True,False
32978691,1,1,1,False,False
34804419,1,1,1,False,False
33250642,4,1,4,True,False
37123681,2,1,2,True,False
33932991,2,1,2,True,False
34526068,2,1,2,True,False
38105357,2,1,2,True,False
35185821,4,1,4,True,False
36092168,4,1,4,True,False
36753488,3,3,2,False,True
32184589,1,1,1,False,False
37082028,14,2,7,True,True
38222782,5,2,4,True,True
33647413,1,1,1,False,False
37184748,3,1,3,True,False
36569299,3,1,3,True,False
33685337,3,1,3,True,False
33409009,4,2,2,True,True
38027979,2,1,2,True,False
33794865,2,1,2,True,False
35428948,2,1,2,True,False
36838830,9,3,3,True,True
33959001,5,2,3,True,True
36637998,1,1,1,False,False
33884978,4,1,4,True,False
35898474,6,3,2,True,True
36732683,3,1,3,True,False
39530108,4,2,3,True,True
38367277,1,1,1,False,False
34683951,1,1,1,False,False
33841522,5,1,5,True,False
34475918,3,1,3,True,False
34630855,3,1,3,True,False
33652637,3,2,3,True,False
34872404,2,1,2,True,False
32314997,2,1,2,True,False
39544763,2,1,2,True,False
31084596,9,3,3,True,True
40365683,2,1,2,True,False
40503750,2,1,2,True,False
38051553,3,1,3,True,False
36660941,2,1,2,True,False
34813498,3,1,3,True,False
36071715,7,1,7,True,False
31943302,5,4,2,True,True
37179286,3,1,3,True,False
36808658,2,1,2,True,False
36634416,4,1,4,True,False
40868832,3,1,3,True,False
40629397,6,1,6,True,False
33453720,3,1,3,True,False
35096297,2,1,2,True,False
40980360,3,1,3,True,False
38312035,4,2,3,True,True
37175538,8,1,8,True,False
32048413,1,1,1,False,False
40234311,1,1,1,False,False
34569007,4,1,4,True,False
35861833,2,1,2,True,False
36308552,6,1,6,True,False
33755739,3,1,3,True,False
33429036,2,1,2,True,False
32535101,4,1,4,True,False
36950409,3,1,3,True,False
32968404,4,1,4,True,False
35644046,3,2,2,True,True
35891762,3,1,3,True,False
37996729,8,1,8,True,False
36473121,3,1,3,True,False
32252617,4,1,4,True,False
33922266,4,1,4,True,False
38141938,4,1,4,True,False
39697866,6,1,6,True,False
40224964,4,2,2,True,True
34430655,2,1,2,True,False
36420333,4,1,4,True,False
39200884,2,1,2,True,False
33380704,2,1,2,True,False
39758266,2,1,2,True,False
32101757,8,1,8,True,False
34434187,2,1,2,True,False
33401219,9,2,5,True,True
39398547,6,2,3,True,True
39197401,2,1,2,True,False
34970075,2,1,2,True,False
39455367,2,1,2,True,False
36581105,3,1,3,True,False
33279615,6,1,6,True,False
34651601,5,1,5,True,False
35487525,3,1,3,True,False
39742023,3,1,3,True,False
32412807,4,1,4,True,False
32576006,3,1,3,True,False
36587518,3,1,3,True,False
32083808,5,1,5,True,False
37450602,1,1,1,False,False
36604813,2,1,2,True,False
40124115,2,1,2,True,False
34208774,4,1,4,True,False
38254988,1,1,1,False,False
33481866,3,1,3,True,False
35615690,1,1,1,False,False
37593018,1,1,1,False,False
33826536,1,1,1,False,False
34068030,3,1,3,True,False
36764153,1,1,1,False,False
38048213,4,1,4,True,False
40192264,1,1,1,False,False
36182594,2,2,1,False,True
33514449,2,2,1,False,True
33805706,2,1,2,True,False
34093203,1,1,1,False,False
35684416,1,1,1,False,False
31987664,3,1,3,True,False
36979720,2,1,2,True,False
33926277,5,1,5,True,False
36299645,3,2,2,True,True
36072875,2,1,2,True,False
40532247,1,1,1,False,False
32872631,17,4,5,True,True
41031162,2,1,2,True,False
34432203,1,1,1,False,False
32339653,2,1,2,True,False
36878199,2,1,2,True,False
36440238,3,2,2,True,True
37638270,11,2,6,True,True
36789598,1,1,1,False,False
37171309,4,1,4,True,False
35157785,2,1,2,True,False
40122716,6,3,2,True,True
33342941,1,1,1,False,False
34669740,1,1,1,False,False
36751936,5,2,5,True,False
33413070,6,1,6,True,False
40291284,7,5,2,True,True
37536301,2,1,2,True,False
37885753,2,1,2,True,False
33198086,3,1,3,True,False
36189913,1,1,1,False,False
32065098,2,1,2,True,False
32468059,2,1,2,True,False
30483816,2,2,1,False,True
37960899,1,1,1,False,False
37722165,1,1,1,False,False
40947318,8,2,4,True,True
32237680,3,1,3,True,False
36430776,1,1,1,False,False
36438056,7,2,4,True,True
39523378,1,1,1,False,False
33775599,1,1,1,False,False
32130100,5,2,4,True,True
32375665,6,2,3,True,True
33090308,8,1,8,True,False
38194219,1,1,1,False,False
33667961,1,1,1,False,False
35449790,4,2,3,True,True
36858960,1,1,1,False,False
39950294,9,4,6,True,True
32347013,4,2,2,True,True
36287418,6,3,3,True,True
10582478,3,1,3,True,False
28814835,2,1,2,True,False
22074026,2,1,2,True,False
12117017,2,1,2,True,False
23113833,1,1,1,False,False
23460112,1,1,1,False,False
7791813,2,2,2,False,False
32245299,1,1,1,False,False
30858694,4,2,2,True,True
11233299,2,1,2,True,False
15541334,2,1,2,True,False
31409451,2,1,2,True,False
16753506,2,2,1,False,True
9793596,5,1,5,True,False
28120261,2,1,2,True,False
24527446,3,2,2,True,True
21383898,1,1,1,False,False
11016019,2,2,1,False,True
12482568,1,1,1,False,False
15526541,3,1,3,True,False
11564386,1,1,1,False,False
10687671,2,2,1,False,True
16158043,1,1,1,False,False
17465700,1,1,1,False,False
15668185,3,1,3,True,False
17525003,1,1,1,False,False
19965781,1,1,1,False,False
11724206,1,1,1,False,False
9185636,1,1,1,False,False
9126664,2,2,1,False,True
19648672,3,1,3,True,False
27459306,3,2,2,True,True
24653510,1,1,1,False,False
14697480,1,1,1,False,False
9164896,1,1,1,False,False
15247960,1,1,1,False,False
16950182,3,2,2,True,True
15325939,1,1,1,False,False
36655081,7,1,7,True,False
36820569,6,2,3,True,True
34684024,1,1,1,False,False
37978381,3,1,3,True,False
37520489,1,1,1,False,False
33659112,2,1,2,True,False
32104293,2,1,2,True,False
37865306,1,1,1,False,False
37495992,3,2,2,True,True
35692570,1,1,1,False,False
40700825,1,1,1,False,False
34470532,4,2,2,True,True
37544347,1,1,1,False,False
