group,pmid,pub_year,drug_name_pt,drug_id_pt,disease_name_pt,disease_id_pt,pmid_count_pair,n_pairs_pmid,n_drugs_pmid,n_diseases_pmid,pmid_has_one_drug_multi_diseases,pmid_has_one_disease_multi_drugs,pt_pairs_json,row_id,title,abstract,annotator_id,pubtator_agree,pt_pair_agree_json,other_relations,other_drug_name,other_disease_name,other_disease_id,other_drug_free_text,other_disease_free_text
pmid_single_rel,19145402,2009,Acyclovir,@CHEMICAL_Acyclovir,Leukoencephalitis Acute Hemorrhagic,@DISEASE_Leukoencephalitis_Acute_Hemorrhagic,6,1,1,1,False,False,"[{""drug_name"": ""Acyclovir"", ""drug_id"": ""@CHEMICAL_Acyclovir"", ""disease_name"": ""Leukoencephalitis Acute Hemorrhagic"", ""disease_id"": ""@DISEASE_Leukoencephalitis_Acute_Hemorrhagic"", ""pub_year"": 2009, ""pmid_count_pair"": 6}]",0,Acute hemorrhagic leukoencephalitis with atypical features.,"Acute hemorrhagic leukoencephalitis (AHL) is a rare demyelinating disease mainly affecting children, characterized by acute onset, progressive course and high mortality. A 62-year-old man was admitted to our Unit for diplopia and ataxia ensuing 2 weeks after the onset of pneumonia. MRI T2-weighted images showed signal hyperintensities in the brainstem. Antibodies against Mycoplasma Pneumoniae and cold agglutinins were found. Two weeks later the patient had a worsening of his conditions: he developed left hemiplegia with motor focal seizures and the day after he was deeply comatose (GCS = 4). A second MRI scan showed extensive hyperintensities involving the whole right hemisphere white matter with a small parietal hemorrhagic area. The clinical and neuroimaging features suggested the diagnosis of AHL, Aciclovir in association with steroid therapy were administered and then plasmapheresis was started. After 30 days of coma, the patient gradually reacquired consciousness and motor functions; anyway a left hemiplegia persisted.",,,,,,,,,
pmid_single_rel,2495236,1989,Levonorgestrel,@CHEMICAL_Levonorgestrel,Amenorrhea,@DISEASE_Amenorrhea,100,1,1,1,False,False,"[{""drug_name"": ""Levonorgestrel"", ""drug_id"": ""@CHEMICAL_Levonorgestrel"", ""disease_name"": ""Amenorrhea"", ""disease_id"": ""@DISEASE_Amenorrhea"", ""pub_year"": 1989, ""pmid_count_pair"": 100}]",1,[The levonorgestrel intrauterine device].,"The levonorgestrel IUD offers a valuable improvement for women, who develop menorrhagia with conventional IUDs. However, since the levonorgestrel Nova-T induces amenorrhea and spotting in a substantial proportion of the patients, it is advisable, before insertion, to evaluate the acceptor's reaction to the ""new"" bleeding pattern induced by the steroid IUD.",,,,,,,,,
pmid_single_rel,15863459,2005,Allopurinol,@CHEMICAL_Allopurinol,Cardiomyopathy Right Ventricular Dilated,@DISEASE_Cardiomyopathy_Right_Ventricular_Dilated,1,1,1,1,False,False,"[{""drug_name"": ""Allopurinol"", ""drug_id"": ""@CHEMICAL_Allopurinol"", ""disease_name"": ""Cardiomyopathy Right Ventricular Dilated"", ""disease_id"": ""@DISEASE_Cardiomyopathy_Right_Ventricular_Dilated"", ""pub_year"": 2005, ""pmid_count_pair"": 1}]",2,Chronic xanthine oxidase inhibition prevents myofibrillar protein oxidation and preserves cardiac function in a transgenic mouse model of cardiomyopathy.,"Heart failure is a clinical syndrome associated with elevated levels of oxygen-derived free radicals. Xanthine oxidase activity is believed to be one source of reactive oxygen species in the failing heart. Interventions designed to reduce oxidative stress are believed to have significant therapeutic potential in heart failure. This study tested the hypothesis that xanthine oxidase activity would be elevated in a mouse model of dilated cardiomyopathy and evaluated the effect of chronic oral allopurinol, an inhibitor of xanthine oxidase, on contractility and progressive ventricular dilation in these mice. Nontransgenic and transgenic mice containing a troponin I truncation were treated with oral allopurinol from 2-4 mo of age. Myocardial xanthine oxidase activity was threefold higher in untreated transgenic mice compared with nontransgenic mice. Analyses of myofilament proteins for modification of carbonyl groups demonstrated myofibrillar protein damage in untreated transgenic mice. Treatment with allopurinol for 2 mo suppressed xanthine oxidase activity and myofibrillar protein oxidation. Allopurinol treatment also alleviated ventricular dilation and preserved shortening fraction in the transgenic animals. In addition, cardiac muscle twitch tension was preserved to 70% of nontransgenic levels in allopurinol-treated transgenic mice, a significant improvement over untreated transgenic mice. These findings indicate that chronic inhibition of xanthine oxidase can alter the progression of heart failure in dilated cardiomyopathy.",,,,,,,,,
pmid_single_rel,8905208,1996,Prednisone,@CHEMICAL_Prednisone,Mesangial sclerosis diffuse,@DISEASE_Mesangial_sclerosis_diffuse,10,1,1,1,False,False,"[{""drug_name"": ""Prednisone"", ""drug_id"": ""@CHEMICAL_Prednisone"", ""disease_name"": ""Mesangial sclerosis diffuse"", ""disease_id"": ""@DISEASE_Mesangial_sclerosis_diffuse"", ""pub_year"": 1996, ""pmid_count_pair"": 10}]",3,Immunosuppressive treatment of the nephrotic syndrome due to mesangial lesions.,"To assess the effectiveness of an intensive immunosuppressive regimen on the nephrotic syndrome due to mixed membranous and mesangial lesions, we studied 18 patients with nephrotic syndrome and miscellaneous histologic features characterized by mesangial proliferation and sclerosis, non-specific basement membrane changes such as thickening, fraying and scalloping, in the absence of extensive immune complex deposition by immunofluorescence. The patients were treated with an immunosuppressive regimen that combined prednisone and cyclophosphamide for at least 6 months with the following schedule: 1) induction with prednisone daily 250 to 750 mg i.v. for 3 to 8 days, plus cyclophosphamide 100 to 200 mg p.o. daily; 2) maintenance with prednisone 100 to 200 mg p.o. in alternate days for 30 to 75 days, and cyclophosphamide as before; 3) tapering, with prednisone in alternate day regimen, reduced on average by 25 mg every month, plus cyclophosphamide as before; 4) discontinuation of cyclophosphamide and slow withdrawal of prednisone. Treatment lasted on average 9 months, with an average cumulative dose of prednisone of 9.2 g and of cyclophosphamide of 26.7 g. At the end of treatment, 14 patients had a complete remission and 4 remained stable. On longer follow-up, one out of these 4 patients, who had renal failure before treatment, subsequently progressed to end-stage renal disease. Nine patients relapsed after an average remission of 6 years. Eight of them remitted completely on a repeat cycle. One patient refused the retreatment and progressed to end-stage renal disease within one year. After an average follow-up of 7.3 +/- 1.1 years, plasma creatinine for the whole group had fallen from 138 +/- 26 to 103 +/- 20 mumol/l and proteinuria from 6.7 +/- 0.7 to 0.4 +/- 0.2 g/d (p < 0.001). In conclusion, in patients with these forms of nephrotic syndrome this immunosuppressive regimen is highly effective in inducing remission, in preventing progression to end-stage renal disease and in treating relapses.",,,,,,,,,
pmid_single_rel,24161403,2013,Ibuprofen,@CHEMICAL_Ibuprofen,Alzheimer Disease,@DISEASE_Alzheimer_Disease,81,1,1,1,False,False,"[{""drug_name"": ""Ibuprofen"", ""drug_id"": ""@CHEMICAL_Ibuprofen"", ""disease_name"": ""Alzheimer Disease"", ""disease_id"": ""@DISEASE_Alzheimer_Disease"", ""pub_year"": 2013, ""pmid_count_pair"": 81}]",4,"R-flurbiprofen improves tau, but not Aß pathology in a triple transgenic model of Alzheimer's disease.","We have previously reported that chronic ibuprofen treatment improves cognition and decreases intracellular Aß and phosphorylated-tau levels in 3xTg-AD mice. Ibuprofen is a non-steroidal anti-inflammatory drug (NSAID) that independently of its anti-inflammatory effects has anti-amyloidogenic activity as a gamma-secretase modulator (GSM) and both activities have the potential to decrease Aß pathology. To further understand the effects of NSAIDs in 3xTg-AD mice, we treated 3xTg-AD mice with R-flurbiprofen, an enantiomer of the NSAID flurbiprofen that maintains the GSM activity but has greatly reduced anti-inflammatory activity, and analyzed its effect on cognition, Aß, tau, and the neurochemical profile of the hippocampus. Treatment with R-flurbiprofen from 5 to 7 months of age resulted in improved cognition on the radial arm water maze (RAWM) test and decreased the level of hyperphosphorylated tau immunostained with AT8 and PHF-1 antibodies. No significant changes in the level of Aß (using 6E10 and NU-1 antibodies) were detected. Using magnetic resonance spectroscopy (MRS) we found that R-flurbiprofen treatment decreased the elevated level of glutamine in 3xTg-AD mice down to the level detected in non-transgenic mice. Glutamine levels correlated with PHF-1 immunostained hyperphosphorylated tau. We also found an inverse correlation between the concentration of glutamate and learning across all the mice in the study. Glutamine and glutamate, neurochemicals that shuttles between neurons and astrocytes to maintain glutamate homeostasis in the synapses, deserve further attention as MR markers of cognitive function.",,,,,,,,,
pmid_single_rel,21696088,2011,Ketoconazole,@CHEMICAL_Ketoconazole,Dermatitis Seborrheic,@DISEASE_Dermatitis_Seborrheic,66,1,1,1,False,False,"[{""drug_name"": ""Ketoconazole"", ""drug_id"": ""@CHEMICAL_Ketoconazole"", ""disease_name"": ""Dermatitis Seborrheic"", ""disease_id"": ""@DISEASE_Dermatitis_Seborrheic"", ""pub_year"": 2011, ""pmid_count_pair"": 66}]",5,Topical antifungal agents for seborrheic dermatitis: systematic review and meta-analysis.,"Assess the efficacy of topical antifungal agents for seborrheic dermatitis treatment. A systematic review and meta-analysis of all relevant randomized vehicle-controlled trials of topical antifungal agents for seborrheic dermatitis treatment were searched. The quality of the enrolled studies was measured by criteria from Cochrane Collaboration, followed by data extraction. Two reviewers independently assessed the present study articles. When there was a disagreement between the two reviewers, a consensus was made by the third reviewer. Pooled relative risk (PRR) statistical analysis was used to determine the efficacy of treatment. One thousand ninety five studies were reviewed and nine studies were included. Four reports studied the efficacy of ketoconazole, two of metronidazole, two of ciclopirox, and one of bifonazole. Ketoconazole was more effective than vehicle [PRR is 5.78 (95% CI, 2.17-15.40)], as was metronidazole [PRR is 1.83 (95% CI: 1.05-3.17)] ciclopirox [PRR is 3.00 (95% CI, 1.86-4.84)], and bifonazole [PRR is 1.86 (95% CI: 0.96-3.59)]. The meta-analysis in the present study showed that the topical antifungal agents that demonstrated strong and moderate evidence of the efficacy for seborrheic dermatitis treatment were ketoconazole and ciclopirox, respectively. They could be used as an alternative treatment for seborrheic dermatitis.",,,,,,,,,
pmid_single_rel,15902867,2005,Alendronate,@CHEMICAL_Alendronate,Osteolysis,@DISEASE_Osteolysis,30,1,1,1,False,False,"[{""drug_name"": ""Alendronate"", ""drug_id"": ""@CHEMICAL_Alendronate"", ""disease_name"": ""Osteolysis"", ""disease_id"": ""@DISEASE_Osteolysis"", ""pub_year"": 2005, ""pmid_count_pair"": 30}]",6,Effect of oral alendronate on net bone ingrowth into canine cementless total hips.,"Alendronate has been shown to prevent osteolysis in a canine total hip arthroplasty (THA) model. However, the effect of alendronate on bone ingrowth and remodeling around canine cementless hip replacement components remains unclear. We hypothesized that oral alendronate would increase net bone ingrowth into the porous surface of THA components when intimate bone/implant contact exists. To test this hypothesis, six mature dogs received unilateral cementless THA and were treated with five milligrams of oral alendronate daily from day seven to day eighty-four postoperatively. Six comparable dogs served as controls. Quantitative analysis of net bone ingrowth into the porous surface did not show a significant difference between the two groups, (control 7.9 +/- 1.5, alendronate 7.5 +/- 1.4, P < 0.6). These results did not support the hypothesis that oral alendronate would increase net new bone formation into the porous surface of THA components. Key words: alendronate, bone ingrowth, total hip arthroplasty.",,,,,,,,,
pmid_multi_rel,11791949,2001,Bupropion,@CHEMICAL_Bupropion,Attention Deficit Disorder with Hyperactivity,@DISEASE_Attention_Deficit_Disorder_with_Hyperactivity,100,2,2,2,False,False,"[{""drug_name"": ""Bupropion"", ""drug_id"": ""@CHEMICAL_Bupropion"", ""disease_name"": ""Attention Deficit Disorder with Hyperactivity"", ""disease_id"": ""@DISEASE_Attention_Deficit_Disorder_with_Hyperactivity"", ""pub_year"": 2001, ""pmid_count_pair"": 100}, {""drug_name"": ""Methylphenidate"", ""drug_id"": ""@CHEMICAL_Methylphenidate"", ""disease_name"": ""Bipolar Disorder"", ""disease_id"": ""@DISEASE_Bipolar_Disorder"", ""pub_year"": 2001, ""pmid_count_pair"": 57}]",7,Bupropion SR vs. methylphenidate vs. placebo for attention deficit hyperactivity disorder in adults.,"Despite the increasing recognition of attention-deficit hyperactivity disorder (ADHD) in adults, there are few controlled trials demonstrating the effectiveness of pharmacological treatments, particularly with nonstimulants. One controlled trial found bupropion SR more effective than placebo in the treatment of ADHD adults. We conducted a controlled study to contrast the effectiveness of bupropion SR and methylphenidate to placebo in ADHD adults. A randomized, double-blind, parallel design was used in this study. Following a 7-day placebo lead-in, 30 ADHD (DSM-IV) subjects (18-60 years old) were randomized to bupropion, methylphenidate, or placebo for 7 weeks. Methylphenidate was titrated over 1 week to a maximum dose of 0.9 mg/kg/d divided into 3 doses while bupropion was titrated over 2 weeks to a maximum dose of 200 mg A.M. and 100 mg P.M. Response rates based on Clinical Global Impression improvement ratings in patients receiving bupropion, methylphenidate, and placebo were 64, 50, and 27%, respectively. The difference in response rates between active treatment and placebo was not statistically significant (p = 0.14). Neuropsychological testing demonstrated trends favoring drug treatment on measures of immediate recall and verbal fluency. While bupropion SR may be a viable clinical alternative for adults with ADHD, further investigation is needed.",,,,,,,,,
pmid_multi_rel,34332788,2021,Atorvastatin,@CHEMICAL_Atorvastatin,Hypertriglyceridemia,@DISEASE_Hypertriglyceridemia,52,2,1,2,True,False,"[{""drug_name"": ""Atorvastatin"", ""drug_id"": ""@CHEMICAL_Atorvastatin"", ""disease_name"": ""Hypertriglyceridemia"", ""disease_id"": ""@DISEASE_Hypertriglyceridemia"", ""pub_year"": 2021, ""pmid_count_pair"": 52}, {""drug_name"": ""Atorvastatin"", ""drug_id"": ""@CHEMICAL_Atorvastatin"", ""disease_name"": ""Hypertriglyceridemic Waist"", ""disease_id"": ""@DISEASE_Hypertriglyceridemic_Waist"", ""pub_year"": 2021, ""pmid_count_pair"": 13}]",8,"Comparison of the Efficacy and Safety of Atorvastatin 40 mg/ω-3 Fatty Acids 4 g Fixed-dose Combination and Atorvastatin 40 mg Monotherapy in Hypertriglyceridemic Patients who Poorly Respond to Atorvastatin 40 mg Monotherapy: An 8-week, Multicenter, Randomized, Double-blind Phase III Study.","Residual cardiovascular risk in patients with hypertriglyceridemia, despite optimal low-density lipoprotein cholesterol levels being achieved with intensive statin treatment, is a global health issue. The purpose of this study was to investigate the efficacy and tolerability of treatment with a combination of high-dose atorvastatin/Ω-3 fatty acid compared to atorvastatin + placebo in patients with hypertriglyceridemia who did not respond to statin treatment. In this multicenter, randomized, double-blind, placebo-controlled study, patients who had residual hypertriglyceridemia after a 4-week run-in period of atorvastatin treatment were randomly assigned to receive UI-018 (fixed-dose combination atorvastatin/Ω-3 fatty acid 40 mg/4 g) or atorvastatin 40 mg + placebo (control). The primary efficacy end points were the percentage change from baseline in non-high density lipoprotein cholesterol (non-HDL-C) level at the end of treatment and the adverse events recorded during treatment. A secondary end point was the percentage change from baseline in triglyceride level. After 8 weeks of treatment, the percentage changes from baseline in non-HDL-C (-4.4% vs +0.6%; p = 0.02) and triglycerides (-18.5% vs +0.9%; p < 0.01) were significantly greater in the UI-018 group (n = 101) than in the control group (n = 99). These changes were present in subgroups of advanced age (≥65 years), status (body mass index ≥25 kg/m<sup>2</sup>), or without diabetes. The prevalences of adverse events did not differ between the 2 treatment groups. In patients with residual hypertriglyceridemia despite receiving statin treatment, a combination of high-dose atorvastatin/Ω-3 fatty acid was associated with a greater reduction of triglyceride and non-HDL-C compared with atorvastatin + placebo, without significant adverse events.",,,,,,,,,
pmid_single_rel,34510411,2021,Memantine,@CHEMICAL_Memantine,Depressive Disorder,@DISEASE_Depressive_Disorder,73,1,1,1,False,False,"[{""drug_name"": ""Memantine"", ""drug_id"": ""@CHEMICAL_Memantine"", ""disease_name"": ""Depressive Disorder"", ""disease_id"": ""@DISEASE_Depressive_Disorder"", ""pub_year"": 2021, ""pmid_count_pair"": 73}]",9,Ketamine and other glutamate receptor modulators for depression in adults with unipolar major depressive disorder.,"Many studies have recently been conducted to assess the antidepressant efficacy of glutamate modification in mood disorders. This is an update of a review first published in 2015 focusing on the use of glutamate receptor modulators in unipolar depression. To assess the effects - and review the acceptability and tolerability - of ketamine and other glutamate receptor modulators in alleviating the acute symptoms of depression in people with unipolar major depressive disorder. We searched the Cochrane Central Register of Controlled Trials (CENTRAL), Ovid MEDLINE, Embase and PsycINFO all years to July 2020.  We did not apply any restrictions to date, language or publication status. Double- or single-blinded randomised controlled trials (RCTs) comparing ketamine, memantine, esketamine or other glutamate receptor modulators with placebo (pill or saline infusion), other active psychotropic drugs, or electroconvulsive therapy (ECT) in adults with unipolar major depression. Three review authors independently identified studies, assessed trial quality and extracted data. The primary outcomes were response rate (50% reduction on a standardised rating scale) and adverse events. We decided a priori to measure the efficacy outcomes at different time points and run sensitivity/subgroup analyses. Risk of bias was assessed using the Cochrane tool, and certainty of the evidence was assessed using GRADE. Thirty-one new studies were identified for inclusion in this updated review. Overall, we included 64 studies (5299 participants) on ketamine (31 trials), esketamine (9), memantine (5), lanicemine (4), D-cycloserine (2), Org26576 (2), riluzole (2), atomoxetine (1), basimglurant (1), citicoline (1), CP-101,606 (1), decoglurant (1), MK-0657 (1), N-acetylcysteine (1), rapastinel (1), and sarcosine (1). Forty-eight studies were placebo-controlled, and 48 were two-arm studies. The majority of trials defined an inclusion criterion for the severity of depressive symptoms at baseline: 29 at least moderate depression; 17 severe depression; and five mild-to-moderate depression. Nineteen studies recruited only patients with treatment-resistant depression, defined as inadequate response to at least two antidepressants. The majority of studies investigating ketamine administered as a single dose, whilst all of the included esketamine studies used a multiple dose regimen (most frequently twice a week for four weeks). Most studies looking at ketamine used intravenous administration, whilst the majority of esketamine trials used intranasal routes. The evidence suggests that ketamine may result in an increase in response and remission compared with placebo at 24 hours odds ratio (OR) 3.94, 95% confidence interval (CI) 1.54 to 10.10; n = 185, studies = 7, very low-certainty evidence). Ketamine may reduce depression rating scale scores over placebo at 24 hours, but the evidence is very uncertain (standardised mean difference (SMD) -0.87, 95% CI -1.26 to -0.48; n = 231, studies = 8, very low-certainty evidence). There was no difference in the number of participants assigned to ketamine or placebo who dropped out for any reason (OR 1.25, 95% CI 0.19 to 8.28; n = 201, studies = 6, very low-certainty evidence). When compared with midazolam, the evidence showed that ketamine increases remission rates at 24 hours (OR 2.21, 95% CI 0.67 to 7.32; n = 122,studies = 2, low-certainty evidence). The evidence is very uncertain about the response efficacy of ketamine at 24 hours in comparison with midazolam, and its ability to reduce depression rating scale scores at the same time point (OR 2.48, 95% CI 1.00 to 6.18; n = 296, studies = 4,very low-certainty evidence). There was no difference in the number of participants who dropped out of studies for any reason between ketamine and placebo (OR 0.33, 95% CI 0.05 to 2.09; n = 72, studies = 1, low-certainty evidence). Esketamine treatment likely results in a large increase in participants achieving remission at 24 hours compared with placebo (OR 2.74, 95% CI 1.71 to 4.40; n = 894, studies = 5, moderate-certainty evidence). Esketamine probably results in decreases in depression rating scale scores at 24 hours compared with placebo (SMD -0.31, 95% CI -0.45 to -0.17; n = 824, studies = 4, moderate-certainty evidence). Our findings show that esketamine increased response rates, although this evidence is uncertain (OR 2.11, 95% CI 1.20 to 3.68; n = 1071, studies = 5, low-certainty evidence). There was no evidence that participants assigned to esketamine treatment dropped out of trials more frequently than those assigned to placebo for any reason (OR 1.58, 95% CI 0.92 to 2.73; n = 773, studies = 4,moderate-certainty evidence). We found very little evidence for the remaining glutamate receptor modulators. We rated the risk of bias as low or unclear for most domains, though lack of detail regarding masking of treatment in the studies reduced our certainty in the effect for all outcomes. Our findings show that ketamine and esketamine may be more efficacious than placebo at 24 hours. How these findings translate into clinical practice, however, is not entirely clear. The evidence for use of the remaining glutamate receptor modulators is limited as very few trials were included in the meta-analyses for each comparison and the majority of comparisons included only one study. Long term non-inferiority RCTs comparing repeated ketamine and esketamine, and rigorous real-world monitoring are needed to establish comprehensive data on safety and efficacy.",,,,,,,,,
