drug_name,drug_key,disease_id,disease_name,disease_key_norm,disease_key_tokens,weight_total_articles_sum,weight_total_articles_max,weight_total_articles,unique_pmids_merged,year_min,year_max,year_counts_json
Acetaminophen,acetaminophen,@DISEASE_142700,142700,142700,"[[""142700"", 1]]",1,1,1,1,2024.0,2024.0,"{""2024"": 1}"
Acetaminophen,acetaminophen,@DISEASE_163000,163000,163000,"[[""163000"", 1]]",1,1,1,1,2018.0,2018.0,"{""2018"": 1}"
Acetaminophen,acetaminophen,@DISEASE_211750,211750,211750,"[[""211750"", 1]]",1,1,1,1,2022.0,2022.0,"{""2022"": 1}"
Acetaminophen,acetaminophen,@DISEASE_212500,212500,212500,"[[""212500"", 1]]",1,1,1,1,2017.0,2017.0,"{""2017"": 1}"
Acetaminophen,acetaminophen,@DISEASE_3_Hydroxy_3_Methylglutaryl_CoA_Lyase_Deficiency,3 Hydroxy 3 Methylglutaryl CoA Lyase Deficiency,3 hydroxy 3 methylglutaryl coa lyase deficiency,"[[""3"", 2], [""coa"", 1], [""deficiency"", 1], [""hydroxy"", 1], [""lyase"", 1], [""methylglutaryl"", 1]]",1,1,1,1,2021.0,2021.0,"{""2021"": 1}"
Acetaminophen,acetaminophen,@DISEASE_603933,603933,603933,"[[""603933"", 1]]",1,1,1,1,2023.0,2023.0,"{""2023"": 1}"
Acetaminophen,acetaminophen,@DISEASE_612348,612348,612348,"[[""612348"", 1]]",0,0,0,0,,,{}
Acetaminophen,acetaminophen,@DISEASE_613730,613730,613730,"[[""613730"", 1]]",1,1,1,1,2005.0,2005.0,"{""2005"": 1}"
Acetaminophen,acetaminophen,@DISEASE_614691,614691,614691,"[[""614691"", 1]]",2,2,2,2,1995.0,2019.0,"{""1995"": 1, ""2019"": 1}"
Acetaminophen,acetaminophen,@DISEASE_AA_amyloidosis,AA amyloidosis,aa amyloidosis,"[[""aa"", 1], [""amyloidosi"", 1]]",1,1,1,1,2002.0,2002.0,"{""2002"": 1}"
Acetaminophen,acetaminophen,@DISEASE_Abdomen_Acute,Abdomen Acute,abdomen acute,"[[""abdomen"", 1], [""acute"", 1]]",2,2,2,2,2016.0,2016.0,"{""2016"": 2}"
Acetaminophen,acetaminophen,@DISEASE_Abdominal_Injuries,Abdominal Injuries,abdominal injuries,"[[""abdominal"", 1], [""injury"", 1]]",15,15,15,15,1998.0,2023.0,"{""1998"": 1, ""2001"": 1, ""2002"": 1, ""2004"": 1, ""2006"": 1, ""2007"": 1, ""2009"": 2, ""2012"": 2, ""2013"": 1, ""2018"": 2, ""2021"": 1, ""2023"": 1}"
Acetaminophen,acetaminophen,@DISEASE_Abdominal_Pain,Abdominal Pain,abdominal pain,"[[""abdominal"", 1], [""pain"", 1]]",70,69,69,70,1986.0,2025.0,"{""1986"": 1, ""1988"": 1, ""1990"": 1, ""1992"": 1, ""1993"": 1, ""1994"": 1, ""1998"": 1, ""1999"": 1, ""2002"": 1, ""2004"": 1, ""2005"": 1, ""2006"": 5, ""2007"": 3, ""2009"": 2, ""2010"": 1, ""2011"": 4, ""2012"": 6, ""2013"": 1, ""2014"": 4, ""2015"": 2, ""2016"": 1, ""2018"": 3, ""2019"": 2, ""2020"": 4, ""2021"": 6, ""2022"": 6, ""2023"": 4, ""2024"": 3, ""2025"": 2}"
Acetaminophen,acetaminophen,@DISEASE_Ablepharon_macrostomia_syndrome,Ablepharon macrostomia syndrome,ablepharon macrostomia syndrome,"[[""ablepharon"", 1], [""macrostomia"", 1], [""syndrome"", 1]]",1,1,1,1,2017.0,2017.0,"{""2017"": 1}"
Acetaminophen,acetaminophen,@DISEASE_Abnormalities_Drug_Induced,Abnormalities Drug Induced,abnormalities drug induced,"[[""abnormality"", 1], [""drug"", 1], [""induced"", 1]]",11,11,11,11,1974.0,2025.0,"{""1974"": 2, ""1986"": 1, ""1989"": 2, ""1994"": 1, ""2010"": 1, ""2012"": 2, ""2023"": 1, ""2025"": 1}"
Acetaminophen,acetaminophen,@DISEASE_Abortion_Habitual,Abortion Habitual,abortion habitual,"[[""abortion"", 1], [""habitual"", 1]]",10,10,10,10,1990.0,2023.0,"{""1990"": 2, ""1992"": 1, ""2001"": 1, ""2002"": 1, ""2012"": 2, ""2017"": 1, ""2019"": 1, ""2023"": 1}"
Acetaminophen,acetaminophen,@DISEASE_Abscess,Abscess,abscess,"[[""abscess"", 1]]",2,2,2,2,2015.0,2017.0,"{""2015"": 1, ""2017"": 1}"
Acetaminophen,acetaminophen,@DISEASE_Accidental_Injuries,Accidental Injuries,accidental injuries,"[[""accidental"", 1], [""injury"", 1]]",5,4,4,5,1999.0,2021.0,"{""1999"": 1, ""2003"": 1, ""2018"": 1, ""2019"": 1, ""2021"": 1}"
