"drug","disease","pmid","positive","pub_year","pub_types"
"Atorvastatin","Ischemic Stroke","41107765",TRUE,"2025","Journal Article; Randomized Controlled Trial"
"Atorvastatin","Hypertension","40947318",TRUE,"2025","Journal Article; Randomized Controlled Trial; Multicenter Study; Clinical Trial, Phase III"
"Atorvastatin","Long QT Syndrome","40890448",TRUE,"2025","Journal Article; Randomized Controlled Trial"
"Atorvastatin","Coronary Artery Disease","40702808",TRUE,"2025","Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't"
"Atorvastatin","Diabetes Mellitus, Type 2","40698099",TRUE,"2025","Journal Article; Randomized Controlled Trial"
"Atorvastatin","Acute Disease","40561994",TRUE,"2025","Journal Article; Randomized Controlled Trial"
"Atorvastatin","Heart Failure","40516583",TRUE,"2025","Journal Article; Randomized Controlled Trial"
"Atorvastatin","Acute Disease","40444567",TRUE,"2025","Journal Article; Clinical Trial, Phase I; Clinical Trial, Phase II; Multicenter Study"
"Atorvastatin","Mucocutaneous Lymph Node Syndrome","40444567",TRUE,"2025","Journal Article; Clinical Trial, Phase I; Clinical Trial, Phase II; Multicenter Study"
"Atorvastatin","Stroke","40240927",TRUE,"2025","Journal Article; Randomized Controlled Trial; Multicenter Study"
"Atorvastatin","Cardiovascular Diseases","40139683",TRUE,"2025","Journal Article; Randomized Controlled Trial; Multicenter Study"
"Atorvastatin","Hypertension","40139683",TRUE,"2025","Journal Article; Randomized Controlled Trial; Multicenter Study"
"Atorvastatin","Hypertension","40122716",TRUE,"2025","Journal Article; Randomized Controlled Trial; Multicenter Study; Clinical Trial, Phase III"
"Atorvastatin","Essential Hypertension","40122716",TRUE,"2025","Journal Article; Randomized Controlled Trial; Multicenter Study; Clinical Trial, Phase III"
"Atorvastatin","Acute Coronary Syndrome","39923225",TRUE,"2024","Journal Article; Randomized Controlled Trial"
"Atorvastatin","Ischemic Stroke","39755915",TRUE,"2025","Journal Article; Randomized Controlled Trial; Multicenter Study"
"Atorvastatin","Diabetes Mellitus, Type 2","39747109",TRUE,"2025","Journal Article; Randomized Controlled Trial"
"Atorvastatin","Cardiovascular Diseases","39548016",TRUE,"2024","Journal Article; Randomized Controlled Trial; Multicenter Study"
"Atorvastatin","Metabolic Syndrome","39492560",TRUE,"2024","Journal Article; Randomized Controlled Trial"
"Atorvastatin","Cardiovascular Diseases","39492560",TRUE,"2024","Journal Article; Randomized Controlled Trial"
"Atorvastatin","Diabetes Mellitus","39492560",TRUE,"2024","Journal Article; Randomized Controlled Trial"
"Atorvastatin","Acute Disease","39460966",TRUE,"2024","Journal Article; Randomized Controlled Trial"
"Atorvastatin","Coronary Disease","39444168",TRUE,"2024","Journal Article; Randomized Controlled Trial"
"Atorvastatin","Heart Failure","39120468",TRUE,"2024","Journal Article; Randomized Controlled Trial"
"Atorvastatin","Stroke Volume","39120468",TRUE,"2024","Journal Article; Randomized Controlled Trial"
"Atorvastatin","Coronary Artery Disease","39113067",TRUE,"2024","Journal Article; Randomized Controlled Trial; Comparative Study; Multicenter Study; Research Support, Non-U.S. Gov't"
"Atorvastatin","Diabetes Mellitus","39113067",TRUE,"2024","Journal Article; Randomized Controlled Trial; Comparative Study; Multicenter Study; Research Support, Non-U.S. Gov't"
"Atorvastatin","Coronary Artery Disease","38922587",TRUE,"2024","Journal Article; Randomized Controlled Trial"
"Atorvastatin","Ischemic Stroke","38805216",TRUE,"2024","Journal Article; Randomized Controlled Trial; Multicenter Study"
"Atorvastatin","Disease Progression","38804148",TRUE,"2024","Journal Article; Randomized Controlled Trial"
"Atorvastatin","Bicuspid Aortic Valve Disease","38804148",TRUE,"2024","Journal Article; Randomized Controlled Trial"
"Atorvastatin","Heart Valve Diseases","38804148",TRUE,"2024","Journal Article; Randomized Controlled Trial"
"Atorvastatin","Aortic Valve Disease","38804148",TRUE,"2024","Journal Article; Randomized Controlled Trial"
"Atorvastatin","Diabetes Mellitus, Type 2","38763510",TRUE,"2024","Journal Article; Randomized Controlled Trial; Multicenter Study; Clinical Trial, Phase III"
"Atorvastatin","Stroke","38431112",TRUE,"2024","Randomized Controlled Trial; Journal Article"
"Atorvastatin","Ischemic Stroke","38431112",TRUE,"2024","Randomized Controlled Trial; Journal Article"
"Atorvastatin","Diabetes Mellitus, Type 2","38310429",TRUE,"2023","Randomized Controlled Trial; Journal Article"
"Atorvastatin","Graft vs Host Disease","38232716",TRUE,"2024","Journal Article; Clinical Trial"
"Atorvastatin","Chronic Disease","38232716",TRUE,"2024","Journal Article; Clinical Trial"
"Atorvastatin","Invasive Fungal Infections","38095652",TRUE,"2024","Journal Article; Multicenter Study; Randomized Controlled Trial; Research Support, Non-U.S. Gov't"
"Atorvastatin","End Stage Liver Disease","38051553",TRUE,"2023","Randomized Controlled Trial; Journal Article; Research Support, Non-U.S. Gov't"
"Atorvastatin","Hypertension, Portal","38051553",TRUE,"2023","Randomized Controlled Trial; Journal Article; Research Support, Non-U.S. Gov't"
"Atorvastatin","Heart Diseases","37858847",TRUE,"2024","Randomized Controlled Trial; Journal Article"
"Atorvastatin","Stroke Volume","37858847",TRUE,"2024","Randomized Controlled Trial; Journal Article"
"Atorvastatin","Coronary Artery Disease","37852649",TRUE,"2023","Journal Article; Multicenter Study; Randomized Controlled Trial"
"Atorvastatin","Diabetes Mellitus","37852649",TRUE,"2023","Journal Article; Multicenter Study; Randomized Controlled Trial"
"Atorvastatin","Stroke","37852649",TRUE,"2023","Journal Article; Multicenter Study; Randomized Controlled Trial"
