drug1_id,drug1_name,drug2_id,drug2_name,weight_admissions,shared_diseases,weighted_jaccard
drug:acetaminophen,acetaminophen,drug:ondansetron,ondansetron,756928.0,54640,0.0
drug:acetaminophen,acetaminophen,drug:potassium chloride,potassium chloride,1536380.0,90430,0.0
drug:acetaminophen,acetaminophen,drug:aspirin,aspirin,1693510.0,107832,0.0
drug:acetaminophen,acetaminophen,drug:pantoprazole,pantoprazole,394659.0,31895,0.0
drug:acetaminophen,acetaminophen,drug:lorazepam,lorazepam,369350.0,26209,0.0
drug:acetaminophen,acetaminophen,drug:famotidine,famotidine,132487.0,10701,0.0
drug:acetaminophen,acetaminophen,drug:furosemide,furosemide,1032577.0,67333,0.0
drug:acetaminophen,acetaminophen,drug:gabapentin,gabapentin,80442.0,7048,0.0
drug:acetaminophen,acetaminophen,drug:atorvastatin,atorvastatin,993771.0,60962,0.0
drug:acetaminophen,acetaminophen,drug:azithromycin,azithromycin,203074.0,15344,0.0
drug:acetaminophen,acetaminophen,drug:omeprazole,omeprazole,281103.0,23580,0.0
drug:acetaminophen,acetaminophen,drug:prednisone,prednisone,74778.0,6499,0.0
drug:acetaminophen,acetaminophen,drug:folic acid,folic acid,22535.0,1989,0.5224053596680344
drug:acetaminophen,acetaminophen,drug:allopurinol,allopurinol,43760.0,3448,2.052917995871646
drug:acetaminophen,acetaminophen,drug:trazodone,trazodone,101175.0,8676,0.0
drug:acetaminophen,acetaminophen,drug:mirtazapine,mirtazapine,1759.0,169,0.02801981617471367
drug:acetaminophen,acetaminophen,drug:tamsulosin,tamsulosin,7851.0,688,0.13832898724363943
drug:acetaminophen,acetaminophen,drug:levetiracetam,levetiracetam,17174.0,1446,0.35961220344661515
drug:acetaminophen,acetaminophen,drug:apixaban,apixaban,42727.0,3643,1.914206352761973
drug:acetaminophen,acetaminophen,drug:lisinopril,lisinopril,194531.0,15915,0.0
drug:acetaminophen,acetaminophen,drug:spironolactone,spironolactone,12110.0,1101,0.23024564605673437
drug:acetaminophen,acetaminophen,drug:warfarin,warfarin,178835.0,12861,0.0
drug:acetaminophen,acetaminophen,drug:amlodipine,amlodipine,82747.0,7193,0.0
drug:acetaminophen,acetaminophen,drug:carvedilol,carvedilol,39873.0,3304,1.5859120197279453
drug:acetaminophen,acetaminophen,drug:hydralazine,hydralazine,144417.0,12292,0.0
drug:acetaminophen,acetaminophen,drug:clopidogrel,clopidogrel,323795.0,21533,0.0
drug:acetaminophen,acetaminophen,drug:ferrous sulfate,ferrous sulfate,11503.0,1048,0.21639671162781948
drug:acetaminophen,acetaminophen,drug:cyanocobalamin,cyanocobalamin,900.0,90,0.014145383104125737
drug:acetaminophen,acetaminophen,drug:pravastatin,pravastatin,1650.0,165,0.026238371630754553
drug:acetaminophen,acetaminophen,drug:finasteride,finasteride,1157.0,90,0.018257562607501856
drug:acetaminophen,acetaminophen,drug:tramadol,tramadol,1650.0,165,0.026238371630754553
drug:acetaminophen,acetaminophen,drug:paroxetine,paroxetine,60.0,6,0.0009307376095555727
drug:acetaminophen,acetaminophen,drug:benzonatate,benzonatate,9331.0,900,0.16874027993779162
drug:acetaminophen,acetaminophen,drug:pregabalin,pregabalin,24.0,2,0.0003720641810712348
drug:acetaminophen,acetaminophen,drug:buspirone,buspirone,10.0,1,0.00015500031000062
drug:acetaminophen,acetaminophen,drug:hydroxyzine,hydroxyzine,10.0,1,0.00015497869043006585
drug:acetaminophen,acetaminophen,drug:sertraline,sertraline,3624.0,293,0.05944296821179018
drug:acetaminophen,acetaminophen,drug:ibuprofen,ibuprofen,203248.0,16272,0.0
drug:acetaminophen,acetaminophen,drug:acyclovir,acyclovir,143720.0,9276,0.0
drug:acetaminophen,acetaminophen,drug:cetirizine,cetirizine,26373.0,2100,0.6842487611239395
drug:acetaminophen,acetaminophen,drug:methotrexate,methotrexate,45534.0,3222,2.3062196110210698
drug:acetaminophen,acetaminophen,drug:loratadine,loratadine,750.0,75,0.011760094080752646
drug:acetaminophen,acetaminophen,drug:clonidine,clonidine,819.0,75,0.012855730139545106
drug:acetaminophen,acetaminophen,drug:duloxetine,duloxetine,819.0,75,0.012853712510005178
drug:acetaminophen,acetaminophen,drug:montelukast,montelukast,1928.0,150,0.030786918753193664
drug:acetaminophen,acetaminophen,drug:clonazepam,clonazepam,1609.0,141,0.02556849783088878
drug:acetaminophen,acetaminophen,drug:rivaroxaban,rivaroxaban,819.0,75,0.012855730139545106
drug:acetaminophen,acetaminophen,drug:alprazolam,alprazolam,886.0,75,0.013921842837164721
drug:acetaminophen,acetaminophen,drug:simvastatin,simvastatin,71493.0,6017,0.0
drug:acetaminophen,acetaminophen,drug:diltiazem,diltiazem,23633.0,1920,0.5738950947061681
drug:acetaminophen,acetaminophen,drug:valsartan,valsartan,1532.0,141,0.024315530513451315
drug:acetaminophen,acetaminophen,drug:amitriptyline,amitriptyline,692.0,59,0.010840448030077544
drug:acetaminophen,acetaminophen,drug:atenolol,atenolol,782.0,66,0.01226762883363401
drug:acetaminophen,acetaminophen,drug:ezetimibe,ezetimibe,660.0,66,0.010334298911767008
drug:acetaminophen,acetaminophen,drug:hydrochlorothiazide,hydrochlorothiazide,660.0,66,0.010334298911767008
drug:acetaminophen,acetaminophen,drug:citalopram,citalopram,660.0,66,0.010332681017612524
drug:acetaminophen,acetaminophen,drug:naproxen,naproxen,944.0,90,0.014826681744648101
drug:acetaminophen,acetaminophen,drug:cephalexin,cephalexin,414.0,40,0.006454328609513119
drug:potassium chloride,potassium chloride,drug:aspirin,aspirin,1032898.0,67543,0.0
drug:potassium chloride,potassium chloride,drug:pantoprazole,pantoprazole,259297.0,20783,0.0
drug:potassium chloride,potassium chloride,drug:ondansetron,ondansetron,321738.0,23678,0.0
drug:potassium chloride,potassium chloride,drug:lorazepam,lorazepam,238035.0,18277,0.0
drug:potassium chloride,potassium chloride,drug:famotidine,famotidine,83386.0,6951,0.0
drug:potassium chloride,potassium chloride,drug:furosemide,furosemide,810200.0,55870,0.0
drug:potassium chloride,potassium chloride,drug:gabapentin,gabapentin,53210.0,4623,0.0
drug:potassium chloride,potassium chloride,drug:atorvastatin,atorvastatin,694782.0,44704,0.0
