drug_id,drug_name,degree,strength_admissions
drug:acetaminophen,acetaminophen,58,9320242.0
drug:potassium chloride,potassium chloride,54,6435673.0
drug:aspirin,aspirin,52,6424785.0
drug:atorvastatin,atorvastatin,47,4568243.0
drug:lorazepam,lorazepam,53,2117183.0
drug:ondansetron,ondansetron,49,2958910.0
drug:clopidogrel,clopidogrel,29,1817297.0
drug:furosemide,furosemide,44,4656488.0
drug:hydralazine,hydralazine,42,583300.0
drug:warfarin,warfarin,32,768947.0
drug:acyclovir,acyclovir,38,909940.0
drug:simvastatin,simvastatin,35,471632.0
drug:allopurinol,allopurinol,48,317070.0
drug:famotidine,famotidine,42,789677.0
drug:pantoprazole,pantoprazole,53,2007640.0
drug:lisinopril,lisinopril,51,1182172.0
drug:gabapentin,gabapentin,50,457747.0
drug:ibuprofen,ibuprofen,2,264619.0
drug:folic acid,folic acid,35,139271.0
drug:prednisone,prednisone,49,400095.0
drug:spironolactone,spironolactone,27,69792.0
drug:diltiazem,diltiazem,12,110632.0
drug:omeprazole,omeprazole,53,1464879.0
drug:clonazepam,clonazepam,38,11776.0
drug:trazodone,trazodone,51,662680.0
drug:levetiracetam,levetiracetam,38,113069.0
drug:azithromycin,azithromycin,21,657571.0
drug:cetirizine,cetirizine,31,194060.0
drug:methotrexate,methotrexate,38,320910.0
drug:amlodipine,amlodipine,52,525420.0
drug:sertraline,sertraline,41,26862.0
drug:atenolol,atenolol,25,5272.0
drug:naproxen,naproxen,4,3190.0
drug:carvedilol,carvedilol,44,264687.0
drug:apixaban,apixaban,41,277028.0
drug:paroxetine,paroxetine,7,180.0
drug:benzonatate,benzonatate,16,22650.0
drug:pravastatin,pravastatin,28,10470.0
drug:tamsulosin,tamsulosin,31,36820.0
drug:valsartan,valsartan,30,8682.0
drug:ferrous sulfate,ferrous sulfate,29,72711.0
drug:cyanocobalamin,cyanocobalamin,25,7060.0
drug:ezetimibe,ezetimibe,25,4500.0
drug:loratadine,loratadine,31,5840.0
drug:cephalexin,cephalexin,4,1606.0
drug:amitriptyline,amitriptyline,11,2657.0
drug:montelukast,montelukast,31,14734.0
drug:buspirone,buspirone,6,62.0
drug:hydroxyzine,hydroxyzine,8,90.0
drug:hydrochlorothiazide,hydrochlorothiazide,25,4500.0
drug:finasteride,finasteride,25,8729.0
drug:clonidine,clonidine,31,6368.0
drug:duloxetine,duloxetine,32,6398.0
drug:mirtazapine,mirtazapine,35,13188.0
drug:rivaroxaban,rivaroxaban,31,6368.0
drug:alprazolam,alprazolam,31,6845.0
drug:tramadol,tramadol,41,12900.0
drug:citalopram,citalopram,26,4530.0
drug:pregabalin,pregabalin,6,129.0
