disease_id,disease_label,n_drugs
icd:10:A084,"Viral intestinal infection, unspecified",2
icd:10:A4151,Sepsis due to Escherichia coli [E. coli],2
icd:10:A4189,Other specified sepsis,2
icd:10:A419,"Sepsis, unspecified organism",18
icd:10:C220,Liver cell carcinoma,1
icd:10:C241,Malignant neoplasm of ampulla of Vater,5
icd:10:C3411,"Malignant neoplasm of upper lobe, right bronchus or lung",1
icd:10:C541,Malignant neoplasm of endometrium,1
icd:10:C61,Malignant neoplasm of prostate,2
icd:10:C7931,Secondary malignant neoplasm of brain,4
icd:10:C7951,Secondary malignant neoplasm of bone,1
icd:10:D5700,"Hb-SS disease with crisis, unspecified",3
icd:10:E1151,Type 2 diabetes mellitus with diabetic peripheral angiopathy without gangrene,1
icd:10:E1152,Type 2 diabetes mellitus with diabetic peripheral angiopathy with gangrene,4
icd:10:E1169,Type 2 diabetes mellitus with other specified complication,1
icd:10:E6601,Morbid (severe) obesity due to excess calories,2
icd:10:F10239,"Alcohol dependence with withdrawal, unspecified",2
icd:10:G893,Neoplasm related pain (acute) (chronic),1
icd:10:I110,Hypertensive heart disease with heart failure,18
icd:10:I130,"Hypertensive heart and chronic kidney disease with heart failure and stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease",26
icd:10:I132,"Hypertensive heart and chronic kidney disease with heart failure and with stage 5 chronic kidney disease, or end stage renal disease",8
icd:10:I214,Non-ST elevation (NSTEMI) myocardial infarction,16
icd:10:I2510,Atherosclerotic heart disease of native coronary artery without angina pectoris,7
icd:10:I25110,Atherosclerotic heart disease of native coronary artery with unstable angina pectoris,10
icd:10:I25118,Atherosclerotic heart disease of native coronary artery with other forms of angina pectoris,3
icd:10:I25119,Atherosclerotic heart disease of native coronary artery with unspecified angina pectoris,4
icd:10:I2699,Other pulmonary embolism without acute cor pulmonale,1
icd:10:I340,Nonrheumatic mitral (valve) insufficiency,1
icd:10:I350,Nonrheumatic aortic (valve) stenosis,7
icd:10:I442,"Atrioventricular block, complete",1
icd:10:I471,Supraventricular tachycardia,1
icd:10:I472,Ventricular tachycardia,4
icd:10:I480,Paroxysmal atrial fibrillation,6
