drug_id,drug_label,n_diseases
drug:acetaminophen,acetaminophen,179
drug:acyclovir,acyclovir,2
drug:allopurinol,allopurinol,4
drug:alprazolam,alprazolam,1
drug:amitriptyline,amitriptyline,1
drug:amlodipine,amlodipine,17
drug:apixaban,apixaban,4
drug:aspirin,aspirin,52
drug:atenolol,atenolol,1
drug:atorvastatin,atorvastatin,37
drug:azithromycin,azithromycin,7
drug:benzonatate,benzonatate,3
drug:buspirone,buspirone,1
drug:carvedilol,carvedilol,8
drug:cephalexin,cephalexin,1
drug:cetirizine,cetirizine,3
drug:citalopram,citalopram,2
drug:clonazepam,clonazepam,2
drug:clonidine,clonidine,1
drug:clopidogrel,clopidogrel,10
drug:cyanocobalamin,cyanocobalamin,1
drug:diltiazem,diltiazem,1
drug:duloxetine,duloxetine,2
drug:ezetimibe,ezetimibe,1
drug:famotidine,famotidine,13
drug:ferrous sulfate,ferrous sulfate,5
drug:finasteride,finasteride,1
drug:folic acid,folic acid,13
drug:furosemide,furosemide,34
drug:gabapentin,gabapentin,28
drug:hydralazine,hydralazine,14
drug:hydrochlorothiazide,hydrochlorothiazide,1
drug:hydroxyzine,hydroxyzine,2
drug:ibuprofen,ibuprofen,15
drug:levetiracetam,levetiracetam,7
drug:lisinopril,lisinopril,19
drug:loratadine,loratadine,1
drug:lorazepam,lorazepam,37
drug:methotrexate,methotrexate,2
drug:mirtazapine,mirtazapine,2
drug:montelukast,montelukast,2
drug:naproxen,naproxen,1
drug:omeprazole,omeprazole,28
drug:ondansetron,ondansetron,70
drug:pantoprazole,pantoprazole,45
drug:paroxetine,paroxetine,1
drug:potassium chloride,potassium chloride,54
drug:pravastatin,pravastatin,2
drug:prednisone,prednisone,14
drug:pregabalin,pregabalin,1
drug:rivaroxaban,rivaroxaban,1
drug:sertraline,sertraline,4
drug:simvastatin,simvastatin,12
drug:spironolactone,spironolactone,5
drug:tamsulosin,tamsulosin,6
drug:tramadol,tramadol,2
drug:trazodone,trazodone,16
drug:valsartan,valsartan,2
drug:warfarin,warfarin,14
